"Rank","Player","TACKLE","ASSIST","SACK","TFL","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"325","Rylie Mills (SEA)","1","2","0","0","0","0","0","0","0","4","3.1","0.8","1.2%"
"325","Jay Toia (DAL)","1","2","0","0","0","0","0","0","0","5","3.1","0.6","0.8%"
"329","Jordon Riley (GB)","2","0","0","0","0","0","0","0","0","4","3.0","0.8","5.5%"
"330","Taven Bryan (BAL)","0","1","0.5","0","0","0","0","0","0","5","2.8","0.6","0.1%"
"330","Markees Watts (TB)","0","1","0.5","0","0","0","0","0","0","11","2.8","0.3","0.8%"
"332","Bilal Nichols (ARI)","0","3","0","0","0","0","0","0","0","4","2.4","0.6","2.4%"
"332","Mazi Smith (NYJ)","0","3","0","0","0","0","0","0","0","8","2.4","0.3","1.0%"
"334","Maurice Hurst II Jr. (CLE)","0","1","0","0","1","0","0","0","0","2","2.3","1.2","0.6%"
"334","Kevin Givens (SF)","1","1","0","0","0","0","0","0","0","6","2.3","0.4","0.6%"
"334","Victor Dimukeje (NYG)","0","1","0","0","1","0","0","0","0","6","2.3","0.4","0.6%"
"334","DeMarvin Leal (PIT)","1","1","0","0","0","0","0","0","0","3","2.3","0.8","0.7%"
"334","Andre Jones Jr. (BUF)","0","3","0","0","0","0","0","0","0","3","2.3","0.8","4.1%"
"334","Vernon Broughton (NO)","0","3","0","0","0","0","0","0","0","1","2.3","2.3","1.1%"
"334","Jahfari Harvey (LV)","0","1","0","0","1","0","0","0","0","2","2.3","1.2","1.0%"
"341","Isaiah Foskey (CIN)","0","2","0","0","0","0","0","0","0","3","1.6","0.5","0.7%"
"342","Jason Pierre-Paul (TB)","0","0","0","0","1","0","0","0","0","3","1.5","0.5","3.6%"
"342","DeMarcus Walker (WAS)","0","2","0","0","0","0","0","0","0","2","1.5","0.8","0.8%"
"342","Jack Heflin (LAR)","1","0","0","0","0","0","0","0","0","1","1.5","1.5","1.1%"
"342","Perrion Winfrey (DAL)","0","2","0","0","0","0","0","0","0","1","1.5","1.5","1.2%"
"342","Ali Gaye (TEN)","1","0","0","0","0","0","0","0","0","3","1.5","0.5","1.1%"
"342","Jaden Crumedy (CAR)","0","2","0","0","0","0","0","0","0","3","1.5","0.5","3.1%"
"348","Carl Lawson (BAL)","0","1","0","0","0","0","0","0","0","1","0.8","0.8","0.6%"
"348","Marlon Davidson (HOU)","0","1","0","0","0","0","0","0","0","1","0.8","0.8","0.7%"
"348","Jeremiah Moon (PIT)","0","1","0","0","0","0","0","0","0","2","0.8","0.4","1.0%"
"348","Marlon Tuipulotu (KC)","0","1","0","0","0","0","0","0","0","3","0.8","0.3","0.9%"
"348","Haggai Ndubuisi (HOU)","0","1","0","0","0","0","0","0","0","1","0.8","0.8","1.0%"
"348","Kingsley Jonathan (NYJ)","0","1","0","0","0","0","0","0","0","2","0.8","0.4","7.5%"
"348","Taki Taimani (MIN)","0","1","0","0","0","0","0","0","0","2","0.8","0.4","1.2%"
"348","T.J. Maguranyanga (WAS)","0","1","0","0","0","0","0","0","0","1","0.8","0.8","8.4%"
"356","Von Miller (WAS)","16","10","9","6","0","0","0","0","0","17","0.0","0.0","4.3%"
"356","Khalil Mack (LAC)","19","13","5.5","6","0","0","4","0","0","12","0.0","0.0","15.4%"
"356","Kyle Van Noy (BAL)","12","8","2","4","4","1","0","0","0","15","0.0","0.0","4.0%"
"356","Jordan Miller (DEN)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","3.1%"
"356","Preston Smith (WAS)","8","16","0.5","2","1","0","0","0","0","13","0.0","0.0","1.4%"
"356","Za'Darius Smith (PHI)","3","7","1.5","2","0","0","0","0","0","5","0.0","0.0","0.8%"
"356","Bud Dupree (LAC)","9","7","2","2","1","0","0","0","0","16","0.0","0.0","1.8%"
"356","Leonard Floyd (ATL)","6","13","3.5","5","1","0","0","0","0","15","0.0","0.0","0.8%"
"356","Adam Gotsis (TB)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"356","Dean Lowry (PIT)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.0%"
"356","Matthew Judon (BUF)","7","9","0","1","1","0","0","0","0","14","0.0","0.0","0.6%"
"356","Quinton Jefferson (DET)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.2%"
"356","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.5%"
"356","Morgan Fox (BUF)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"356","T.J. Watt (PIT)","23","32","7","10","8","2","3","2","0","14","0.0","0.0","68.8%"
