Players RK,Players PLAYER,Receiving REC,Receiving TGT,Receiving REC PCT,Receiving YDS,Receiving Y/R,Receiving TD,Receiving TGT PCT,Rushing ATT,Rushing YDS,Rushing TD,Rushing PCT,Misc FL,Misc G,Misc FPTS,Misc FPTS/G,Misc ROST %
84,Adonai Mitchell   NYJ,3,8,37.5%,25,8.3,1,18.2%,0,0,0,0.0%,0,16,8.5,0.5,18.4%
85,Marvin Mims Jr.   DEN,2,2,100.0%,4,2.0,0,3.8%,2,18,1,100.0%,0,16,8.2,0.5,10.5%
86,Sterling Shepard   FA,4,7,57.1%,21,5.3,1,15.6%,0,0,0,0.0%,0,13,8.1,0.6,1.8%
87,Michael Bandy   DEN,1,1,100.0%,20,20.0,1,1.9%,0,0,0,0.0%,0,4,8.0,2.0,1.0%
88,Ryan Miller   NYG,1,1,100.0%,20,20.0,1,2.2%,0,0,0,0.0%,0,13,8.0,0.6,1.0%
89,Konata Mumpfield   LAR,3,4,75.0%,20,6.7,1,7.3%,0,0,0,0.0%,0,17,8.0,0.5,0.8%
90,Marquez Valdes-Scantling   DAL,1,4,25.0%,19,19.0,1,17.4%,0,0,0,0.0%,0,10,7.9,0.8,0.7%
91,Tyler Johnson   DAL,2,3,66.7%,18,9.0,1,18.8%,0,0,0,0.0%,0,12,7.8,0.7,1.1%
92,KaVontae Turpin   DAL,3,5,60.0%,17,5.7,1,9.3%,0,0,0,0.0%,0,15,7.7,0.5,3.9%
93,KeAndre Lambert-Smith   LAC,2,2,100.0%,17,8.5,1,3.8%,0,0,0,0.0%,0,10,7.7,0.8,0.6%
94,Christian Kirk   SF,3,6,50.0%,16,5.3,1,13.0%,0,0,0,0.0%,0,13,7.6,0.6,13.0%
95,Tylan Wallace   CLE,1,2,50.0%,15,15.0,1,7.7%,0,0,0,0.0%,0,14,7.5,0.5,1.0%
96,Andrei Iosivas   CIN,2,6,33.3%,15,7.5,1,13.6%,0,0,0,0.0%,0,17,7.5,0.4,4.8%
97,Dyami Brown   WAS,3,8,37.5%,10,3.3,1,13.8%,1,4,0,16.7%,0,15,7.4,0.5,0.8%
98,Allen Lazard   FA,3,6,50.0%,13,4.3,1,37.5%,0,0,0,0.0%,0,10,7.3,0.7,1.0%
99,Van Jefferson   WAS,2,3,66.7%,13,6.5,1,10.7%,0,0,0,0.0%,0,16,7.3,0.5,0.9%
100,John Metchie III   CAR,1,5,20.0%,13,13.0,1,15.6%,0,0,0,0.0%,0,16,7.3,0.5,1.8%
101,Tyreek Hill   FA,2,2,100.0%,12,6.0,1,7.4%,0,0,0,0.0%,0,4,7.2,1.8,29.4%
102,Isaiah Hodgins   NYG,1,3,33.3%,12,12.0,1,10.3%,0,0,0,0.0%,0,7,7.2,1.0,0.1%
103,Kevin Austin Jr.   NO,1,2,50.0%,10,10.0,1,6.1%,0,0,0,0.0%,0,8,7.0,0.9,1.0%
104,Efton Chism III   NE,1,1,100.0%,10,10.0,1,3.4%,0,0,0,0.0%,0,8,7.0,0.9,0.6%
105,Jaylin Noel   HOU,2,5,40.0%,9,4.5,1,10.9%,2,-1,0,50.0%,0,17,6.8,0.4,10.9%
106,Curtis Samuel   FA,1,1,100.0%,6,6.0,1,3.3%,0,0,0,0.0%,0,6,6.6,1.1,2.0%
107,Jahdae Walker   CHI,1,2,50.0%,6,6.0,1,4.8%,0,0,0,0.0%,0,7,6.6,0.9,0.9%
108,Lil'Jordan Humphrey   DEN,1,4,25.0%,5,5.0,1,7.7%,0,0,0,0.0%,0,10,6.5,0.7,1.1%
109,Treylon Burks   WAS,1,3,33.3%,5,5.0,1,9.7%,0,0,0,0.0%,0,8,6.5,0.8,3.6%
110,Luke McCaffrey   WAS,1,2,50.0%,5,5.0,1,6.5%,0,0,0,0.0%,0,9,6.5,0.7,1.1%
111,Tyler Lockett   LV,1,2,50.0%,4,4.0,1,11.8%,0,0,0,0.0%,0,17,6.4,0.4,0.6%
112,Elijah Moore   PHI,0,0,0.0%,0,0.0,0,0.0%,1,4,1,100.0%,0,9,6.4,0.7,0.6%
113,Devontez Walker   BAL,1,1,100.0%,2,2.0,1,3.8%,0,0,0,0.0%,0,11,6.2,0.6,0.9%
114,Savion Williams   GB,4,4,100.0%,19,4.8,1,10.8%,1,0,0,25.0%,1,12,5.9,0.5,1.2%
115,Pat Bryant   DEN,4,7,57.1%,26,6.5,0,13.5%,0,0,0,0.0%,0,15,2.6,0.2,11.7%
116,Darnell Mooney   NYG,2,6,33.3%,20,10.0,0,21.4%,0,0,0,0.0%,0,15,2.0,0.1,17.4%
117,Jalen McMillan   TB,1,1,100.0%,19,19.0,0,2.2%,1,1,0,33.3%,0,4,2.0,0.5,31.2%
118,Ashton Dulin   IND,1,1,100.0%,-8,-8.0,0,2.3%,2,22,0,100.0%,0,12,1.4,0.1,0.7%
119,Xavier Smith   LAR,3,3,100.0%,14,4.7,0,5.5%,0,0,0,0.0%,0,16,1.4,0.1,0.6%
120,Travis Hunter   JAC,2,5,40.0%,14,7.0,0,8.6%,1,0,0,16.7%,0,7,1.4,0.2,67.0%
121,Joshua Palmer   BUF,2,4,50.0%,13,6.5,0,13.3%,0,0,0,0.0%,0,12,1.3,0.1,0.9%
122,Luther Burden III   CHI,3,4,75.0%,13,4.3,0,9.5%,0,0,0,0.0%,0,15,1.3,0.1,93.5%
123,Xavier Restrepo   TEN,1,1,100.0%,12,12.0,0,3.6%,0,0,0,0.0%,0,2,1.2,0.6,1.1%
124,Jack Bech   LV,3,4,75.0%,12,4.0,0,23.5%,0,0,0,0.0%,0,16,1.2,0.1,9.3%
125,Kalif Raymond   CHI,1,2,50.0%,10,10.0,0,3.8%,0,0,0,0.0%,0,15,1.0,0.1,0.7%
126,Xavier Weaver   ARI,2,3,66.7%,10,5.0,0,7.9%,0,0,0,0.0%,0,9,1.0,0.1,0.0%
127,Ricky Pearsall   SF,1,5,20.0%,10,10.0,0,17.2%,0,0,0,0.0%,0,10,1.0,0.1,57.0%
128,Gabe Davis   FA,2,4,50.0%,9,4.5,0,13.3%,0,0,0,0.0%,0,6,0.9,0.2,1.0%
129,Brycen Tremayne   CAR,1,1,100.0%,8,8.0,0,2.6%,0,0,0,0.0%,0,16,0.8,0.1,0.0%
130,Adam Thielen   FA,2,3,66.7%,7,3.5,0,6.8%,0,0,0,0.0%,0,16,0.7,0.0,3.5%
131,Jordan Whittington   LAR,1,1,100.0%,2,2.0,0,1.8%,1,5,0,50.0%,0,17,0.7,0.0,0.8%
132,Matthew Golden   GB,1,2,50.0%,-3,-3.0,0,5.4%,2,10,0,50.0%,0,14,0.7,0.0,67.7%
133,Dont'e Thornton Jr.   LV,1,2,50.0%,7,7.0,0,11.8%,0,0,0,0.0%,0,15,0.7,0.0,1.3%
134,Jimmy Horn Jr.   CAR,1,3,33.3%,7,7.0,0,7.9%,0,0,0,0.0%,0,13,0.7,0.1,0.6%
135,Jaylin Lane   WAS,1,2,50.0%,7,7.0,0,6.5%,0,0,0,0.0%,0,15,0.7,0.0,1.4%
136,Demarcus Robinson   SF,1,3,33.3%,6,6.0,0,10.3%,0,0,0,0.0%,0,14,0.6,0.0,0.8%
137,Kendrick Bourne   ARI,1,2,50.0%,6,6.0,0,6.9%,0,0,0,0.0%,0,17,0.6,0.0,3.1%
138,Isaiah Bond   CLE,1,4,25.0%,6,6.0,0,22.2%,0,0,0,0.0%,0,16,0.6,0.0,2.3%
139,Malachi Corley   CLE,0,0,0.0%,0,0.0,0,0.0%,2,6,0,100.0%,0,13,0.6,0.0,0.6%
140,Braxton Berrios   NYG,2,2,100.0%,5,2.5,0,4.3%,0,0,0,0.0%,0,4,0.5,0.1,0.6%
141,Andre Baccellia   FA,1,2,50.0%,5,5.0,0,5.3%,0,0,0,0.0%,0,5,0.5,0.1,0.0%
142,Jalen Coker   CAR,1,2,50.0%,5,5.0,0,5.3%,0,0,0,0.0%,0,11,0.5,0.0,46.8%
143,Jerry Jeudy   CLE,1,9,11.1%,4,4.0,0,50.0%,0,0,0,0.0%,0,17,0.4,0.0,34.6%
144,Jamari Thrash   CLE,1,1,100.0%,4,4.0,0,5.6%,0,0,0,0.0%,0,9,0.4,0.0,1.1%
145,Isaiah Williams   NYJ,1,1,100.0%,4,4.0,0,6.3%,0,0,0,0.0%,0,15,0.4,0.0,0.7%
146,Justin Watson   HOU,1,2,50.0%,3,3.0,0,4.3%,0,0,0,0.0%,0,3,0.3,0.1,1.0%
147,Trent Sherfield Sr.   BUF,1,2,50.0%,3,3.0,0,3.8%,0,0,0,0.0%,0,12,0.3,0.0,0.0%
148,Darius Slayton   NYG,1,4,25.0%,3,3.0,0,13.8%,0,0,0,0.0%,0,14,0.3,0.0,4.8%
149,Scotty Miller   CHI,1,2,50.0%,3,3.0,0,8.7%,0,0,0,0.0%,0,14,0.3,0.0,0.1%
150,Xavier Gipson   NYG,1,1,100.0%,3,3.0,0,6.3%,0,0,0,0.0%,0,6,0.3,0.0,1.1%
151,Dylan Drummond   ATL,1,3,33.3%,3,3.0,0,10.7%,0,0,0,0.0%,0,9,0.3,0.0,0.0%
152,Cedrick Wilson Jr.   DET,1,2,50.0%,2,2.0,0,7.4%,0,0,0,0.0%,0,10,0.2,0.0,0.6%
153,Devin Duvernay   ARI,1,1,100.0%,2,2.0,0,2.4%,0,0,0,0.0%,0,17,0.2,0.0,0.6%
154,Mason Tipton   NO,1,2,50.0%,2,2.0,0,6.1%,0,0,0,0.0%,0,13,0.2,0.0,0.7%
155,DeAndre Hopkins   BAL,0,3,0.0%,0,0.0,0,11.5%,0,0,0,0.0%,0,17,0.0,0.0,0.6%
156,Brandin Cooks   FA,0,1,0.0%,0,0.0,0,3.0%,0,0,0,0.0%,0,15,0.0,0.0,0.6%
157,Chris Moore   BAL,0,2,0.0%,0,0.0,0,6.5%,0,0,0,0.0%,0,14,0.0,0.0,0.0%
158,Zay Jones   FA,0,2,0.0%,0,0.0,0,5.3%,0,0,0,0.0%,0,8,0.0,0.0,1.0%
159,Josh Reynolds   FA,0,1,0.0%,0,0.0,0,6.3%,0,0,0,0.0%,0,5,0.0,0.0,2.1%
160,Noah Brown   FA,0,2,0.0%,0,0.0,0,6.5%,0,0,0,0.0%,0,4,0.0,0.0,1.3%
161,Calvin Ridley   TEN,0,2,0.0%,0,0.0,0,7.1%,0,0,0,0.0%,0,7,0.0,0.0,20.2%
162,Ray-Ray McCloud III   FA,0,1,0.0%,0,0.0,0,3.4%,0,0,0,0.0%,0,6,0.0,0.0,1.0%
163,Quinton Bell   SF,0,0,0.0%,0,0.0,0,0.0%,0,0,0,0.0%,0,5,0.0,0.0,0.6%
164,Gunner Olszewski   NYG,0,2,0.0%,0,0.0,0,6.9%,0,0,0,0.0%,0,16,0.0,0.0,0.6%
165,Nick Westbrook-Ikhine   IND,0,2,0.0%,0,0.0,0,7.4%,0,0,0,0.0%,0,15,0.0,0.0,1.3%
166,Tutu Atwell   MIA,0,1,0.0%,0,0.0,0,1.8%,0,0,0,0.0%,0,11,0.0,0.0,1.5%
167,Ben Skowronek   PIT,0,1,0.0%,0,0.0,0,4.3%,0,0,0,0.0%,0,16,0.0,0.0,0.1%
168,Beaux Collins   NYG,0,1,0.0%,0,0.0,0,3.4%,0,0,0,0.0%,0,9,0.0,0.0,0.0%
169,Jahan Dotson   ATL,0,3,0.0%,0,0.0,0,9.4%,0,0,0,0.0%,0,17,0.0,0.0,4.0%
170,Austin Trammell   JAC,0,1,0.0%,0,0.0,0,1.7%,0,0,0,0.0%,0,6,0.0,0.0,0.0%
171,Jalen Tolbert   MIA,0,4,0.0%,0,0.0,0,7.4%,0,0,0,0.0%,0,13,0.0,0.0,4.9%
172,Jalin Hyatt   NYG,0,1,0.0%,0,0.0,0,3.4%,0,0,0,0.0%,0,8,0.0,0.0,2.6%
173,Jason Brownlee   KC,0,1,0.0%,0,0.0,0,2.1%,0,0,0,0.0%,0,6,0.0,0.0,0.0%
174,Gage Larvadain   CLE,0,0,0.0%,0,0.0,0,0.0%,0,0,0,0.0%,0,13,0.0,0.0,0.0%
175,Malik Nabers   NYG,1,4,25.0%,-2,-2.0,0,13.8%,0,0,0,0.0%,0,4,-0.2,-0.1,98.2%
