"Player","Team","REC","YDS","TDS","FL","FPTS"
"Durham Smythe","BAL","9.8","94.1","0.7","0.1","18.7"
"Payne Durham","TB","7.6","80.8","0.8","0.0","16.7"
"Max Klare","LAR","7.5","82.6","0.7","0.0","16.1"
"Oscar Delp","NO","7.5","75.7","0.6","0.0","15.0"
"Brevyn Spann-Ford","DAL","7.4","71.4","0.7","0.0","14.8"
"Devin Culp","TB","5.5","59.0","1.0","0.0","14.7"
"Tip Reiman","ARI","7.9","62.2","0.6","0.0","13.8"
"Josh Cuevas","BAL","5.7","66.4","0.6","0.0","13.3"
"Jack Stoll","CLE","7.3","62.2","0.6","0.0","13.3"
"Hunter Long","JAC","5.0","44.5","1.0","0.0","13.0"
"Joe Royer","CLE","7.5","67.3","0.3","0.1","12.4"
"Lucas Krull","DEN","6.0","44.5","0.5","0.0","10.5"
"Luke Farrell","SF","4.2","40.7","0.3","0.0","7.9"
"Justin Joly","DEN","4.0","37.7","0.3","0.0","7.5"
"Ko Kieft","TB","3.7","36.1","0.3","0.0","7.2"
"CJ Dippre","NE","3.9","37.3","0.3","0.0","7.2"
"Tanner Koziol","JAC","3.9","36.6","0.3","0.0","7.2"
"Tyler Conklin","DET","3.7","38.0","0.3","0.0","7.1"
"Eric Saubert","SEA","3.4","34.4","0.3","0.0","6.9"
"Drew Ogletree","IND","3.7","35.4","0.3","0.0","6.9"
"Sam Roush","CHI","3.7","33.8","0.3","0.0","6.8"
"Johnny Mundt","PHI","3.5","35.4","0.2","0.0","6.5"
"Ian Thomas","LV","3.8","35.9","0.2","0.0","6.3"
"Chris Manhertz","NYG","1.8","16.3","0.1","0.0","3.2"
"Quintin Morris","JAC","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","MIA","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","0.0","0.0","0.0","0.0","0.0"
"Blake Whiteheart","CLE","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","0.0","0.0","0.0","0.0","0.0"
""
""
