PLAYER,POS,TEAM,GAMES,SNAPS,SNAPS/GM,SNAP %,RUSH %,TGT %,TOUCH %,UTIL %,FANTASY PTS,PTS/100 SNAPS
Harold Fannin Jr.,TE,CLE,16,786,49,76,1,14,10,15,114.4,14.6
Trey Lance,QB,LAC,4,100,25,40,17,0,74,74,14.6,14.6
Romeo Doubs,WR,GB,16,780,49,78,0,11,7,11,110.4,14.2
DeVonta Smith,WR,PHI,17,888,52,84,0,13,9,13,124.8,14.1
Colby Parkinson,TE,LAR,15,621,41,61,0,9,7,9,86.8,14.0
Pat Freiermuth,TE,PIT,17,522,31,51,0,10,8,10,72.6,13.9
Zach Ertz,TE,WAS,13,551,42,67,0,13,9,13,76.4,13.9
Rome Odunze,WR,CHI,12,733,61,88,0,12,6,12,102.1,13.9
Rashid Shaheed,WR,SEA,18,705,39,61,1,13,10,14,97.6,13.8
Ty Chandler,RB,MIN,2,42,21,35,40,10,48,50,5.8,13.8
Ladd McConkey,WR,LAC,16,838,52,78,0,13,8,13,114.9,13.7
Hunter Henry,TE,NE,17,869,51,79,0,10,7,10,118.8,13.7
Isaac TeSlaa,WR,DET,17,436,26,40,0,6,4,6,59.9,13.7
Jake Ferguson,TE,DAL,17,786,46,66,0,13,11,13,106.1,13.5
Shane Buechele,QB,KC,1,29,29,45,3,0,52,52,3.9,13.4
Michael Pittman Jr.,WR,IND,17,918,54,86,0,12,9,12,122.4,13.3
Mike Gesicki,TE,CIN,13,321,25,38,0,13,9,13,42.7,13.3
Josh Downs,WR,IND,16,594,37,59,0,15,10,15,78.4,13.2
Jayden Higgins,WR,HOU,17,671,39,58,0,10,6,10,88.5,13.2
Mark Andrews,TE,BAL,17,631,37,62,2,11,9,13,83.0,13.2
Tez Johnson,WR,TB,16,495,31,47,2,9,7,11,64.6,13.1
Oronde Gadsden II,TE,LAC,15,628,42,62,0,11,8,11,82.4,13.1
Jalen Coker,WR,CAR,11,439,40,68,0,10,8,10,57.4,13.1
Travis Kelce,TE,KC,17,902,53,81,0,12,9,12,117.2,13.0
Jordan Addison,WR,MIN,14,714,51,85,0,11,6,11,93.1,13.0
Jalen McMillan,WR,TB,4,138,35,52,1,11,9,12,17.9,13.0
Wan'Dale Robinson,WR,NYG,16,973,61,91,0,14,10,15,125.9,12.9
Sam LaPorta,TE,DET,9,517,57,90,0,9,8,9,66.9,12.9
