"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"De'Zhaun Stribling","SF","45.1","634.7","3.7","1.5","6.5","0.0","1.2","106.3"
"Adonai Mitchell","NYJ","41.5","610.8","3.5","2.2","11.2","0.1","0.5","103.8"
"Antonio Williams","WAS","44.2","599.0","3.6","3.5","18.7","0.1","1.2","103.6"
"Cooper Kupp","SEA","47.4","583.9","3.4","0.5","1.5","0.0","0.7","101.4"
"Denzel Boston","CLE","48.3","607.6","2.9","1.0","5.0","0.0","0.8","101.2"
"Omar Cooper Jr.","NYJ","46.3","549.9","3.3","2.1","12.5","0.1","1.2","97.2"
"Germie Bernard","PIT","44.6","550.8","3.1","2.1","10.8","0.0","0.8","95.8"
"Travis Hunter","JAC","41.6","496.2","3.3","2.0","10.8","0.1","0.4","90.8"
"Xavier Legette","CAR","41.7","500.5","3.2","2.1","10.8","0.1","0.4","90.8"
"Kayshon Boutte","NE","32.0","486.2","4.2","0.0","0.0","0.0","0.1","89.5"
"Darnell Mooney","NYG","35.9","526.0","2.7","1.1","6.0","0.0","0.1","87.4"
"Bub Means","NO","38.0","517.0","3.0","1.0","6.0","0.0","1.0","87.3"
"Malik Washington","MIA","43.5","390.0","2.3","13.4","80.2","0.7","0.8","85.2"
"Darius Slayton","NYG","34.8","512.7","2.5","1.6","8.6","0.0","0.7","83.2"
"Ja'Kobi Lane","BAL","30.4","460.2","3.4","1.5","8.5","0.0","0.6","81.4"
"Tyquan Thornton","KC","25.4","466.3","3.5","0.0","0.0","0.0","0.1","80.0"
"Zachariah Branch","ATL","38.3","471.3","2.3","0.0","0.0","0.0","0.4","79.4"
"Tory Horton","SEA","30.3","401.0","4.2","0.5","3.0","0.0","0.6","79.3"
"Troy Franklin","DEN","36.5","395.9","3.4","3.0","10.8","0.0","0.6","78.3"
"Devaughn Vele","NO","35.1","422.8","2.8","0.0","0.0","0.0","0.1","76.7"
"Christian Kirk","SF","35.6","427.5","2.7","0.0","0.0","0.0","0.1","76.6"
"Hollywood Brown","PHI","31.3","389.1","3.3","0.0","0.0","0.0","0.1","73.9"
"Andrei Iosivas","CIN","31.1","393.7","2.9","2.0","11.1","0.0","0.1","73.5"
"Ryan Flournoy","DAL","34.0","383.8","2.7","2.2","12.4","0.1","0.4","72.4"
"Isaac TeSlaa","DET","25.4","352.4","4.1","0.0","0.0","0.0","0.1","72.4"
"Tre' Harris","LAC","34.5","408.4","2.5","0.0","0.0","0.0","0.4","72.2"
"Jalen Tolbert","MIA","35.4","441.7","1.8","0.0","0.0","0.0","0.3","71.8"
"Chris Bell","MIA","34.2","448.9","1.7","0.0","0.0","0.0","0.4","71.3"
"Caleb Douglas","MIA","33.1","418.9","2.3","1.0","5.5","0.0","0.7","71.2"
"Dyami Brown","WAS","29.6","392.1","2.7","0.0","0.0","0.0","0.3","69.4"
"Ted Hurst III","TB","28.9","389.5","2.6","1.0","6.5","0.0","0.6","68.2"
"Treylon Burks","WAS","28.3","393.6","2.3","0.0","0.0","0.0","0.2","66.8"
"Ashton Dulin","IND","24.1","399.9","1.6","5.1","46.2","0.1","0.1","66.4"
"Dontayvion Wicks","PHI","31.1","354.5","2.4","0.5","3.0","0.0","0.1","65.4"
"Jack Bech","LV","34.5","397.8","1.5","0.0","0.0","0.0","0.4","65.2"
"Elic Ayomanor","TEN","23.9","323.0","3.2","0.0","0.0","0.0","0.0","63.4"
"Chimere Dike","TEN","26.1","252.4","3.3","10.1","33.6","0.3","0.6","61.7"
"Jahan Dotson","ATL","28.7","358.2","1.9","0.0","0.0","0.0","0.2","60.9"
"Jaylin Noel","HOU","28.8","322.6","1.8","4.2","22.2","0.1","0.3","59.8"
"Pat Bryant","DEN","28.4","319.6","2.1","0.0","0.0","0.0","0.3","58.3"
"Savion Williams","GB","23.9","271.5","2.0","9.0","47.0","0.3","0.3","57.0"
"Joshua Palmer","BUF","25.9","337.2","1.6","0.0","0.0","0.0","0.1","56.3"
"Luke McCaffrey","WAS","20.7","289.9","2.6","0.0","0.0","0.0","0.1","54.7"
"Marvin Mims Jr.","DEN","24.2","272.4","1.6","8.2","45.1","0.3","0.4","54.7"
"KaVontae Turpin","DAL","18.2","229.9","1.7","17.7","102.5","0.4","0.4","54.5"
"Olamide Zaccheaus","ATL","30.1","277.1","1.8","1.5","9.5","0.0","0.1","54.5"
"Xavier Hutchinson","HOU","23.2","280.5","1.9","2.1","14.2","0.0","0.1","52.4"
"Calvin Austin III","NYG","20.0","268.2","2.2","0.0","0.0","0.0","0.0","50.1"
"DeMario Douglas","NE","22.7","271.1","1.5","4.1","21.4","0.2","0.3","49.9"
"Elijah Sarratt","BAL","19.5","294.6","1.8","0.0","0.0","0.0","0.2","49.4"
