PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Chris Brooks,GB,1,4,0,1,BYE,0,1,0,2,0,0,1,2,1,2,0,2,17,1.1
Trey Benson,ARI,1,6,4,5,—,—,—,BYE,—,—,0,—,—,—,—,—,—,16,3.2
Emanuel Wilson,GB,0,0,0,3,BYE,1,1,4,2,1,1,2,0,0,0,0,1,16,1.0
Jordan Mason,MIN,1,3,0,3,4,BYE,0,1,1,1,0,0,1,0,0,1,—,16,1.1
Zavier Scott,MIN,—,—,1,8,0,BYE,1,2,0,—,—,—,1,1,—,1,0,15,1.5
Ameer Abdullah,IND,—,—,—,—,0,1,1,1,1,1,BYE,1,0,2,5,1,1,15,1.3
Tyler Allgeier,ATL,0,1,2,0,BYE,1,0,2,0,0,2,1,2,2,0,1,0,14,0.9
Bhayshul Tuten,JAC,0,2,1,1,1,3,0,BYE,1,2,0,1,1,0,1,—,—,14,1.0
J.K. Dobbins,DEN,2,2,2,1,1,1,1,2,1,1,—,BYE,—,—,—,—,—,14,1.4
Hunter Luepke,DAL,0,0,0,1,1,2,1,0,0,BYE,3,1,0,0,2,2,1,14,0.9
Jacory Croskey-Merritt,WAS,1,1,1,2,2,1,2,1,1,0,1,BYE,0,0,0,0,0,13,0.8
Blake Corum,LAR,1,0,0,4,2,0,1,BYE,0,0,2,0,0,1,0,2,0,13,0.8
Brian Robinson Jr.,SF,2,1,0,0,0,3,0,0,0,1,1,2,0,BYE,0,1,1,12,0.8
Raheem Mostert,LV,—,—,—,1,0,0,1,BYE,1,1,2,3,0,1,1,1,—,12,1.0
Keaton Mitchell,BAL,—,—,—,—,1,0,BYE,0,1,0,3,1,3,0,1,0,2,12,1.0
Sean Tucker,TB,0,0,0,0,3,0,1,0,BYE,2,2,2,0,0,0,0,1,11,0.7
LeQuint Allen Jr.,JAC,1,0,1,1,0,2,1,BYE,1,1,0,0,0,2,1,0,0,11,0.7
Dare Ogunbowale,HOU,2,0,0,0,0,BYE,1,1,1,0,1,0,0,0,4,1,0,11,0.7
Ray Davis,BUF,1,0,1,0,0,2,BYE,1,0,2,0,0,0,0,1,2,1,11,0.7
Rasheen Ali,BAL,0,0,0,0,0,0,BYE,0,0,—,1,—,0,3,2,2,3,11,0.8
Will Shipley,PHI,0,—,—,1,2,0,1,0,BYE,2,0,0,1,1,0,1,0,9,0.6
Alec Ingold,MIA,2,2,0,0,1,1,0,1,0,0,0,BYE,0,0,1,1,0,9,0.6
James Conner,ARI,4,1,4,—,—,—,—,BYE,—,0,—,—,—,—,—,—,—,9,2.3
Miles Sanders,DAL,1,2,3,2,—,—,—,—,—,BYE,—,—,—,—,—,—,—,8,2.0
Ollie Gordon II,MIA,1,1,0,1,0,1,2,1,1,0,0,BYE,0,0,0,0,0,8,0.5
Adam Prentice,DEN,1,0,0,0,0,0,1,0,0,1,2,BYE,1,2,0,0,0,8,0.5
Audric Estime,NO,—,—,—,—,—,—,—,—,—,0,BYE,—,0,0,3,4,1,8,1.3
Austin Ekeler,WAS,3,4,—,—,—,—,—,—,0,—,—,BYE,—,—,—,—,—,7,2.3
Jaylen Wright,MIA,—,—,—,—,—,—,0,1,0,0,0,BYE,0,3,1,2,0,7,0.7
Trayveon Williams,CLE,—,—,—,—,—,—,—,—,BYE,0,1,—,—,0,2,4,0,7,1.2
Jawhar Jordan,HOU,—,—,—,—,—,BYE,—,—,—,—,—,—,—,—,2,5,0,7,2.3
Kendre Miller,NO,0,1,2,0,1,1,0,—,—,—,BYE,—,—,—,—,—,—,5,0.7
Zamir White,LV,0,3,2,—,—,—,—,BYE,—,—,—,—,—,—,—,—,0,5,1.3
Malik Davis,DAL,—,—,—,—,—,—,0,0,0,BYE,0,0,0,0,3,0,2,5,0.5
Hassan Haskins,LAC,0,0,0,0,1,1,2,—,0,0,—,BYE,—,0,—,0,0,4,0.3
Dylan Laube,LV,0,2,1,0,0,0,1,BYE,0,0,0,0,0,0,0,0,0,4,0.3
Jaleel McLaughlin,DEN,—,—,—,—,—,1,—,—,—,—,1,BYE,1,1,0,0,0,4,0.6
Najee Harris,LAC,1,2,0,—,—,—,—,—,—,—,—,BYE,—,—,—,—,—,3,1.0
Raheim Sanders,CLE,0,—,—,—,—,—,—,—,BYE,—,—,0,—,—,—,1,2,3,0.8
Antonio Gibson,NE,1,1,0,0,1,—,—,—,—,—,—,—,—,BYE,—,—,—,3,0.6
Braelon Allen,NYJ,0,1,2,0,—,—,—,—,BYE,—,—,—,—,—,—,—,—,3,0.8
Tank Bigsby,PHI,0,—,0,0,0,0,1,0,BYE,0,0,0,0,0,1,0,1,3,0.2
Trevor Etienne,CAR,0,1,0,0,1,0,0,0,0,0,0,0,1,BYE,0,0,0,3,0.2
Tyler Goodson,IND,—,—,0,1,—,—,—,0,2,0,BYE,0,0,0,0,0,—,3,0.3
Chris Rodriguez Jr.,WAS,—,—,0,0,0,0,0,0,0,0,1,BYE,1,0,—,1,—,3,0.3
AJ Dillon,PHI,0,0,0,0,0,2,—,—,BYE,—,—,—,—,—,—,—,—,2,0.3
DJ Giddens,IND,0,1,0,0,1,0,0,—,—,—,BYE,—,—,—,—,—,0,2,0.3
Tahj Brooks,CIN,0,0,0,0,—,—,0,0,0,BYE,0,1,—,—,0,0,1,2,0.2
Kaleb Johnson,PIT,0,0,—,1,BYE,0,—,—,1,0,0,—,0,0,0,—,—,2,0.2
George Holani,SEA,0,0,2,0,0,0,0,BYE,0,0,0,—,—,—,—,—,—,2,0.2
Julius Chestnut,TEN,0,0,0,1,1,0,0,0,0,BYE,0,0,0,0,0,0,0,2,0.1
