"Rank","Player","TACKLE","ASSIST","SACK","TFL","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"214","Jalen Graham (SF)","0","1","0","0","0","0","0","0","0","1","0.0","0.0","1.3%"
"214","Caleb Murphy (NE)","4","3","0.5","0","0","0","0","0","0","9","0.0","0.0","1.3%"
"214","Andre Jones Jr. (BUF)","0","3","0","0","0","0","0","0","0","3","0.0","0.0","4.1%"
"214","Liam Anderson (CIN)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.3%"
"214","Cam Jones (NYJ)","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.7%"
"214","Truman Jones (TEN)","3","7","1.5","2","1","0","0","0","0","9","0.0","0.0","1.3%"
"214","Eku Leota (NO)","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.3%"
"214","Garrett Nelson (DEN)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","3.1%"
"214","Markees Watts (TB)","0","1","0.5","0","0","0","0","0","0","11","0.0","0.0","0.8%"
"214","Isaiah Land (DAL)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.3%"
"214","Caleb Johnson (MIA)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.2%"
"214","Dallas Turner (MIN)","27","35","8","11","3","0","4","0","0","17","0.0","0.0","33.5%"
"214","Chop Robinson (MIA)","10","11","4","4","1","0","1","0","0","15","0.0","0.0","14.0%"
"214","Smael Mondon Jr. (PHI)","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.9%"
"214","Jack Sawyer (PIT)","11","9","1","3","4","2","0","0","0","17","0.0","0.0","1.3%"
"214","Junior Colson (LAC)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","4.2%"
"214","Princely Umanmielen (CAR)","10","10","1.5","2","0","0","1","1","0","16","0.0","0.0","1.6%"
"214","Jordan Burch (ARI)","4","17","1","1","3","0","0","0","0","17","0.0","0.0","1.1%"
"214","Chris Braswell (TB)","15","6","1","4","0","0","0","0","0","17","0.0","0.0","1.0%"
"214","Marshawn Kneeland (DAL)","6","6","1","3","0","0","0","0","0","7","0.0","0.0","0.7%"
"214","James Williams Sr. (TEN)","14","4","1","3","0","0","0","0","0","11","0.0","0.0","1.1%"
"214","Mohamed Kamara (TB)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","11.2%"
"214","Brennan Jackson (LV)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.3%"
"214","Myles Cole (CIN)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.2%"
"214","Jaylon Carlies (IND)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","4.8%"
"214","Jamal Hill (HOU)","0","0","0","0","0","0","0","0","0","6","0.0","0.0","1.9%"
"214","Javontae Jean-Baptiste (WAS)","2","4","1","1","0","0","0","0","0","3","0.0","0.0","1.0%"
"214","Jaylen Harrell (TEN)","10","9","4.5","5","0","0","1","0","0","17","0.0","0.0","1.9%"
"214","Bo Richter (MIN)","1","2","0","0","1","0","0","0","0","12","0.0","0.0","0.8%"
"214","Derrick McLendon II (MIA)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.7%"
"214","Carl Jones Jr. (BAL)","0","0","0","0","0","0","0","0","0","9","0.0","0.0","1.9%"
"214","Jackson Sirmon (NYJ)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"214","Maema Njongmeta (CAR)","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.7%"
"214","Jimmy Ciarlo (BUF)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.2%"
"214","Winston Reid (CLE)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"214","Emany Johnson (LAC)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.7%"
"214","Levelle Bailey (DEN)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.9%"
"214","Dondrea Tillman (DEN)","8","22","4","3","3","2","0","0","0","17","0.0","0.0","0.7%"
"214","Jamie Sheriff (SEA)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.3%"
"214","Mykel Williams (SF)","11","9","1","4","0","0","0","0","0","9","0.0","0.0","7.4%"
"214","James Pearce Jr. (ATL)","17","9","10.5","10","5","0","1","1","0","17","0.0","0.0","12.7%"
"214","Nic Scourton (CAR)","20","27","5","7","1","0","1","0","0","17","0.0","0.0","7.6%"
"214","Abdul Carter (NYG)","25","18","4","7","0","0","2","2","0","17","0.0","0.0","37.7%"
"214","Donovan Ezeiruaku (DAL)","20","20","2","8","0","0","1","0","0","17","0.0","0.0","9.5%"
"214","Josaiah Stewart (LAR)","13","9","3","3","2","0","1","0","0","17","0.0","0.0","1.1%"
"214","Bradyn Swinson (NE)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.8%"
"214","Jared Ivey (SEA)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","6.0%"
"214","Tyler Baron (NYJ)","5","4","0","1","0","0","0","0","0","6","0.0","0.0","0.7%"
"214","Tyler Batty (MIN)","2","2","0","2","0","0","0","0","0","10","0.0","0.0","0.7%"
"214","Cody Lindenberg (LV)","0","0","0","0","0","0","0","0","0","6","0.0","0.0","1.3%"
"214","Oluwafemi Oladejo (TEN)","5","8","0","2","0","0","0","0","0","6","0.0","0.0","1.5%"
"214","Fadil Diggs (NO)","0","0","0","0","0","0","0","0","0","5","0.0","0.0","1.6%"
"214","T.J. Maguranyanga (WAS)","0","1","0","0","0","0","0","0","0","1","0.0","0.0","8.4%"
"214","Carson Bruener (PIT)","0","0","0","0","0","0","0","0","0","12","0.0","0.0","1.1%"
"214","John Bullock (TB)","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.8%"
"214","Chaz Chambliss (MIN)","2","0","1","1","0","0","0","0","0","7","0.0","0.0","1.0%"
"214","Ja'Markis Weston (NYJ)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.6%"
"214","Elijah Ponder (NE)","9","6","4","4","0","0","0","2","0","15","0.0","0.0","1.0%"
"214","Connor O'Toole (SEA)","0","0","0","0","0","0","0","1","0","5","0.0","0.0","0.7%"
"214","Jackson Woodard (MIA)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.2%"
"214","Chandler Martin (BAL)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"214","Ale Kaho (WAS)","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.9%"
""
""
