Players RK,Players PLAYER,Receiving REC,Receiving TGT,Receiving REC PCT,Receiving YDS,Receiving Y/R,Receiving TD,Receiving TGT PCT,Rushing ATT,Rushing YDS,Rushing TD,Rushing PCT,Misc FL,Misc G,Misc FPTS,Misc FPTS/G,Misc ROST %
48,Mo Alie-Cox   IND,4,5,80.0%,27,6.8,1,19.2%,0,0,0,0.0%,0,17,8.7,0.5,0.6%
49,Cole Kmet   CHI,3,6,50.0%,26,8.7,1,33.3%,0,0,0,0.0%,0,16,8.6,0.5,7.3%
50,Michael Mayer   LV,4,5,80.0%,25,6.3,1,21.7%,0,0,0,0.0%,0,13,8.5,0.7,11.5%
51,Tommy Tremble   CAR,3,4,75.0%,24,8.0,1,22.2%,0,0,0,0.0%,0,17,8.4,0.5,0.7%
52,Brenton Strange   JAC,5,9,55.6%,24,4.8,1,60.0%,0,0,0,0.0%,0,12,8.4,0.7,49.9%
53,Greg Dulcich   MIA,3,6,50.0%,30,10.0,1,31.6%,1,-7,0,100.0%,0,10,8.3,0.8,21.0%
54,Nate Adkins   DEN,1,2,50.0%,16,16.0,1,15.4%,0,0,0,0.0%,0,10,7.6,0.8,1.0%
55,Jack Stoll   CLE,1,1,100.0%,13,13.0,1,10.0%,0,0,0,0.0%,0,15,7.3,0.5,0.0%
56,Chig Okonkwo   WAS,3,5,60.0%,13,4.3,1,35.7%,0,0,0,0.0%,0,17,7.3,0.4,44.2%
57,Drew Ogletree   IND,2,2,100.0%,12,6.0,1,7.7%,0,0,0,0.0%,0,15,7.2,0.5,1.0%
58,Isaiah Likely   NYG,2,7,28.6%,9,4.5,1,26.9%,0,0,0,0.0%,0,14,6.9,0.5,85.8%
59,Taysom Hill   FA,0,0,0.0%,0,0.0,0,0.0%,13,8,1,100.0%,0,13,6.8,0.5,0.7%
60,John FitzPatrick   FA,2,4,50.0%,8,4.0,1,22.2%,0,0,0,0.0%,0,15,6.8,0.5,0.0%
61,Brevyn Spann-Ford   DAL,2,2,100.0%,8,4.0,1,7.4%,0,0,0,0.0%,0,17,6.8,0.4,0.1%
62,Andrew Beck   NYJ,1,1,100.0%,1,1.0,1,7.7%,1,5,0,100.0%,0,17,6.6,0.4,0.1%
63,Devin Culp   TB,1,1,100.0%,6,6.0,1,20.0%,0,0,0,0.0%,0,11,6.6,0.6,1.2%
64,Darnell Washington   PIT,6,8,75.0%,25,4.2,1,33.3%,0,0,0,0.0%,1,16,6.5,0.4,12.6%
65,Jeremy Ruckert   NYJ,1,3,33.3%,5,5.0,1,23.1%,0,0,0,0.0%,0,17,6.5,0.4,0.6%
66,Drew Sample   CIN,1,1,100.0%,4,4.0,1,5.6%,0,0,0,0.0%,0,17,6.4,0.4,0.6%
67,Ben Sinnott   WAS,1,1,100.0%,4,4.0,1,10.0%,0,0,0,0.0%,0,16,6.4,0.4,1.1%
