"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"James Conner","ARI","42.5","155.0","1.5","18.0","131.5","1.0","0.0","52.7"
"Emanuel Wilson","SEA","69.7","289.5","1.7","7.7","52.1","0.0","0.5","47.3"
"Jaylen Wright","MIA","79.9","308.0","1.5","7.2","52.0","0.1","1.2","46.9"
"Jawhar Jordan","HOU","51.3","218.0","1.1","11.0","87.0","0.5","0.5","44.7"
"Kyle Juszczyk","SF","4.2","10.3","0.1","23.7","208.7","1.5","0.1","42.9"
"Jaydon Blue","DAL","48.7","205.0","1.5","8.8","61.8","0.4","0.2","42.1"
"MarShawn Lloyd","GB","50.6","211.7","1.6","6.5","48.5","0.3","0.2","39.9"
"Isaiah Davis","NYJ","35.1","174.6","1.2","9.9","78.2","0.2","0.1","38.3"
"George Holani","SEA","38.9","164.2","1.5","8.0","62.2","0.3","0.2","37.1"
"LeQuint Allen Jr.","JAC","8.0","33.9","0.2","21.7","148.0","0.8","0.1","34.9"
"Frank Gore Jr.","BUF","37.0","174.0","2.0","3.0","26.0","0.0","0.0","33.5"
"Roschon Johnson","CHI","34.0","115.0","3.0","3.0","17.0","0.0","0.0","32.7"
"Ollie Gordon II","MIA","49.4","202.8","1.2","3.9","27.8","0.1","0.2","32.7"
"Ray Davis","BUF","32.3","137.8","1.1","7.8","60.0","0.4","0.2","32.0"
"Emmett Johnson","KC","39.7","165.1","1.3","5.2","41.1","0.2","0.1","31.9"
"DJ Giddens","IND","33.6","141.5","1.0","8.6","56.8","0.3","0.2","31.6"
"Ty Chandler","NO","51.0","138.0","1.0","12.0","57.0","0.0","0.0","31.5"
"Sean Tucker","TB","38.8","163.8","2.2","1.5","10.2","0.0","0.1","31.4"
"Jonah Coleman","DEN","28.3","117.9","0.9","8.1","58.6","0.3","0.1","28.7"
"Brashard Smith","KC","25.0","89.0","0.5","10.5","71.0","0.5","0.0","27.3"
"Phil Mafah","DAL","32.0","142.0","1.0","4.0","34.0","0.0","0.0","25.6"
"Elijah Mitchell","PHI","35.0","159.0","1.0","2.0","22.0","0.0","0.0","25.1"
"Jam Miller","NE","34.0","156.0","1.0","2.0","25.0","0.0","0.0","25.1"
"Salvon Ahmed","CHI","35.0","152.0","1.0","1.0","12.0","0.0","0.0","22.9"
"Jarquez Hunter","LAR","32.0","148.0","1.0","1.0","14.0","0.0","0.0","22.7"
"Israel Abanikanda","DAL","32.0","147.0","1.0","1.0","14.0","0.0","0.0","22.6"
"Dameon Pierce","PHI","35.0","161.0","1.0","0.0","0.0","0.0","0.0","22.1"
"Demond Claiborne","MIN","27.7","121.6","0.9","3.3","25.2","0.1","0.1","22.0"
"Audric Estime","NO","30.0","121.0","1.0","3.0","24.0","0.0","0.0","22.0"
"Donovan Edwards","MIA","31.0","130.0","1.0","2.0","19.0","0.0","0.0","21.9"
"Carlos Washington Jr.","MIA","31.0","130.0","1.0","2.0","19.0","0.0","0.0","21.9"
"Will Shipley","PHI","9.3","39.6","0.3","11.3","83.5","0.4","0.1","21.9"
"Seth McGowan","IND","22.3","97.1","1.2","3.2","26.9","0.1","0.0","21.6"
"Najee Harris","LAC","28.0","126.0","1.0","2.0","18.0","0.0","0.0","21.4"
"Hunter Luepke","DAL","13.3","56.1","0.4","8.6","61.7","0.4","0.1","20.7"
"Kaytron Allen","WAS","23.6","110.8","0.7","3.1","25.4","0.1","0.0","19.9"
"Tahj Brooks","CIN","30.6","129.4","0.9","0.0","0.0","0.0","0.1","18.3"
"Devin Neal","NO","22.5","89.5","1.0","2.5","17.5","0.0","0.0","18.0"
"Devin Singletary","NYG","22.3","89.2","0.6","4.2","26.3","0.1","0.1","17.7"
"Nicholas Singleton","TEN","20.3","83.4","0.6","4.3","29.9","0.2","0.1","17.5"
"Jerome Ford","WAS","17.5","97.0","0.5","4.0","23.5","0.0","0.0","17.1"
"Tyler Badie","DEN","4.1","17.7","0.1","8.0","65.5","0.4","0.1","15.1"
"Michael Burton","CLE","6.6","13.3","0.6","5.1","32.7","0.6","0.0","13.9"
"Isaac Guerendo","SF","16.5","80.0","0.5","2.0","18.5","0.0","0.0","13.9"
"Trevor Etienne","CAR","12.3","52.5","0.3","4.1","29.7","0.2","0.1","12.8"
"Andrew Beck","NYJ","0.5","4.0","0.0","4.6","31.6","1.1","0.0","12.5"
"Alec Ingold","LAC","2.1","8.6","0.1","7.9","58.3","0.2","0.1","12.4"
"Adam Prentice","DEN","4.1","17.4","0.1","4.1","29.8","0.2","0.0","8.4"
"Connor Heyward","LV","4.2","17.6","0.1","4.0","28.9","0.2","0.0","8.2"
"Max Bredeson","MIN","2.0","8.5","0.1","4.5","29.4","0.2","0.0","7.4"
"Kendre Miller","NO","12.9","54.8","0.3","0.0","0.0","0.0","0.0","7.2"
"Riley Nowakowski","PIT","0.0","0.0","0.0","4.3","29.1","0.2","0.0","6.0"
"Reggie Gilliam","NE","0.0","0.0","0.0","4.1","29.8","0.2","0.0","5.9"
"Patrick Ricard","NYG","0.0","0.0","0.0","4.0","26.9","0.1","0.0","5.5"
"Kaleb Johnson","PIT","8.6","35.8","0.2","0.0","0.0","0.0","0.0","4.8"
"British Brooks","HOU","4.2","18.0","0.1","0.0","0.0","0.0","0.0","2.4"
