"Rank","Player","TACKLE","ASSIST","SACK","TFL","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"330","Kaevon Merriweather (HOU)","2","0","0","1","0","0","0","0","0","10","5.5","0.6","0.6%"
"330","Shemar Bartholomew (GB)","2","0","0","1","0","0","0","0","0","1","5.5","5.5","0.6%"
"332","Chase Lucas (SF)","2","1","0","0","1","0","0","0","0","11","5.3","0.5","1.4%"
"332","Elijah Jones (ARI)","0","3","0","0","2","0","0","0","0","2","5.3","2.7","2.1%"
"334","PJ Jules (CIN)","1","1","0","1","0","0","0","0","0","10","4.8","0.5","5.8%"
"335","Kamal Hadden (GB)","1","4","0","0","0","0","0","0","0","4","4.6","1.2","2.0%"
"335","Tyler Owens (WAS)","2","2","0","0","0","0","0","0","0","13","4.6","0.4","2.5%"
"337","Marcus Maye (LAC)","1","4","0","0","0","0","0","0","0","1","4.5","4.5","0.9%"
"337","Devon Key (DEN)","2","0","0","0","1","0","0","0","0","17","4.5","0.3","2.0%"
"337","Kendall Williamson (LAC)","3","0","0","0","0","0","0","0","0","11","4.5","0.4","1.0%"
"337","Miles Battle (NE)","3","0","0","0","0","0","0","0","0","1","4.5","4.5","1.2%"
"337","Reuben Lowery III (IND)","1","4","0","0","0","0","0","0","0","4","4.5","1.1","1.0%"
"342","Mike Ford Jr. (ATL)","0","0","0","0","0","0","0","1","0","10","4.0","0.4","1.3%"
"342","JL Skinner (DEN)","0","0","0","0","0","0","0","1","0","13","4.0","0.3","0.8%"
"342","Keondre Jackson (BAL)","0","0","0","0","0","0","0","1","0","10","4.0","0.4","8.7%"
"345","Percy Butler (WAS)","2","1","0","0","0","0","0","0","0","14","3.8","0.3","2.8%"
"345","Nic Jones (NYG)","1","1","0","0","1","0","0","0","0","7","3.8","0.5","1.3%"
"345","Daijahn Anthony (CIN)","2","1","0","0","0","0","0","0","0","3","3.8","1.3","0.8%"
"345","Storm Duck (MIA)","1","1","0","0","1","0","0","0","0","2","3.8","1.9","2.0%"
"345","Nikko Reed (LAC)","1","1","0","0","1","0","0","0","0","7","3.8","0.5","0.6%"
"345","Brandon Johnson (PHI)","1","1","0","0","1","0","0","0","0","2","3.8","1.9","2.2%"
"345","Bralyn Lux (CIN)","2","1","0","0","0","0","0","0","0","2","3.8","1.9","0.7%"
"352","Trey Washington (IND)","0","4","0","0","0","0","0","0","0","3","3.1","1.0","0.7%"
"353","Parry Nickerson (PHI)","2","0","0","0","0","0","0","0","0","3","3.0","1.0","1.2%"
"353","Jordan Fuller (ATL)","2","0","0","0","0","0","0","0","0","4","3.0","0.8","0.6%"
"353","Marco Wilson (CIN)","2","0","0","0","0","0","0","0","0","4","3.0","0.8","0.7%"
"353","Cam'Ron Silmon-Craig (JAC)","2","0","0","0","0","0","0","0","0","2","3.0","1.5","0.8%"
"357","Cornell Armstrong (MIA)","1","1","0","0","0","0","0","0","0","4","2.3","0.6","0.6%"
"357","Jaden Davis (ARI)","1","1","0","0","0","0","0","0","0","4","2.3","0.6","1.9%"
"357","Loren Strickland (DET)","1","1","0","0","0","0","0","0","0","1","2.3","2.3","1.0%"
"360","Chris Board (NYG)","1","0","0","0","0","0","0","0","0","1","1.5","1.5","0.6%"
"360","Kendall Sheffield (MIA)","1","0","0","0","0","0","0","0","0","2","1.5","0.8","0.6%"
"360","Akayleb Evans (CAR)","0","2","0","0","0","0","0","0","0","9","1.5","0.2","1.4%"
"360","Jarrick Bernard-Converse (NYG)","0","2","0","0","0","0","0","0","0","5","1.5","0.3","1.5%"
"360","Josh Blackwell (CHI)","1","0","0","0","0","0","0","0","0","13","1.5","0.1","19.5%"
"360","Daniel Scott (IND)","1","0","0","0","0","0","0","0","0","3","1.5","0.5","1.9%"
"360","DJ James (NE)","1","0","0","0","0","0","0","0","0","1","1.5","1.5","1.0%"
"360","Decamerion Richardson (LV)","1","0","0","0","0","0","0","0","0","10","1.5","0.2","0.7%"
"360","Mac McWilliams (PHI)","0","0","0","0","1","0","0","0","0","3","1.5","0.5","0.6%"
"369","Chris Smith II (LV)","0","1","0","0","0","0","0","0","0","4","0.8","0.2","1.2%"
"369","Jalen Graham (SF)","0","1","0","0","0","0","0","0","0","1","0.8","0.8","1.3%"
"371","Jimmie Ward (HOU)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.3%"
"371","C.J. Goodwin (DAL)","0","0","0","0","0","0","0","0","0","13","0.0","0.0","3.1%"
"371","Eli Apple (SF)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.7%"
"371","Artie Burns (MIA)","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.8%"
"371","Miles Killebrew (PIT)","0","0","0","0","0","0","0","0","0","4","0.0","0.0","2.4%"
"371","Deon Bush (KC)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.3%"
"371","Damontae Kazee (CLE)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"371","Michael Davis (NO)","0","0","0","0","0","0","0","0","0","6","0.0","0.0","1.4%"
"371","Terrell Edmunds (LV)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.2%"
"371","Siran Neal (SF)","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.8%"
"371","Tre Flowers (DET)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.9%"
"371","Elijah Campbell (MIA)","0","0","0","0","0","0","0","0","0","6","0.0","0.0","1.9%"
"371","George Odum (IND)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.7%"
"371","J.T. Gray (TB)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.9%"
"371","Amani Oruwariye (BAL)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"371","Ugo Amadi (NO)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.9%"
"371","Nik Needham (NYJ)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"371","Corey Ballentine (DAL)","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.1%"
"371","Sean Murphy-Bunting (ARI)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.2%"
"371","Isaiah Simmons (CAR)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.6%"
"371","Damon Arnette (HOU)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.7%"
"371","Richie Grant (NE)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"371","A.J. Green III (MIA)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.2%"
"371","Dane Jackson (BUF)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.2%"
"371","Khalil Dorsey (DET)","0","0","0","0","0","0","0","0","0","9","0.0","0.0","1.3%"
"371","Ambry Thomas (PHI)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"371","Israel Mukuamu (CAR)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"371","Robert Rochell (CAR)","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.1%"
"371","Damar Hamlin (BUF)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"371","Martin Emerson Jr. (CLE)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.3%"
"371","Delarrin Turner-Yell (DEN)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.5%"
"371","Joshua Williams (KC)","0","0","0","0","0","0","0","0","0","11","0.0","0.0","2.9%"
"371","Bo Melton (GB)","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.6%"
"371","Deane Leonard (LAC)","0","1","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"371","Nazeeh Johnson (KC)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.2%"
"371","Mike Brown (TEN)","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.7%"
"371","Clark Phillips III (ATL)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"371","Jammie Robinson (ATL)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.7%"
"371","Dallis Flowers (CHI)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.8%"
"371","Anthony Johnson Jr. (NYG)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"371","Ameer Speed (HOU)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.6%"
"371","Marte Mapu (NE)","10","3","0","0","5","1","0","0","0","17","0.0","0.0","1.2%"
"371","Josh Hayes (TB)","0","0","0","0","0","0","0","0","0","13","0.0","0.0","1.2%"
"371","Tanner Ingle (LAR)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.7%"
"371","D'Shawn Jamison (PIT)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"371","Reese Taylor (DEN)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.2%"
"371","Rejzohn Wright (NO)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.5%"
"371","Starling Thomas V (ARI)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"371","Art Green (NYG)","0","0","0","0","0","0","0","0","0","8","0.0","0.0","1.1%"
"371","Travis Hunter (JAC)","11","4","0","0","3","0","0","0","0","7","0.0","0.0","67.0%"
"371","Kalen King (CAR)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"371","Beau Brade (NYG)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.2%"
"371","Rashad Wisdom (TB)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.7%"
"371","Dwight McGlothern (MIN)","0","0","0","0","0","0","0","0","0","6","0.0","0.0","1.9%"
"371","Jarius Monroe (NYJ)","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.2%"
"371","Jaylon Carlies (IND)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","4.8%"
"371","Christopher Edmonds (CLE)","0","0","0","0","0","0","0","0","0","5","0.0","0.0","5.6%"
"371","A.J. Woods (ATL)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.9%"
"371","Chigozie Anusiem (LV)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.1%"
"371","Emany Johnson (LAC)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.7%"
"371","Andre' Sam (PHI)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.6%"
"371","Isaiah Johnson (MIA)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"371","Brandon Codrington (BUF)","0","0","0","0","0","0","0","0","0","5","0.0","0.0","1.2%"
"371","Te'Cory Couch (BUF)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.3%"
"371","Jordan Colbert (MIA)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.1%"
"371","Sebastian Castro (PIT)","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.1%"
"371","Zah Frazier (CHI)","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.6%"
"371","Justin Walley (IND)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"371","Kobee Minor (NE)","1","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"371","Dan Jackson (DET)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"371","Keonta Jenkins (BUF)","2","2","0","0","0","0","0","0","0","3","0.0","0.0","0.7%"
"371","Daryl Porter Jr. (PIT)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"371","Zion Childress (DAL)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.6%"
"371","Trevian Thomas (CAR)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"371","Keenan Garber (DET)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"371","Elliott Davison (NO)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.5%"
"371","Derrick Canteen (SF)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.9%"
""
""
