"Rank","Player","TACKLE","ASSIST","SACK","TFL","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"167","Isaiah Oliver (NYJ)","26","22","0","0","3","0","0","0","0","13","60.3","4.6","0.7%"
"167","Will Harris (WAS)","22","16","1","1","3","0","1","0","0","9","60.3","6.7","1.8%"
"169","Roger McCreary (LAR)","23","14","1","1","2","1","0","0","0","11","59.8","5.4","3.1%"
"170","Darius Slay Jr. (PIT)","28","8","0","1","3","0","0","1","0","10","59.3","5.9","1.1%"
"171","Cam Lewis (BUF)","26","9","0","1","4","0","1","0","0","17","58.5","3.4","1.5%"
"171","Andre Cisco (NYJ)","26","15","0","1","1","0","0","1","0","8","58.5","7.3","2.4%"
"173","Jahdae Barron (DEN)","22","11","0","0","5","1","0","1","0","17","58.0","3.4","1.9%"
"174","Terrion Arnold (DET)","23","8","0","0","8","1","0","0","0","8","57.6","7.2","3.7%"
"175","Avonte Maddox (DET)","22","9","0","1","4","1","1","0","0","11","57.4","5.2","1.5%"
"176","Noah Igbinoghene (WAS)","22","13","1","1","5","0","0","0","0","14","57.0","4.1","1.5%"
"177","Kevin Winston Jr. (TEN)","20","12","1","4","2","0","0","0","0","9","56.2","6.2","15.7%"
"178","Darien Porter (LV)","25","12","0","0","3","0","0","1","0","14","55.3","3.9","1.4%"
"179","Kaiir Elam (TEN)","22","11","0","1","2","0","0","2","0","12","55.0","4.6","1.4%"
"180","Marshon Lattimore (WAS)","16","11","0","1","7","1","0","1","0","9","54.4","6.0","0.8%"
"181","Deonte Banks (NYG)","24","7","0","2","5","0","0","0","0","16","53.9","3.4","22.8%"
"182","Jaden Hicks (KC)","24","11","0.5","0","4","0","0","0","0","17","52.6","3.1","3.2%"
"183","Jason Pinnock (SF)","26","14","0","1","0","0","0","0","0","16","52.2","3.3","1.1%"
"183","Markquese Bell (DAL)","17","14","0","1","3","1","1","0","0","15","52.2","3.5","2.3%"
"185","Darious Williams (LAR)","18","7","0","1","8","1","0","0","0","12","52.1","4.3","2.1%"
"186","Benjamin St-Juste (LAC)","19","10","0","0","7","1","0","0","0","16","51.8","3.2","1.2%"
"187","Billy Bowman Jr. (ATL)","15","11","1.5","1","2","1","1","0","0","6","51.3","8.5","7.5%"
"188","Shavon Revel Jr. (DAL)","23","12","0","1","3","0","0","0","0","7","50.6","7.2","1.8%"
"189","Ronnie Harrison Jr. (ATL)","18","9","2","2","2","0","0","0","0","10","49.9","5.0","0.9%"
"190","Benjamin Morrison (TB)","19","7","0","2","4","0","0","1","0","11","48.9","4.4","2.3%"
"191","Max Melton (ARI)","21","9","0","1","5","0","0","0","0","9","48.4","5.4","1.1%"
"191","Trey Amos (WAS)","19","13","0","1","5","0","0","0","0","10","48.4","4.8","1.8%"
"193","Kelee Ringo (PHI)","21","3","0","1","2","0","1","1","0","14","47.4","3.4","0.7%"
"194","Carrington Valentine (GB)","24","6","0","0","4","0","0","0","0","16","46.8","2.9","1.8%"
"195","Myles Bryant (HOU)","21","16","0","1","0","0","0","0","0","8","46.3","5.8","1.4%"
"196","Charvarius Ward (IND)","17","8","0","0","7","0","0","1","0","7","46.2","6.6","2.7%"
"197","Juan Thornhill (PIT)","20","15","0","1","1","0","0","0","0","8","45.5","5.7","0.7%"
"198","Kerby Joseph (DET)","14","4","0","0","4","3","0","0","0","8","45.1","5.6","14.4%"
"199","Marcus Harris (TEN)","16","9","0","1","5","0","1","0","0","11","45.0","4.1","1.5%"
"200","Jalyn Armour-Davis (TEN)","18","16","0","1","2","0","0","0","0","11","44.8","4.1","1.9%"
"201","Jordan Howden (NO)","15","10","0","1","0","0","0","1","1","15","42.7","2.8","1.1%"
"202","RJ Mickens (LAC)","14","11","0","0","2","2","0","0","0","11","42.6","3.9","3.2%"
"203","Rayshawn Jenkins (CLE)","10","16","0","0","1","1","1","1","0","17","41.9","2.5","1.2%"
"204","Maxwell Hairston (BUF)","14","4","0","0","5","2","0","0","0","11","41.6","3.8","3.4%"
"205","Cameron Mitchell (IND)","14","5","0","2","4","0","1","0","0","10","39.9","4.0","1.0%"
"206","Azareye'h Thomas (NYJ)","12","8","0","2","7","0","0","0","0","8","39.6","5.0","1.2%"
"207","Jalen Davis (CIN)","7","12","1","2","1","1","1","0","0","7","39.1","5.6","0.9%"
"208","Jason Marshall Jr. (MIA)","13","7","0","1","4","1","0","0","0","12","38.5","3.2","1.3%"
"209","Qwan'tez Stiggers (NYJ)","12","7","0","1","3","0","0","2","0","12","38.3","3.2","0.8%"
"210","Chris Roland-Wallace (KC)","15","8","0","0","3","1","0","0","0","10","38.2","3.8","0.7%"
"211","Trevon Diggs (GB)","20","7","0","1","0","0","0","0","0","9","37.9","4.2","0.8%"
"212","L'Jarius Sneed (TEN)","18","8","0","0","3","0","0","0","0","7","37.6","5.4","1.9%"
"213","Nate Hobbs (GB)","13","13","0","2","2","0","0","0","0","12","37.5","3.1","1.2%"
"214","Trikweze Bridges (DAL)","16","5","0","0","3","1","0","0","0","12","37.4","3.1","1.3%"
"215","Quandre Diggs (TEN)","17","13","0","0","1","0","0","0","0","9","36.9","4.1","1.4%"
"216","Johnathan Edwards (IND)","18","6","0","0","3","0","0","0","0","11","36.2","3.3","1.3%"
"217","Darrell Luter Jr. (SF)","15","7","0","1","1","0","0","1","0","10","36.0","3.6","1.0%"
"218","James Williams Sr. (TEN)","14","4","1","3","0","0","0","0","0","11","35.6","3.2","1.1%"
"219","Nick McCloud (CHI)","17","9","0","0","2","0","0","0","0","13","35.4","2.7","0.7%"
"220","Cam Taylor-Britt (CIN)","12","9","0","1","5","0","0","0","0","8","35.0","4.4","1.8%"
"220","Josh Wallace (LAR)","17","0","0","0","3","1","0","0","0","13","35.0","2.7","0.7%"
"222","Jay Ward (MIN)","11","13","0","1","1","0","0","1","0","16","34.4","2.2","1.6%"
"223","Kris Abrams-Draine (DEN)","16","8","0","1","1","0","0","0","0","12","34.1","2.8","1.1%"
"224","Keyon Martin (BAL)","16","2","1","1","1","0","0","0","0","10","33.6","3.4","1.1%"
"225","Lonnie Johnson Jr. (LV)","14","11","0","0","2","0","0","0","0","9","32.6","3.6","1.8%"
"226","Taylor Rapp (BUF)","17","9","0","0","0","0","0","0","0","6","32.4","5.4","0.8%"
"227","Jaylon Johnson (CHI)","15","2","0","0","2","1","0","0","0","7","32.1","4.6","3.7%"
"228","Michael Carter II (PHI)","12","11","0","1","2","0","0","0","0","13","31.9","2.5","1.3%"
"229","Dell Pettus (NE)","10","4","1","1","2","0","1","0","0","14","31.6","2.3","12.5%"
"230","Christian Izien (TB)","12","8","0","1","0","0","1","0","0","11","30.6","2.8","0.9%"
"231","Kristian Fulton (KC)","12","4","0","0","6","0","0","0","0","8","30.1","3.8","3.0%"
"232","Kindle Vildor (TB)","11","5","0","0","3","1","0","0","0","7","29.9","4.3","0.7%"
"233","Marcus Epps (PHI)","17","2","0","1","0","0","0","0","0","9","29.6","3.3","8.4%"
"234","Sydney Brown (PHI)","11","9","0","0","0","0","0","0","0","16","29.4","1.8","0.8%"
"235","Derion Kendrick (LAR)","4","3","0","1","5","2","0","0","0","10","28.3","2.8","1.8%"
"235","Christian Braswell (JAC)","11","3","0","2","3","0","0","0","0","10","28.3","2.8","0.7%"
"237","M.J. Stewart Jr. (HOU)","10","8","0","0","2","0","1","0","0","8","28.1","3.5","0.8%"
"237","Darnell Savage Jr. (BUF)","10","8","0","0","2","0","1","0","0","12","28.1","2.3","0.7%"
"239","Caelen Carson (DAL)","12","5","0","1","2","0","0","0","0","7","27.3","3.9","0.8%"
"240","Erick Hallett II (TEN)","12","10","0","0","1","0","0","0","0","3","27.1","9.0","2.1%"
"241","Jaylon Jones (IND)","10","4","0","1","4","0","0","0","0","9","26.6","3.0","0.8%"
"242","Tremon Smith (HOU)","11","5","0","1","2","0","0","0","0","15","25.9","1.7","1.0%"
"243","Fabian Moreau (MIN)","13","4","0","0","2","0","0","0","0","11","25.6","2.3","1.2%"
"244","C.J. Henderson (ATL)","8","5","0","0","3","1","0","0","0","3","25.3","8.4","1.1%"
"245","Arthur Maulet (DET)","10","2","0","0","2","1","0","0","0","7","24.6","3.5","0.6%"
"246","Kei'Trel Clark (ARI)","10","5","0","1","2","0","0","0","0","12","24.4","2.0","1.3%"
"247","Darnay Holmes (LV)","13","6","0","0","0","0","0","0","0","12","24.2","2.0","1.1%"
"248","Juanyeh Thomas (DAL)","12","8","0","0","0","0","0","0","0","6","24.1","4.0","19.7%"
"249","Chris Lammons (IND)","7","2","0","1","3","1","0","0","0","7","24.0","3.4","0.7%"
"250","Ethan Bonner (MIA)","4","3","0","1","2","1","0","1","0","11","22.9","2.1","1.3%"
"250","Corey Thornton (CAR)","7","5","0","0","3","0","1","0","0","9","22.9","2.5","0.9%"
"252","Isaac Yiadom (NO)","11","5","0","1","0","0","0","0","0","12","22.8","1.9","1.0%"
"252","Korie Black (NYG)","7","11","0","1","1","0","0","0","0","7","22.8","3.3","0.7%"
"254","Kemon Hall (TEN)","9","0","0","2","0","0","1","0","0","2","22.5","11.3","1.3%"
"255","T.J. Tampa Jr. (BAL)","7","5","0","0","2","1","0","0","0","17","22.4","1.3","0.7%"
"256","Jeff Okudah (MIN)","11","1","0","0","0","0","0","1","0","6","21.3","3.6","0.6%"
"257","Mike Edwards (KC)","9","4","0","1","1","0","0","0","0","6","20.6","3.4","0.6%"
"258","Daniel Thomas (DET)","7","8","0","1","1","0","0","0","0","10","20.5","2.1","1.0%"
"259","Terrell Burgess (NO)","6","9","0","0","3","0","0","0","0","16","20.4","1.3","7.0%"
"260","Sam Webb (CLE)","3","5","0","0","1","0","0","1","1","6","19.8","3.3","2.5%"
"260","JuJu Brents (MIA)","8","3","0","0","1","0","0","1","0","6","19.8","3.3","1.3%"
"260","Jaylen Reed (HOU)","8","5","0","0","0","0","0","1","0","3","19.8","6.6","0.8%"
"263","Josh Newton (CIN)","9","2","0","0","3","0","0","0","0","14","19.6","1.4","0.9%"
"264","Kyler Gordon (CHI)","5","2","1","1","0","0","0","1","0","3","19.5","6.5","6.8%"
"265","Tristin McCollum (LV)","7","3","0","2","1","0","0","0","0","10","19.4","1.9","1.1%"
"266","P.J. Locke (DEN)","6","4","0","1","3","0","0","0","0","10","19.0","1.9","1.0%"
"267","Antonio Hamilton Sr. (WAS)","8","5","0","0","2","0","0","0","0","13","18.9","1.5","0.9%"
"267","Kendell Brooks (TEN)","8","9","0","0","0","0","0","0","0","8","18.9","2.4","4.5%"
"269","Ahkello Witherspoon (LAR)","6","2","0","0","2","1","0","0","0","7","18.6","2.7","1.2%"
"270","Asante Samuel Jr. (PIT)","6","4","0","0","1","1","0","0","0","6","18.5","3.1","1.2%"
"271","Ar'Darius Washington (BAL)","3","4","1","1","0","0","1","0","0","4","18.1","4.5","2.4%"
"272","Xavien Howard (IND)","7","4","0","0","0","0","0","1","0","4","17.6","4.4","0.7%"
"272","Cobee Bryant (ATL)","8","2","0","1","1","0","0","0","0","7","17.6","2.5","0.7%"
"274","Darren Hall (ARI)","7","9","0","0","0","0","0","0","0","11","17.4","1.6","1.3%"
"275","K'Von Wallace (HOU)","7","2","0","2","0","0","0","0","0","2","17.0","8.5","1.9%"
"276","Rodney Thomas II (IND)","8","3","0","1","0","0","0","0","0","17","16.8","1.0","14.5%"
"277","DJ Ivey (CIN)","7","2","0","0","3","0","0","0","0","14","16.5","1.2","0.7%"
"277","Keidron Smith (NYJ)","7","8","0","0","0","0","0","0","0","2","16.5","8.3","1.7%"
"279","Alex Austin (NE)","7","2","0","1","1","0","0","0","0","6","16.0","2.7","0.6%"
"280","Samuel Womack III (NYJ)","6","5","0","0","2","0","0","0","0","4","15.9","4.0","3.7%"
"281","D'Anthony Bell (SEA)","4","6","0.5","1","0","0","0","0","0","11","15.1","1.4","1.8%"
"281","Kitan Crawford (ARI)","6","6","0","0","1","0","0","0","0","13","15.1","1.2","7.4%"
"283","Rayuan Lane III (JAC)","4","1","0","1","1","0","0","1","0","17","14.8","0.9","3.2%"
"284","Jabrill Peppers (PIT)","3","7","0","0","0","0","0","1","0","8","13.8","1.7","0.8%"
"285","Mike Hilton (IND)","4","1","0","1","0","0","1","0","0","2","13.3","6.7","1.6%"
"286","Raheem Layne (NYG)","6","2","0","1","0","0","0","0","0","3","13.0","4.3","1.3%"
"286","Micah Robinson (TEN)","3","4","0","1","2","0","0","0","0","7","13.0","1.9","0.8%"
"288","Marcus Williams (LAC)","7","3","0","0","0","0","0","0","0","3","12.8","4.3","0.6%"
"288","Ja'Sir Taylor (NYJ)","5","5","0","0","1","0","0","0","0","11","12.8","1.2","1.7%"
"288","Ja'Marcus Ingram (HOU)","6","1","0","0","2","0","0","0","0","9","12.8","1.4","5.1%"
"288","Greedy Vance Jr. (LV)","7","1","0","0","1","0","0","0","0","6","12.8","2.1","1.1%"
"292","Jordan Hancock (BUF)","5","6","0","0","0","0","0","0","0","12","12.1","1.0","0.8%"
"293","Charles Woods (NE)","6","2","0","0","1","0","0","0","0","12","12.0","1.0","0.8%"
"293","Jordan Clark (NYJ)","7","2","0","0","0","0","0","0","0","5","12.0","2.4","6.5%"
"295","Jakorian Bennett (PHI)","6","1","0","0","1","0","0","0","0","5","11.3","2.3","0.7%"
"296","Alijah Huzzie (HOU)","3","0","0","0","1","1","0","0","0","1","11.0","11.0","0.7%"
"297","Dean Clark (NYJ)","6","2","0","0","0","0","0","0","0","7","10.6","1.5","6.8%"
"298","Shaquill Griffin (SEA)","7","0","0","0","0","0","0","0","0","4","10.5","2.6","0.7%"
"298","Alijah Clark (DAL)","6","2","0","0","0","0","0","0","0","10","10.5","1.1","9.4%"
"298","Dorian Strong (BUF)","7","0","0","0","0","0","0","0","0","4","10.5","2.6","0.7%"
"301","Jaylon Jones (CHI)","4","0","0","0","0","0","1","0","0","11","10.0","0.9","1.5%"
"302","Jalen Mills (DET)","3","5","0","0","1","0","0","0","0","5","9.8","2.0","1.0%"
"302","Julian Blackmon (NO)","4","3","0","0","1","0","0","0","0","2","9.8","4.9","3.5%"
"302","Jaylin Simpson (GB)","5","3","0","0","0","0","0","0","0","1","9.8","9.8","5.5%"
"302","Rico Payton (NYG)","4","3","0","0","1","0","0","0","0","4","9.8","2.5","1.9%"
"306","Nick Whiteside II (DET)","2","2","0","0","3","0","0","0","0","5","9.1","1.8","1.3%"
"307","D'Angelo Ross (CLE)","3","2","0","0","2","0","0","0","0","4","9.0","2.3","0.9%"
"307","Tre Brown (NYJ)","4","4","0","0","0","0","0","0","0","2","9.0","4.5","1.3%"
"307","Natrone Brooks (ATL)","3","2","0","0","2","0","0","0","0","15","9.0","0.6","1.0%"
"310","Donovan McMillon (CLE)","1","1","1","1","0","0","0","0","0","14","8.8","0.6","5.0%"
"311","Tavierre Thomas (MIN)","2","2","0","0","0","0","1","0","0","15","8.6","0.6","0.7%"
"311","Demani Richardson (CAR)","2","2","0","0","0","0","0","1","0","7","8.6","1.2","1.0%"
"311","Jaylin Smith (HOU)","2","2","0","0","0","0","0","1","0","4","8.6","2.2","0.8%"
"314","Elijah Hicks (CHI)","4","3","0","0","0","0","0","0","0","15","8.4","0.6","0.9%"
"314","Kevin Knowles II (KC)","2","3","0","0","2","0","0","0","0","11","8.4","0.8","0.7%"
"316","Tycen Anderson (CIN)","2","5","0","0","1","0","0","0","0","15","8.3","0.6","2.7%"
"316","Jerrick Reed II (TEN)","4","3","0","0","0","0","0","0","0","5","8.3","1.7","13.5%"
"316","Kitan Oladapo (GB)","4","1","0","0","1","0","0","0","0","8","8.3","1.0","0.7%"
"316","Johnathan Baldwin II (GB)","4","3","0","0","0","0","0","0","0","1","8.3","8.3","1.9%"
"320","Nehemiah Pritchett (SEA)","2","2","0","0","2","0","0","0","0","14","7.6","0.5","1.3%"
"321","Keith Taylor Jr. (ATL)","4","2","0","0","0","0","0","0","0","1","7.5","7.5","0.7%"
"321","Sanoussi Kane (TEN)","3","4","0","0","0","0","0","0","0","6","7.5","1.3","1.9%"
"323","Jaire Alexander (BAL)","4","1","0","0","0","0","0","0","0","2","6.8","3.4","0.8%"
"323","Dom Jones (CLE)","4","1","0","0","0","0","0","0","0","6","6.8","1.1","0.7%"
"325","Tre Avery (CLE)","3","2","0","0","0","0","0","0","0","8","6.1","0.8","5.1%"
"326","Jonathan Owens (CHI)","4","0","0","0","0","0","0","0","0","15","6.0","0.4","1.6%"
"326","Brenden Schooler (NE)","3","2","0","0","0","0","0","0","0","13","6.0","0.5","1.3%"
"326","Josh Butler (DAL)","3","2","0","0","0","0","0","0","0","1","6.0","6.0","0.8%"
"329","DeMarcco Hellams (ATL)","0","2","0","0","0","0","0","1","0","8","5.6","0.7","3.1%"
