PLAYER,POS,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Kimani Vidal,RB,LAC,—,—,—,0,1,4,5,2,1,1,2,BYE,1,3,1,0,—,21,1.8
Nick Westbrook-Ikhine,WR,MIA,2,3,0,1,0,1,4,3,4,1,0,BYE,0,0,1,—,—,20,1.4
Zach Charbonnet,RB,SEA,0,0,—,2,2,1,2,BYE,1,0,2,0,0,3,1,4,2,20,1.3
Nick Chubb,RB,HOU,1,2,4,2,1,BYE,3,2,0,1,2,1,0,0,—,1,0,20,1.3
Derrick Henry,RB,BAL,1,0,1,3,1,2,BYE,1,1,3,2,2,1,2,0,0,0,20,1.3
Julian Hill,TE,MIA,0,0,1,2,5,3,2,—,—,—,1,BYE,1,0,2,0,2,19,1.5
Devin Neal,RB,NO,0,—,—,—,—,—,0,3,1,3,BYE,7,3,1,1,—,—,19,2.1
Emari Demercado,RB,ARI,0,0,1,2,0,1,—,BYE,1,4,3,—,—,—,3,1,3,19,1.6
Devin Singletary,RB,NYG,0,1,0,0,2,0,0,1,2,3,1,0,3,BYE,1,1,4,19,1.2
Zay Jones,WR,ARI,1,0,3,—,3,8,2,BYE,0,1,—,—,—,—,—,—,—,18,2.3
Tyler Johnson,WR,NYJ,2,1,3,—,0,1,3,5,BYE,1,0,—,0,—,—,1,1,18,1.5
Johnny Mundt,TE,JAC,1,0,1,1,1,2,4,BYE,0,2,3,2,0,—,0,0,1,18,1.2
Jackson Hawes,TE,BUF,1,1,1,1,0,0,BYE,3,2,2,0,2,1,1,1,2,0,18,1.1
Allen Lazard,WR,NYJ,—,0,3,1,2,—,3,2,BYE,—,—,3,1,1,2,—,—,18,1.8
Treylon Burks,WR,WAS,—,—,—,—,—,—,—,—,1,3,—,BYE,4,1,2,5,2,18,2.6
Samaje Perine,RB,CIN,2,0,0,1,2,3,0,1,0,BYE,—,—,2,1,1,3,1,17,1.2
Drew Sample,TE,CIN,1,2,3,0,1,2,0,0,0,BYE,0,1,2,0,2,2,1,17,1.1
Hunter Long,TE,JAC,1,0,3,3,1,3,3,BYE,3,—,—,—,—,0,—,—,—,17,1.9
Chris Brooks,RB,GB,1,4,0,1,BYE,0,1,0,2,0,0,1,2,1,2,0,2,17,1.1
Elijah Moore,WR,BUF,1,1,3,0,—,2,BYE,4,1,2,—,3,—,—,—,—,—,17,1.9
Josh Oliver,TE,MIN,1,0,1,1,3,BYE,1,0,—,—,1,1,0,2,1,3,2,17,1.2
Mason Tipton,WR,NO,—,—,0,0,0,0,1,1,0,0,BYE,4,4,0,2,5,—,17,1.3
Isaiah Hodgins,WR,NYG,—,—,—,—,—,—,—,—,—,—,6,6,1,BYE,2,0,2,17,2.8
Mo Alie-Cox,TE,IND,1,1,0,0,0,2,2,0,1,1,BYE,1,0,2,0,2,3,16,1.0
Trey Benson,RB,ARI,1,6,4,5,—,—,—,BYE,—,—,0,—,—,—,—,—,—,16,3.2
Brycen Tremayne,WR,CAR,0,5,2,4,1,0,0,0,1,—,2,0,0,BYE,0,0,1,16,1.1
Emanuel Wilson,RB,GB,0,0,0,3,BYE,1,1,4,2,1,1,2,0,0,0,0,1,16,1.0
Jordan Mason,RB,MIN,1,3,0,3,4,BYE,0,1,1,1,0,0,1,0,0,1,—,16,1.1
Tanner Conner,TE,MIA,4,0,2,0,2,1,3,2,1,—,—,BYE,—,—,—,—,—,15,1.7
Jamari Thrash,WR,CLE,1,1,3,0,1,3,2,3,BYE,1,—,—,—,—,—,—,—,15,1.7
Luke McCaffrey,WR,WAS,0,1,3,3,2,1,2,3,0,—,—,BYE,—,—,—,—,—,15,1.7
Ray-Ray McCloud III,WR,NYG,5,2,5,2,—,—,—,—,1,0,—,—,—,BYE,—,—,—,15,2.5
John FitzPatrick,TE,GB,1,0,2,0,BYE,0,1,1,0,0,1,1,1,2,4,1,—,15,1.0
Charlie Kolar,TE,BAL,0,0,3,0,1,1,BYE,1,2,2,1,0,1,1,0,1,1,15,0.9
Zavier Scott,RB,MIN,—,—,1,8,0,BYE,1,2,0,—,—,—,1,1,—,1,0,15,1.5
Ameer Abdullah,RB,IND,—,—,—,—,0,1,1,1,1,1,BYE,1,0,2,5,1,1,15,1.3
Arian Smith,WR,NYJ,0,2,2,0,1,1,3,1,BYE,0,0,0,—,0,2,1,1,14,0.9
Tyler Allgeier,RB,ATL,0,1,2,0,BYE,1,0,2,0,0,2,1,2,2,0,1,0,14,0.9
Casey Washington,WR,ATL,6,—,—,3,BYE,2,2,1,—,0,0,—,—,—,—,—,—,14,2.0
Bhayshul Tuten,RB,JAC,0,2,1,1,1,3,0,BYE,1,2,0,1,1,0,1,—,—,14,1.0
Luke Farrell,TE,SF,1,3,0,2,2,0,1,0,1,2,0,1,1,BYE,0,0,0,14,0.9
Cade Stover,TE,HOU,4,—,—,—,—,BYE,—,—,—,—,0,2,2,0,3,3,0,14,1.8
J.K. Dobbins,RB,DEN,2,2,2,1,1,1,1,2,1,1,—,BYE,—,—,—,—,—,14,1.4
Hunter Luepke,RB,DAL,0,0,0,1,1,2,1,0,0,BYE,3,1,0,0,2,2,1,14,0.9
John Bates,TE,WAS,0,0,—,—,1,0,2,1,4,2,0,BYE,2,0,1,1,0,14,1.0
Kevin Austin Jr.,WR,NO,—,—,1,—,—,—,—,—,—,—,BYE,0,0,0,5,3,5,14,2.0
Jalin Hyatt,WR,NYG,—,—,0,0,3,5,1,—,0,—,4,—,—,BYE,1,—,—,14,1.8
Gage Larvadain,WR,CLE,—,—,—,—,0,4,1,0,BYE,0,1,0,3,3,2,0,0,14,1.2
Jimmy Horn Jr.,WR,CAR,—,—,—,—,3,2,2,1,2,0,0,1,0,BYE,1,0,2,14,1.2
Jalen McMillan,WR,TB,—,—,—,—,—,—,—,—,BYE,—,—,—,—,—,2,3,9,14,4.7
Jacory Croskey-Merritt,RB,WAS,1,1,1,2,2,1,2,1,1,0,1,BYE,0,0,0,0,0,13,0.8
Blake Corum,RB,LAR,1,0,0,4,2,0,1,BYE,0,0,2,0,0,1,0,2,0,13,0.8
Ian Thomas,TE,LV,0,0,0,0,3,1,0,BYE,1,0,1,4,1,2,—,—,0,13,0.9
Xavier Weaver,WR,ARI,—,—,—,1,—,—,0,BYE,0,—,3,3,1,—,—,2,3,13,1.6
Taysom Hill,TE,NO,—,—,—,—,0,0,2,1,0,1,BYE,0,1,2,0,6,0,13,1.1
Brian Robinson Jr.,RB,SF,2,1,0,0,0,3,0,0,0,1,1,2,0,BYE,0,1,1,12,0.8
Bo Melton,WR,GB,0,—,0,0,BYE,0,0,0,0,5,0,0,1,2,1,0,3,12,0.8
Tutu Atwell,WR,LAR,1,1,1,2,4,—,0,BYE,—,—,—,—,—,—,2,0,1,12,1.3
Scotty Miller,WR,PIT,0,0,0,1,BYE,0,1,—,—,—,0,0,—,0,0,3,7,12,1.0
Raheem Mostert,RB,LV,—,—,—,1,0,0,1,BYE,1,1,2,3,0,1,1,1,—,12,1.0
Malachi Corley,WR,CLE,—,—,—,—,0,0,2,0,BYE,1,2,1,0,0,1,4,1,12,1.0
Keaton Mitchell,RB,BAL,—,—,—,—,1,0,BYE,0,1,0,3,1,3,0,1,0,2,12,1.0
Will Dissly,TE,LAC,1,1,—,—,—,2,1,—,—,—,—,BYE,—,1,0,3,2,11,1.4
Jack Stoll,TE,NO,0,0,3,1,0,0,1,1,0,—,BYE,1,0,1,1,2,0,11,0.7
Sean Tucker,RB,TB,0,0,0,0,3,0,1,0,BYE,2,2,2,0,0,0,0,1,11,0.7
LeQuint Allen Jr.,RB,JAC,1,0,1,1,0,2,1,BYE,1,1,0,0,0,2,1,0,0,11,0.7
Dare Ogunbowale,RB,HOU,2,0,0,0,0,BYE,1,1,1,0,1,0,0,0,4,1,0,11,0.7
Ray Davis,RB,BUF,1,0,1,0,0,2,BYE,1,0,2,0,0,0,0,1,2,1,11,0.7
Rasheen Ali,RB,BAL,0,0,0,0,0,0,BYE,0,0,—,1,—,0,3,2,2,3,11,0.8
Ben Sinnott,TE,WAS,0,1,0,0,0,0,0,1,0,1,—,BYE,0,1,1,2,4,11,0.7
Nate Adkins,TE,DEN,—,—,0,3,1,2,3,1,—,—,—,BYE,—,—,0,1,—,11,1.4
Dylan Drummond,WR,ATL,—,—,—,—,BYE,—,—,0,0,—,—,3,3,5,0,0,0,11,1.4
James Proche II,WR,TEN,—,—,—,—,—,—,—,0,0,BYE,—,3,1,1,1,0,5,11,1.4
Gabe Davis,WR,BUF,—,—,—,—,—,—,BYE,—,—,—,4,2,2,2,—,—,1,11,2.2
Brevyn Spann-Ford,TE,DAL,1,1,0,0,0,1,0,1,0,BYE,1,1,0,1,1,0,2,10,0.6
Noah Brown,WR,WAS,3,4,—,—,—,—,—,—,—,—,—,BYE,—,2,1,—,—,10,2.5
KhaDarel Hodge,WR,ATL,1,0,0,—,BYE,0,0,8,0,0,1,0,—,—,0,—,—,10,0.9
Savion Williams,WR,GB,1,0,0,3,BYE,0,0,1,2,2,1,0,—,—,—,0,—,10,0.8
Grant Calcaterra,TE,PHI,0,2,0,2,2,—,—,0,BYE,1,0,1,0,0,1,0,1,10,0.7
Foster Moreau,TE,NO,—,—,—,—,0,1,0,1,0,3,BYE,1,2,1,0,1,—,10,0.9
Austin Trammell,WR,JAC,—,—,—,—,—,—,—,BYE,1,3,1,1,4,0,—,—,—,10,1.7
Will Shipley,RB,PHI,0,—,—,1,2,0,1,0,BYE,2,0,0,1,1,0,1,0,9,0.6
Tyler Conklin,TE,LAC,2,0,2,1,3,0,—,0,—,1,—,BYE,0,—,—,—,—,9,1.0
Alec Ingold,RB,MIA,2,2,0,0,1,1,0,1,0,0,0,BYE,0,0,1,1,0,9,0.6
James Conner,RB,ARI,4,1,4,—,—,—,—,BYE,—,0,—,—,—,—,—,—,—,9,2.3
Charlie Woerner,TE,ATL,0,0,1,0,BYE,0,1,0,0,1,0,3,0,0,2,1,0,9,0.6
Curtis Samuel,WR,BUF,—,—,—,2,2,—,BYE,0,1,1,3,—,—,—,—,—,—,9,1.5
Stone Smartt,TE,NYJ,—,—,—,0,—,0,—,—,BYE,0,—,—,0,1,0,5,3,9,1.1
Robbie Chosen,WR,WAS,—,—,—,—,—,—,4,—,—,4,1,BYE,—,—,—,—,—,9,3.0
Miles Sanders,RB,DAL,1,2,3,2,—,—,—,—,—,BYE,—,—,—,—,—,—,—,8,2.0
Ashton Dulin,WR,IND,0,0,0,1,5,0,—,1,0,0,BYE,1,—,—,—,—,0,8,0.7
Ollie Gordon II,RB,MIA,1,1,0,1,0,1,2,1,1,0,0,BYE,0,0,0,0,0,8,0.5
Adam Prentice,RB,DEN,1,0,0,0,0,0,1,0,0,1,2,BYE,1,2,0,0,0,8,0.5
Tylan Wallace,WR,BAL,0,2,1,2,0,0,BYE,1,0,0,1,1,—,0,0,—,—,8,0.6
Quintin Morris,TE,JAC,—,0,—,0,0,0,—,BYE,—,0,3,0,2,0,2,1,0,8,0.7
Braxton Berrios,WR,HOU,—,—,—,—,—,BYE,3,5,0,0,—,—,—,—,—,—,—,8,2.0
Audric Estime,RB,NO,—,—,—,—,—,—,—,—,—,0,BYE,—,0,0,3,4,1,8,1.3
KeAndre Lambert-Smith,WR,LAC,1,0,—,0,0,2,—,—,1,—,—,BYE,—,—,1,1,1,7,0.8
Dee Eskridge,WR,MIA,2,1,0,0,0,1,2,0,1,—,—,BYE,0,0,0,0,—,7,0.5
Austin Ekeler,RB,WAS,3,4,—,—,—,—,—,—,0,—,—,BYE,—,—,—,—,—,7,2.3
Kameron Johnson,WR,TB,0,0,0,0,0,4,1,0,BYE,1,0,0,0,1,0,0,0,7,0.4
Skyy Moore,WR,SF,0,0,1,1,0,0,1,1,1,1,0,0,0,BYE,0,1,0,7,0.4
Andrew Beck,TE,NYJ,0,0,0,0,2,1,0,1,BYE,0,0,1,0,1,1,0,0,7,0.4
Malik Heath,WR,GB,0,1,0,1,BYE,0,0,3,1,0,—,0,1,—,—,—,—,7,0.6
Jahdae Walker,WR,CHI,—,—,—,0,BYE,—,—,0,0,—,—,—,—,0,—,3,4,7,1.2
Jaylen Wright,RB,MIA,—,—,—,—,—,—,0,1,0,0,0,BYE,0,3,1,2,0,7,0.7
Cedrick Wilson Jr.,WR,MIA,—,—,—,—,—,—,—,1,1,0,0,BYE,2,0,0,1,2,7,0.8
Trayveon Williams,RB,CLE,—,—,—,—,—,—,—,—,BYE,0,1,—,—,0,2,4,0,7,1.2
Xavier Restrepo,WR,TEN,—,—,—,—,—,—,—,—,—,BYE,—,6,1,—,—,—,—,7,3.5
Anthony Firkser,TE,DET,—,—,—,—,—,—,—,BYE,—,—,—,0,1,1,0,4,1,7,1.2
Jawhar Jordan,RB,HOU,—,—,—,—,—,BYE,—,—,—,—,—,—,—,—,2,5,0,7,2.3
Drew Ogletree,TE,IND,0,0,0,0,0,0,0,1,0,0,BYE,2,1,0,0,2,—,6,0.4
Ben Skowronek,WR,PIT,1,0,0,1,BYE,0,0,1,0,0,0,1,1,1,0,0,—,6,0.4
Darius Cooper,WR,PHI,0,0,0,—,—,—,—,0,BYE,0,0,2,0,1,2,0,1,6,0.5
Beaux Collins,WR,NYG,0,0,0,0,3,0,1,2,0,—,—,—,—,BYE,—,—,—,6,0.7
Durham Smythe,TE,CHI,0,0,0,0,BYE,0,0,0,0,0,3,1,0,1,0,0,1,6,0.4
Devontez Walker,WR,BAL,—,2,1,0,0,—,BYE,—,—,—,0,1,2,—,0,0,0,6,0.6
Harrison Bryant,TE,HOU,—,1,0,0,2,BYE,0,1,2,0,—,—,—,—,0,0,0,6,0.5
Albert Okwuegbunam Jr.,TE,LV,—,—,—,—,6,—,—,BYE,—,—,—,—,—,—,—,—,—,6,6.0
Jalen Brooks,WR,ARI,—,—,—,—,0,—,—,BYE,—,—,—,—,—,3,3,0,0,6,1.2
Dante Pettis,WR,NO,—,—,—,—,—,—,—,—,—,0,BYE,1,0,0,0,1,4,6,0.9
Kendre Miller,RB,NO,0,1,2,0,1,1,0,—,—,—,BYE,—,—,—,—,—,—,5,0.7
Tip Reiman,TE,ARI,1,0,3,0,1,—,—,BYE,—,—,—,—,—,—,—,—,—,5,1.0
Zamir White,RB,LV,0,3,2,—,—,—,—,BYE,—,—,—,—,—,—,—,—,0,5,1.3
Trent Sherfield Sr.,WR,ARI,1,1,0,0,2,0,0,0,0,0,—,—,—,1,0,—,—,5,0.4
Devin Duvernay,WR,CHI,0,0,0,0,BYE,0,0,3,0,0,0,0,0,1,0,0,1,5,0.3
Blake Whiteheart,TE,CLE,0,0,0,1,0,1,1,0,BYE,0,—,0,0,1,0,0,1,5,0.3
Shane Zylstra,TE,DET,0,—,—,—,—,—,—,BYE,—,—,—,—,—,—,0,5,0,5,1.3
Ross Dwelley,TE,DET,—,—,0,0,0,0,0,BYE,—,1,0,0,3,1,—,—,—,5,0.5
Malik Davis,RB,DAL,—,—,—,—,—,—,0,0,0,BYE,0,0,0,0,3,0,2,5,0.5
Josh Whyle,TE,GB,—,—,—,—,BYE,—,—,—,—,0,1,1,1,1,0,—,1,5,0.7
Theo Wease Jr.,WR,MIA,—,—,—,—,—,—,—,—,—,—,—,BYE,—,—,—,4,1,5,2.5
Kylen Granson,TE,PHI,1,1,0,0,0,0,0,0,BYE,0,2,0,0,0,0,0,0,4,0.3
Hassan Haskins,RB,LAC,0,0,0,0,1,1,2,—,0,0,—,BYE,—,0,—,0,0,4,0.3
Dylan Laube,RB,LV,0,2,1,0,0,0,1,BYE,0,0,0,0,0,0,0,0,0,4,0.3
Gunner Olszewski,WR,NYG,0,0,0,0,0,0,0,0,1,2,0,0,0,BYE,—,0,1,4,0.3
Ryan Miller,WR,TB,1,1,1,0,0,0,1,0,BYE,0,0,0,0,0,—,—,—,4,0.3
Eric Saubert,TE,SEA,0,0,1,0,0,0,0,BYE,—,—,—,—,—,—,1,0,2,4,0.4
Cody White,WR,SEA,0,—,—,—,—,—,—,BYE,2,0,0,0,1,1,0,0,—,4,0.4
Justin Watson,WR,HOU,2,2,—,—,—,BYE,—,—,—,—,—,—,—,—,—,—,—,4,2.0
Lucas Krull,TE,DEN,2,0,2,—,—,—,—,0,—,—,—,BYE,—,—,—,—,—,4,1.0
Jelani Woods,TE,NYJ,—,1,—,—,—,—,—,0,BYE,—,—,—,—,—,0,2,1,4,0.8
Tucker Fisk,TE,LAC,—,—,1,1,0,0,0,0,1,1,0,BYE,0,—,—,—,—,4,0.4
Brenden Bates,TE,CLE,—,—,—,0,2,—,0,—,BYE,—,0,0,—,—,0,1,1,4,0.5
Jaleel McLaughlin,RB,DEN,—,—,—,—,—,1,—,—,—,—,1,BYE,1,1,0,0,0,4,0.6
Mason Kinsey,WR,TEN,—,—,—,—,—,—,0,0,0,BYE,3,0,—,0,0,0,1,4,0.4
Shedrick Jackson,WR,LV,—,—,—,—,—,—,0,BYE,—,—,—,—,—,1,0,—,3,4,1.0
Michael Bandy,WR,DEN,—,—,—,—,—,—,—,—,1,0,—,BYE,—,—,1,—,2,4,1.0
Andre Baccellia,WR,ARI,—,—,—,—,—,—,—,BYE,—,—,1,0,0,3,0,—,—,4,0.8
Jonathan Mingo,WR,DAL,—,—,—,—,—,—,—,—,—,BYE,—,0,—,1,1,1,1,4,0.8
Tom Kennedy,WR,DET,—,—,—,—,—,—,—,BYE,—,—,—,—,4,0,0,0,0,4,0.8
Sal Cannella,TE,CLE,—,—,—,—,—,—,—,—,BYE,—,—,—,—,—,—,—,4,4,4.0
Najee Harris,RB,LAC,1,2,0,—,—,—,—,—,—,—,—,BYE,—,—,—,—,—,3,1.0
Raheim Sanders,RB,CLE,0,—,—,—,—,—,—,—,BYE,—,—,0,—,—,—,1,2,3,0.8
Antonio Gibson,RB,NE,1,1,0,0,1,—,—,—,—,—,—,—,—,BYE,—,—,—,3,0.6
Alex Bachman,WR,LV,1,0,0,—,1,0,0,BYE,0,0,—,0,0,—,—,1,0,3,0.3
Braelon Allen,RB,NYJ,0,1,2,0,—,—,—,—,BYE,—,—,—,—,—,—,—,—,3,0.8
Connor Heyward,TE,PIT,0,1,0,0,BYE,1,1,0,0,0,0,0,—,0,0,0,0,3,0.2
Colson Yankoff,TE,WAS,0,0,0,0,0,0,0,—,—,0,1,BYE,1,1,0,—,0,3,0.2
Payne Durham,TE,TB,0,1,0,0,0,0,0,0,BYE,1,0,0,1,0,0,0,0,3,0.2
Tank Bigsby,RB,PHI,0,—,0,0,0,0,1,0,BYE,0,0,0,0,0,1,0,1,3,0.2
Trevor Etienne,RB,CAR,0,1,0,0,1,0,0,0,0,0,0,0,1,BYE,0,0,0,3,0.2
David Martin-Robinson,TE,TEN,0,—,0,—,0,1,0,0,0,BYE,0,0,0,1,0,0,1,3,0.2
Tai Felton,WR,MIN,0,—,1,0,0,BYE,0,0,0,—,0,0,0,1,0,1,—,3,0.2
Zaire Mitchell-Paden,TE,NO,0,1,0,0,1,0,—,—,—,1,BYE,0,—,—,—,—,—,3,0.4
Dareke Young,WR,SEA,—,0,1,0,1,0,0,BYE,—,—,—,—,—,—,—,0,1,3,0.4
Josiah Deguara,TE,ARI,—,0,—,—,—,—,0,BYE,0,0,0,1,0,1,0,1,0,3,0.3
Tyler Goodson,RB,IND,—,—,0,1,—,—,—,0,2,0,BYE,0,0,0,0,0,—,3,0.3
Chris Rodriguez Jr.,RB,WAS,—,—,0,0,0,0,0,0,0,0,1,BYE,1,0,—,1,—,3,0.3
James Mitchell,TE,CAR,—,—,—,2,1,0,—,—,—,—,—,—,0,BYE,—,—,—,3,0.8
Deven Thompkins,WR,ATL,—,—,—,—,BYE,0,—,—,—,—,—,—,2,1,0,0,0,3,0.5
Jordan Watkins,WR,SF,—,—,—,—,—,—,—,2,1,0,—,—,—,BYE,0,0,—,3,0.6
AJ Dillon,RB,PHI,0,0,0,0,0,2,—,—,BYE,—,—,—,—,—,—,—,—,2,0.3
Derius Davis,WR,LAC,0,0,0,—,—,—,0,0,0,1,1,BYE,0,0,—,—,—,2,0.2
DJ Giddens,RB,IND,0,1,0,0,1,0,0,—,—,—,BYE,—,—,—,—,—,0,2,0.3
Anthony Gould,WR,IND,0,0,0,0,0,0,1,0,—,—,BYE,0,0,1,—,—,—,2,0.2
Tahj Brooks,RB,CIN,0,0,0,0,—,—,0,0,0,BYE,0,1,—,—,0,0,1,2,0.2
Xavier Gipson,WR,PHI,0,—,—,—,—,—,0,1,BYE,0,0,1,—,—,—,—,—,2,0.3
Kaleb Johnson,RB,PIT,0,0,—,1,BYE,0,—,—,1,0,0,—,0,0,0,—,—,2,0.2
George Holani,RB,SEA,0,0,2,0,0,0,0,BYE,0,0,0,—,—,—,—,—,—,2,0.2
Julius Chestnut,RB,TEN,0,0,0,1,1,0,0,0,0,BYE,0,0,0,0,0,0,0,2,0.1
Moliki Matavao,TE,NO,0,0,—,0,—,—,—,—,—,—,BYE,—,—,—,—,0,2,2,0.4
Ben Yurosek,TE,MIN,0,0,0,—,—,BYE,0,2,0,0,0,—,—,—,0,0,0,2,0.2
Jake Bobo,WR,SEA,—,0,0,1,0,0,1,BYE,—,—,—,0,—,0,0,—,0,2,0.2
Cam Grandy,TE,CIN,—,—,1,0,—,—,0,—,—,BYE,—,—,—,—,0,1,—,2,0.4
Tay Martin,WR,WAS,—,—,—,1,1,0,—,—,—,—,—,BYE,—,—,—,—,—,2,0.7
Khalil Herbert,RB,NYJ,—,—,—,—,0,—,—,—,BYE,—,—,—,—,0,1,—,1,2,0.5
Tahj Washington,WR,MIA,—,—,—,—,0,—,—,—,2,0,0,BYE,—,—,—,—,0,2,0.4
Efton Chism III,WR,NE,—,—,—,—,—,0,0,—,0,0,0,—,0,BYE,—,—,2,2,0.3
Ben Sims,TE,MIN,—,—,—,—,—,0,—,—,—,0,—,0,0,1,0,0,1,2,0.3
Jared Wayne,WR,HOU,—,—,—,—,—,BYE,—,2,—,—,—,—,—,—,—,—,—,2,2.0
Clyde Edwards-Helaire,RB,KC,—,—,—,—,—,—,—,—,0,BYE,—,2,—,—,—,—,—,2,1.0
Pharaoh Brown,TE,ARI,—,—,—,—,—,—,—,BYE,—,—,0,0,0,0,2,0,—,2,0.3
Jason Brownlee,WR,KC,1,0,0,—,0,0,—,—,—,BYE,—,—,—,—,—,—,—,1,0.2
Nikko Remigio,WR,KC,0,1,0,0,0,0,0,0,0,BYE,0,0,0,—,0,0,—,1,0.1
Charlie Jones,WR,CIN,0,0,0,0,0,0,0,0,0,BYE,0,1,0,0,0,—,—,1,0.1
David Moore,WR,CAR,0,0,1,0,—,—,—,—,—,—,—,—,—,BYE,—,—,—,1,0.3
Brady Russell,TE,SEA,0,0,0,0,0,0,0,BYE,0,0,0,0,0,0,1,0,—,1,0.1
Dameon Pierce,RB,HOU,1,—,—,—,0,BYE,—,0,—,0,—,—,—,—,—,—,—,1,0.3
Bryce Oliver,WR,TEN,1,0,—,—,—,—,—,—,—,BYE,—,—,—,—,—,—,—,1,0.5
Robert Tonyan,TE,KC,0,0,0,0,0,0,0,0,0,BYE,1,0,0,0,0,0,—,1,0.1
Jack Westover,TE,NE,0,0,0,0,0,0,0,0,0,1,0,0,0,BYE,0,0,0,1,0.1
Chris Manhertz,TE,NYG,0,0,1,0,0,0,0,0,0,0,0,0,0,BYE,0,0,0,1,0.1
Reggie Gilliam,RB,BUF,0,0,0,0,0,0,BYE,0,0,0,0,1,0,0,0,0,0,1,0.1
Tim Jones,WR,JAC,0,0,—,—,—,—,—,BYE,1,0,—,—,—,—,—,—,—,1,0.3
Brayden Willis,TE,SF,—,1,0,0,0,0,—,—,—,—,—,—,—,BYE,—,—,0,1,0.2
Cam Akers,RB,SEA,—,—,1,—,0,—,—,BYE,—,—,—,—,—,—,—,—,0,1,0.3
Malik Turner,WR,SF,—,—,0,—,1,—,0,—,—,—,—,—,—,BYE,—,—,—,1,0.3
Devin Culp,TE,TB,—,—,—,0,0,0,0,0,BYE,0,0,0,0,0,1,—,—,1,0.1
C.J. Ham,RB,MIN,—,—,—,—,0,BYE,1,—,—,0,0,0,0,0,0,0,0,1,0.1
DeeJay Dallas,RB,JAC,—,—,—,—,0,0,—,BYE,—,—,—,—,—,—,—,0,1,1,0.3
Jaydon Blue,RB,DAL,—,—,—,—,0,0,1,0,—,BYE,—,—,—,—,—,—,—,1,0.3
Will Mallory,TE,IND,—,—,—,—,0,—,—,—,—,—,BYE,—,—,—,—,—,1,1,0.5
Carter Runyon,TE,LV,—,—,—,—,0,0,1,BYE,0,—,0,0,0,0,—,0,0,1,0.1
Ke'Shawn Williams,WR,CIN,—,—,—,—,—,0,0,0,0,0,0,0,0,—,—,0,1,1,0.1
Patrick Ricard,RB,BAL,—,—,—,—,—,0,BYE,0,0,0,0,0,0,1,0,0,0,1,0.1
Terrell Jennings,RB,NE,—,—,—,—,—,—,0,0,1,0,—,0,0,BYE,—,—,—,1,0.2
Brittain Brown,RB,CHI,—,—,—,—,BYE,—,—,—,1,—,—,—,—,—,0,—,—,1,0.5
Nick Kallerup,TE,SEA,—,—,—,—,—,—,—,BYE,0,1,0,0,0,0,0,0,0,1,0.1
Amar Johnson,RB,LAC,—,—,—,—,—,—,—,—,—,—,1,BYE,—,—,—,—,—,1,1.0
Mecole Hardman Jr.,WR,BUF,—,—,—,—,—,—,BYE,—,—,—,1,—,—,—,—,0,—,1,0.5
Keleki Latu,TE,BUF,—,—,—,—,—,—,BYE,—,—,—,1,0,0,—,—,—,0,1,0.3
Elijah Mitchell,RB,KC,—,—,—,—,—,—,—,—,—,BYE,1,—,—,—,—,—,—,1,1.0
Jared Wiley,TE,KC,—,—,—,—,—,—,—,—,—,BYE,—,—,1,—,—,0,0,1,0.3
Evan Hull,RB,NO,—,—,—,—,—,—,—,—,—,—,BYE,—,0,1,0,0,0,1,0.2
Coleman Owen,WR,IND,—,—,—,—,—,—,—,—,—,—,BYE,—,—,—,0,1,—,1,0.5
Giovanni Ricci,TE,DET,—,—,—,—,—,—,—,BYE,—,—,—,—,—,—,0,0,1,1,0.3
Steven Sims Jr.,WR,ARI,—,—,—,—,—,—,—,BYE,—,—,—,—,—,—,—,1,0,1,0.5
Ulysses Bentley IV,RB,IND,0,—,—,—,—,—,—,—,—,—,BYE,—,—,—,—,—,—,0,0.0
DeAndre Carter,WR,CLE,0,0,0,0,—,—,—,—,BYE,—,—,0,—,—,—,—,—,0,0.0
Velus Jones Jr.,WR,SEA,0,—,0,0,0,—,—,BYE,—,—,—,—,—,0,0,—,—,0,0.0
Justin Shorter,WR,LV,0,—,0,0,—,0,0,BYE,—,—,—,—,—,—,—,—,—,0,0.0
Kene Nwangwu,RB,NYJ,0,—,—,—,—,0,0,—,BYE,0,0,0,—,0,—,0,0,0,0.0
Jamal Agnew,WR,ATL,0,—,—,0,BYE,0,0,0,0,0,0,0,0,0,—,—,—,0,0.0
Ko Kieft,TE,TB,0,0,0,—,—,—,—,—,BYE,—,—,—,—,—,—,—,—,0,0.0
Russell Gage Jr.,WR,SF,0,—,—,—,—,—,—,—,—,—,—,—,—,BYE,—,—,—,0,0.0
Isaac Guerendo,RB,SF,0,0,0,—,0,—,0,—,0,—,0,—,0,BYE,—,—,—,0,0.0
Craig Reynolds,RB,DET,0,0,—,0,0,0,—,BYE,—,0,—,—,—,—,—,—,—,0,0.0
Jacob Saylors,RB,DET,0,0,0,0,0,—,0,BYE,0,—,0,0,—,0,—,0,—,0,0.0
Patrick Murtagh,TE,DEN,0,—,—,—,—,—,—,—,—,—,—,BYE,—,—,—,—,—,0,0.0
LaJohntay Wester,WR,BAL,0,0,0,0,0,0,BYE,—,0,0,0,0,0,0,0,0,0,0,0.0
Myles Price,WR,MIN,0,0,0,0,0,BYE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
