PLAYER,POS,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Dallas Goedert,TE,PHI,7,—,2,4,9,11,3,3,BYE,6,5,2,4,10,7,3,6,82,5.5
Chase Brown,RB,CIN,3,3,5,3,8,2,4,3,14,BYE,8,4,7,4,7,4,3,82,5.1
Hunter Henry,TE,NE,8,3,11,2,4,3,5,1,6,4,6,10,6,BYE,3,7,3,82,5.1
DJ Moore,WR,CHI,5,6,5,5,BYE,5,5,7,6,4,3,7,5,3,5,7,4,82,5.1
Elic Ayomanor,WR,TEN,7,6,5,7,4,5,5,8,6,BYE,6,—,5,3,1,4,7,79,5.3
Rashee Rice,WR,KC,—,—,—,—,—,—,10,9,7,BYE,9,12,12,8,11,—,—,78,9.8
Alec Pierce,WR,IND,3,5,5,—,—,4,10,5,13,7,BYE,2,5,8,1,4,5,77,5.5
Kenny Gainwell,RB,PIT,4,5,1,6,BYE,6,2,2,5,3,8,6,3,7,7,7,4,76,4.8
Jordan Addison,WR,MIN,—,—,—,8,6,BYE,12,4,4,11,7,1,10,7,2,3,1,76,5.8
Theo Johnson,TE,NYG,3,5,2,5,7,4,7,4,6,8,4,5,8,BYE,4,2,—,74,4.9
Chig Okonkwo,TE,TEN,4,6,6,3,5,6,2,5,2,BYE,3,4,5,2,6,8,7,74,4.6
Xavier Worthy,WR,KC,1,—,—,8,9,4,4,7,7,BYE,5,8,6,4,4,3,3,73,5.2
Marvin Harrison Jr.,WR,ARI,6,5,6,10,5,2,6,BYE,10,12,—,—,7,—,—,3,1,73,6.1
Zach Ertz,TE,WAS,5,8,3,4,1,6,7,6,4,5,8,BYE,13,2,—,—,—,72,5.5
Cade Otton,TE,TB,3,4,0,4,5,6,9,5,BYE,12,5,7,2,4,—,2,4,72,4.8
Evan Engram,TE,DEN,4,2,—,7,6,6,8,4,3,5,5,BYE,9,2,3,4,4,72,4.8
Adonai Mitchell,WR,NYJ,2,4,2,4,1,—,1,1,1,—,6,7,12,6,9,6,9,71,4.7
Chimere Dike,WR,TEN,1,5,4,0,5,3,4,8,3,BYE,3,7,4,8,5,5,5,70,4.4
Colston Loveland,TE,CHI,2,1,3,—,BYE,3,4,5,7,4,4,5,6,5,5,5,10,69,4.6
Hollywood Brown,WR,KC,16,5,6,5,8,4,4,1,4,BYE,4,1,2,2,—,3,3,68,4.5
Ashton Jeanty,RB,LV,2,4,0,2,7,4,1,BYE,5,5,8,8,8,4,6,2,2,68,4.3
Cooper Kupp,WR,SEA,3,9,3,5,9,3,1,BYE,—,2,7,4,4,3,7,4,3,67,4.5
Mark Andrews,TE,BAL,1,3,6,8,3,6,BYE,3,3,5,5,3,6,5,3,3,4,67,4.2
Oronde Gadsden II,TE,LAC,—,—,7,3,1,8,9,5,5,6,5,BYE,2,4,5,1,6,67,4.8
T.J. Hockenson,TE,MIN,4,3,6,5,6,BYE,9,3,3,2,6,4,6,3,5,1,—,66,4.4
Mack Hollins,WR,NE,2,2,4,1,0,3,2,7,2,10,5,6,4,BYE,8,9,—,65,4.3
Mason Taylor,TE,NYJ,1,2,6,7,12,1,5,8,BYE,2,4,5,4,8,—,—,—,65,5.0
AJ Barner,TE,SEA,2,3,1,3,7,3,3,BYE,4,0,11,4,5,4,6,6,3,65,4.1
Olamide Zaccheaus,WR,CHI,7,5,4,6,BYE,6,3,7,8,4,0,1,3,3,3,5,—,65,4.3
Darnell Mooney,WR,ATL,—,4,11,1,BYE,—,5,4,2,8,7,3,5,4,6,2,3,65,4.6
Jayden Higgins,WR,HOU,3,1,1,1,4,BYE,3,8,1,7,7,9,5,5,1,3,4,63,3.9
George Kittle,TE,SF,4,—,—,—,—,—,2,5,4,9,6,10,5,BYE,9,8,—,62,6.2
Malik Washington,WR,MIA,5,2,5,3,5,5,8,5,3,3,3,BYE,5,4,1,1,3,61,3.8
Xavier Legette,WR,CAR,7,8,—,—,3,2,11,3,3,1,8,5,2,BYE,3,3,1,60,4.3
Garrett Wilson,WR,NYJ,9,8,13,8,10,8,—,—,BYE,3,—,—,—,—,—,—,—,59,8.4
Mike Evans,WR,TB,8,11,8,—,—,—,4,—,BYE,—,—,—,—,—,12,9,7,59,8.4
Terry McLaurin,WR,WAS,4,9,4,—,—,—,—,4,—,—,—,BYE,14,6,4,4,7,56,6.2
Luther Burden III,WR,CHI,1,2,3,2,BYE,4,2,1,—,3,5,5,6,6,7,—,9,56,4.0
Gunnar Helm,TE,TEN,2,2,3,1,5,3,5,3,1,BYE,5,7,7,2,4,3,2,55,3.4
Keon Coleman,WR,BUF,11,3,4,4,7,6,BYE,4,2,8,—,—,3,3,0,—,—,55,4.6
Andrei Iosivas,WR,CIN,0,5,0,1,7,4,4,3,7,BYE,4,7,2,3,1,1,6,55,3.4
Christian Watson,WR,GB,—,—,—,—,BYE,—,—,4,4,4,5,7,10,4,5,6,6,55,5.5
Darius Slayton,WR,NYG,1,3,4,4,6,—,—,5,7,4,—,2,3,BYE,10,2,3,54,4.2
Brenton Strange,TE,JAC,4,5,7,7,1,—,—,BYE,—,—,—,5,4,6,3,7,5,54,4.9
RJ Harvey,RB,DEN,1,2,3,5,3,4,2,1,5,3,3,BYE,4,6,1,5,6,54,3.4
Jonathan Taylor,RB,IND,3,2,4,5,4,4,3,2,2,3,BYE,3,5,0,4,3,6,53,3.3
Sterling Shepard,WR,TB,6,4,5,4,5,3,7,2,BYE,4,5,5,2,1,—,—,—,53,4.1
Ricky Pearsall,WR,SF,7,6,11,5,—,—,—,—,0,—,2,4,3,BYE,7,—,8,53,5.3
Jonnu Smith,TE,PIT,6,4,3,3,BYE,4,6,3,5,2,2,3,2,1,2,1,5,52,3.3
Van Jefferson,WR,TEN,0,2,1,1,0,6,4,8,4,BYE,7,1,4,4,5,2,3,52,3.3
Kendrick Bourne,WR,SF,—,3,6,4,11,9,2,4,2,1,0,0,1,BYE,3,5,1,52,3.5
Javonte Williams,RB,DAL,3,7,5,3,2,8,4,2,1,BYE,1,3,3,4,0,3,2,51,3.2
Travis Etienne Jr.,RB,JAC,3,3,2,2,4,5,3,BYE,5,4,2,4,1,1,4,5,3,51,3.2
Saquon Barkley,RB,PHI,5,2,5,4,3,3,1,5,BYE,3,2,8,2,2,3,2,0,50,3.1
Tyler Lockett,WR,LV,1,3,4,4,4,3,2,BYE,1,6,3,5,1,4,4,2,3,50,3.1
Jalen Nailor,WR,MIN,3,5,5,4,4,BYE,4,1,4,6,1,1,1,3,5,2,1,50,3.1
Christian Kirk,WR,HOU,—,—,8,4,4,BYE,—,—,8,3,4,6,0,3,0,5,5,50,4.2
Chris Godwin Jr.,WR,TB,—,—,—,10,4,—,—,—,BYE,—,—,4,5,8,5,6,8,50,6.3
Pat Freiermuth,TE,PIT,3,4,3,0,BYE,1,6,4,4,3,1,3,0,3,5,4,5,49,3.1
Sam LaPorta,TE,DET,9,4,4,4,6,6,3,BYE,8,5,—,—,—,—,—,—,—,49,5.4
Colby Parkinson,TE,LAR,2,—,0,2,1,—,3,BYE,2,5,2,4,5,5,7,4,7,49,3.5
Ryan Flournoy,WR,DAL,—,0,3,2,9,6,0,2,2,BYE,1,1,3,13,5,2,—,49,3.5
David Njoku,TE,CLE,6,5,7,3,9,6,—,5,BYE,2,2,0,2,1,—,—,—,48,4.0
Breece Hall,RB,NYJ,4,3,6,6,5,0,3,3,BYE,1,2,4,2,1,2,3,3,48,3.0
Calvin Austin III,WR,PIT,6,4,5,2,BYE,—,—,6,6,7,1,5,2,2,1,1,—,48,3.7
Rico Dowdle,RB,CAR,3,1,1,1,4,5,2,0,3,3,7,4,2,BYE,1,6,5,48,3.0
Xavier Hutchinson,WR,HOU,2,3,3,3,3,BYE,4,6,5,0,5,0,5,2,2,2,3,48,3.0
Marvin Mims Jr.,WR,DEN,4,2,4,6,5,3,7,1,0,—,0,BYE,2,1,6,3,4,48,3.2
Dawson Knox,TE,BUF,2,5,0,1,2,2,BYE,1,1,4,3,4,4,7,4,2,5,47,2.9
Jake Tonges,TE,SF,3,5,3,5,11,7,0,1,0,0,0,0,0,BYE,0,2,9,46,2.9
Dontayvion Wicks,WR,GB,2,6,4,4,BYE,2,2,—,—,8,2,4,7,0,2,2,1,46,3.3
Dalton Kincaid,TE,BUF,4,6,6,2,6,—,BYE,3,6,3,—,—,—,5,4,1,—,46,4.2
D'Andre Swift,RB,CHI,5,3,4,6,BYE,3,1,2,—,8,1,1,2,4,1,2,3,46,3.1
Michael Mayer,TE,LV,4,2,1,—,—,7,2,BYE,7,4,4,1,—,—,0,3,10,45,3.8
Travis Hunter,WR,JAC,8,6,2,5,3,7,14,BYE,—,—,—,—,—,—,—,—,—,45,6.4
Kyren Williams,RB,LAR,2,2,3,4,10,2,3,BYE,0,3,2,1,1,2,1,6,3,45,2.8
Cole Kmet,TE,CHI,4,2,1,9,BYE,2,1,—,2,2,5,1,3,3,4,3,3,45,3.0
John Metchie III,WR,NYJ,0,1,1,2,0,0,—,0,BYE,1,3,7,8,8,5,5,3,44,2.9
Tucker Kraft,TE,GB,4,7,4,5,BYE,2,10,9,3,—,—,—,—,—,—,—,—,44,5.5
Josh Jacobs,RB,GB,1,0,9,4,BYE,5,1,3,5,6,1,—,1,2,3,2,1,44,2.9
Pat Bryant,WR,DEN,0,3,0,1,0,2,4,4,3,2,6,BYE,7,4,—,8,—,44,3.1
