PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Luke Schoonmaker,DAL,1,2,1,2,2,2,0,3,2,BYE,0,1,1,2,1,0,2,22,1.4
Brock Wright,DET,0,3,0,0,3,0,3,BYE,1,1,7,4,—,—,—,—,—,22,2.0
Julian Hill,MIA,0,0,1,2,5,3,2,—,—,—,1,BYE,1,0,2,0,2,19,1.5
Johnny Mundt,JAC,1,0,1,1,1,2,4,BYE,0,2,3,2,0,—,0,0,1,18,1.2
Jackson Hawes,BUF,1,1,1,1,0,0,BYE,3,2,2,0,2,1,1,1,2,0,18,1.1
Drew Sample,CIN,1,2,3,0,1,2,0,0,0,BYE,0,1,2,0,2,2,1,17,1.1
Hunter Long,JAC,1,0,3,3,1,3,3,BYE,3,—,—,—,—,0,—,—,—,17,1.9
Josh Oliver,MIN,1,0,1,1,3,BYE,1,0,—,—,1,1,0,2,1,3,2,17,1.2
Mo Alie-Cox,IND,1,1,0,0,0,2,2,0,1,1,BYE,1,0,2,0,2,3,16,1.0
Tanner Conner,MIA,4,0,2,0,2,1,3,2,1,—,—,BYE,—,—,—,—,—,15,1.7
John FitzPatrick,GB,1,0,2,0,BYE,0,1,1,0,0,1,1,1,2,4,1,—,15,1.0
Charlie Kolar,BAL,0,0,3,0,1,1,BYE,1,2,2,1,0,1,1,0,1,1,15,0.9
Luke Farrell,SF,1,3,0,2,2,0,1,0,1,2,0,1,1,BYE,0,0,0,14,0.9
Cade Stover,HOU,4,—,—,—,—,BYE,—,—,—,—,0,2,2,0,3,3,0,14,1.8
John Bates,WAS,0,0,—,—,1,0,2,1,4,2,0,BYE,2,0,1,1,0,14,1.0
Ian Thomas,LV,0,0,0,0,3,1,0,BYE,1,0,1,4,1,2,—,—,0,13,0.9
Taysom Hill,NO,—,—,—,—,0,0,2,1,0,1,BYE,0,1,2,0,6,0,13,1.1
Will Dissly,LAC,1,1,—,—,—,2,1,—,—,—,—,BYE,—,1,0,3,2,11,1.4
Jack Stoll,NO,0,0,3,1,0,0,1,1,0,—,BYE,1,0,1,1,2,0,11,0.7
Ben Sinnott,WAS,0,1,0,0,0,0,0,1,0,1,—,BYE,0,1,1,2,4,11,0.7
Nate Adkins,DEN,—,—,0,3,1,2,3,1,—,—,—,BYE,—,—,0,1,—,11,1.4
Brevyn Spann-Ford,DAL,1,1,0,0,0,1,0,1,0,BYE,1,1,0,1,1,0,2,10,0.6
Grant Calcaterra,PHI,0,2,0,2,2,—,—,0,BYE,1,0,1,0,0,1,0,1,10,0.7
Foster Moreau,NO,—,—,—,—,0,1,0,1,0,3,BYE,1,2,1,0,1,—,10,0.9
Tyler Conklin,LAC,2,0,2,1,3,0,—,0,—,1,—,BYE,0,—,—,—,—,9,1.0
Charlie Woerner,ATL,0,0,1,0,BYE,0,1,0,0,1,0,3,0,0,2,1,0,9,0.6
Stone Smartt,NYJ,—,—,—,0,—,0,—,—,BYE,0,—,—,0,1,0,5,3,9,1.1
Quintin Morris,JAC,—,0,—,0,0,0,—,BYE,—,0,3,0,2,0,2,1,0,8,0.7
Andrew Beck,NYJ,0,0,0,0,2,1,0,1,BYE,0,0,1,0,1,1,0,0,7,0.4
Anthony Firkser,DET,—,—,—,—,—,—,—,BYE,—,—,—,0,1,1,0,4,1,7,1.2
Drew Ogletree,IND,0,0,0,0,0,0,0,1,0,0,BYE,2,1,0,0,2,—,6,0.4
Durham Smythe,CHI,0,0,0,0,BYE,0,0,0,0,0,3,1,0,1,0,0,1,6,0.4
Harrison Bryant,HOU,—,1,0,0,2,BYE,0,1,2,0,—,—,—,—,0,0,0,6,0.5
Albert Okwuegbunam Jr.,LV,—,—,—,—,6,—,—,BYE,—,—,—,—,—,—,—,—,—,6,6.0
Tip Reiman,ARI,1,0,3,0,1,—,—,BYE,—,—,—,—,—,—,—,—,—,5,1.0
Blake Whiteheart,CLE,0,0,0,1,0,1,1,0,BYE,0,—,0,0,1,0,0,1,5,0.3
Shane Zylstra,DET,0,—,—,—,—,—,—,BYE,—,—,—,—,—,—,0,5,0,5,1.3
Ross Dwelley,DET,—,—,0,0,0,0,0,BYE,—,1,0,0,3,1,—,—,—,5,0.5
Josh Whyle,GB,—,—,—,—,BYE,—,—,—,—,0,1,1,1,1,0,—,1,5,0.7
Kylen Granson,PHI,1,1,0,0,0,0,0,0,BYE,0,2,0,0,0,0,0,0,4,0.3
Eric Saubert,SEA,0,0,1,0,0,0,0,BYE,—,—,—,—,—,—,1,0,2,4,0.4
Lucas Krull,DEN,2,0,2,—,—,—,—,0,—,—,—,BYE,—,—,—,—,—,4,1.0
Jelani Woods,NYJ,—,1,—,—,—,—,—,0,BYE,—,—,—,—,—,0,2,1,4,0.8
Tucker Fisk,LAC,—,—,1,1,0,0,0,0,1,1,0,BYE,0,—,—,—,—,4,0.4
Brenden Bates,CLE,—,—,—,0,2,—,0,—,BYE,—,0,0,—,—,0,1,1,4,0.5
Sal Cannella,CLE,—,—,—,—,—,—,—,—,BYE,—,—,—,—,—,—,—,4,4,4.0
Connor Heyward,PIT,0,1,0,0,BYE,1,1,0,0,0,0,0,—,0,0,0,0,3,0.2
Colson Yankoff,WAS,0,0,0,0,0,0,0,—,—,0,1,BYE,1,1,0,—,0,3,0.2
Payne Durham,TB,0,1,0,0,0,0,0,0,BYE,1,0,0,1,0,0,0,0,3,0.2
David Martin-Robinson,TEN,0,—,0,—,0,1,0,0,0,BYE,0,0,0,1,0,0,1,3,0.2
Zaire Mitchell-Paden,NO,0,1,0,0,1,0,—,—,—,1,BYE,0,—,—,—,—,—,3,0.4
Josiah Deguara,ARI,—,0,—,—,—,—,0,BYE,0,0,0,1,0,1,0,1,0,3,0.3
James Mitchell,CAR,—,—,—,2,1,0,—,—,—,—,—,—,0,BYE,—,—,—,3,0.8
Moliki Matavao,NO,0,0,—,0,—,—,—,—,—,—,BYE,—,—,—,—,0,2,2,0.4
Ben Yurosek,MIN,0,0,0,—,—,BYE,0,2,0,0,0,—,—,—,0,0,0,2,0.2
Cam Grandy,CIN,—,—,1,0,—,—,0,—,—,BYE,—,—,—,—,0,1,—,2,0.4
Ben Sims,MIN,—,—,—,—,—,0,—,—,—,0,—,0,0,1,0,0,1,2,0.3
Pharaoh Brown,ARI,—,—,—,—,—,—,—,BYE,—,—,0,0,0,0,2,0,—,2,0.3
Brady Russell,SEA,0,0,0,0,0,0,0,BYE,0,0,0,0,0,0,1,0,—,1,0.1
Robert Tonyan,KC,0,0,0,0,0,0,0,0,0,BYE,1,0,0,0,0,0,—,1,0.1
Jack Westover,NE,0,0,0,0,0,0,0,0,0,1,0,0,0,BYE,0,0,0,1,0.1
Chris Manhertz,NYG,0,0,1,0,0,0,0,0,0,0,0,0,0,BYE,0,0,0,1,0.1
Brayden Willis,SF,—,1,0,0,0,0,—,—,—,—,—,—,—,BYE,—,—,0,1,0.2
Devin Culp,TB,—,—,—,0,0,0,0,0,BYE,0,0,0,0,0,1,—,—,1,0.1
Will Mallory,IND,—,—,—,—,0,—,—,—,—,—,BYE,—,—,—,—,—,1,1,0.5
Carter Runyon,LV,—,—,—,—,0,0,1,BYE,0,—,0,0,0,0,—,0,0,1,0.1
Nick Kallerup,SEA,—,—,—,—,—,—,—,BYE,0,1,0,0,0,0,0,0,0,1,0.1
Keleki Latu,BUF,—,—,—,—,—,—,BYE,—,—,—,1,0,0,—,—,—,0,1,0.3
Jared Wiley,KC,—,—,—,—,—,—,—,—,—,BYE,—,—,1,—,—,0,0,1,0.3
Giovanni Ricci,DET,—,—,—,—,—,—,—,BYE,—,—,—,—,—,—,0,0,1,1,0.3
Ko Kieft,TB,0,0,0,—,—,—,—,—,BYE,—,—,—,—,—,—,—,—,0,0.0
Patrick Murtagh,DEN,0,—,—,—,—,—,—,—,—,—,—,BYE,—,—,—,—,—,0,0.0
Teagan Quitoriano,ATL,0,0,0,0,BYE,0,—,0,—,0,0,0,0,0,0,0,0,0,0.0
Travis Vokolek,ARI,0,0,—,—,0,—,—,BYE,—,—,—,—,—,—,—,—,—,0,0.0
Robbie Ouzts,SEA,0,0,0,—,—,—,—,BYE,0,0,0,0,0,0,—,0,0,0,0.0
James Winchester,KC,—,0,0,—,—,—,—,—,—,BYE,—,—,—,—,—,0,—,0,0.0
Cameron Latu,PHI,—,0,0,0,0,0,0,0,BYE,0,0,0,0,0,0,—,0,0,0.0
Treyton Welch,NO,—,—,0,—,—,—,—,—,—,—,BYE,—,—,—,—,—,0,0,0.0
Nick Vannett,LAR,—,—,—,0,—,—,—,BYE,0,—,—,—,—,0,—,—,—,0,0.0
Stephen Carlson,CHI,—,—,—,0,BYE,—,—,0,—,—,—,—,—,—,—,—,—,0,0.0
Kenny Yeboah,DET,—,—,—,0,—,—,—,BYE,—,—,—,—,—,—,—,—,—,0,0.0
Thomas Fidone II,NYG,—,—,—,—,—,—,0,—,0,—,—,—,—,BYE,—,—,—,0,0.0
E.J. Jenkins,PHI,—,—,—,—,—,—,0,—,BYE,—,—,—,—,—,—,0,—,0,0.0
Hayden Rucci,MIA,—,—,—,—,—,—,—,0,0,0,0,BYE,—,—,—,—,—,0,0.0
Princeton Fant,DAL,—,—,—,—,—,—,—,—,0,BYE,—,—,—,—,—,—,—,0,0.0
Marcedes Lewis,DEN,—,—,—,—,—,—,—,—,0,0,0,BYE,—,0,—,—,0,0,0.0
Nikola Kalinic,CHI,—,—,—,—,BYE,—,—,—,—,—,—,0,—,—,—,—,—,0,0.0
Zach Horton,DET,—,—,—,—,—,—,—,BYE,—,—,—,—,0,—,—,—,—,0,0.0
Drake Dabney,GB,—,—,—,—,BYE,—,—,—,—,—,—,—,—,—,—,—,0,0,0.0
CJ Dippre,NE,—,—,—,—,—,—,—,—,—,—,—,—,—,BYE,—,—,0,0,0.0
Zach Davidson,NYG,—,—,—,—,—,—,—,—,—,—,—,—,—,BYE,—,—,0,0,0.0
