"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","491.6","333.0","3,811.0","27.4","11.2","118.1","585.2","11.8","4.1","372.1"
"Drake Maye","NE","504.2","346.0","4,063.7","28.3","10.4","100.3","505.2","3.7","5.6","326.9"
"Lamar Jackson","BAL","449.3","291.9","3,655.0","28.3","9.6","118.7","640.3","3.2","4.2","325.0"
"Jayden Daniels","WAS","495.4","323.5","3,697.7","24.1","11.0","130.0","685.3","4.7","2.8","324.5"
"Jalen Hurts","PHI","488.0","316.9","3,571.2","24.2","7.4","111.8","461.4","8.4","4.0","320.6"
"Jaxson Dart","NYG","509.9","324.8","3,592.6","22.6","11.1","100.9","549.4","6.5","2.9","311.6"
"Joe Burrow","CIN","589.7","394.5","4,169.8","33.3","11.6","48.3","179.1","1.4","1.9","310.7"
"Brock Purdy","SF","547.2","369.6","4,153.9","27.7","14.3","70.5","304.1","3.8","4.3","307.4"
"Dak Prescott","DAL","582.3","384.4","4,295.5","30.9","11.3","49.1","173.3","1.7","2.8","306.2"
"Trevor Lawrence","JAC","545.5","335.4","3,892.0","26.6","13.0","72.5","321.1","4.9","3.4","303.9"
"Patrick Mahomes II","KC","554.7","353.3","3,833.5","27.4","11.6","60.4","359.1","3.4","2.0","303.7"
"Justin Herbert","LAC","529.6","349.8","3,857.7","26.2","11.7","78.4","458.6","2.1","2.8","300.2"
"Caleb Williams","CHI","547.8","326.2","3,828.6","27.1","9.3","79.0","398.0","2.1","3.0","298.6"
"Bo Nix","DEN","555.2","355.3","3,744.4","26.8","11.0","79.1","341.2","3.6","2.0","297.8"
"Matthew Stafford","LAR","546.9","352.7","4,192.3","34.0","8.6","23.7","33.1","0.2","2.8","294.0"
"Jared Goff","DET","546.7","373.2","4,300.7","31.7","10.0","23.7","48.2","0.2","3.7","287.4"
"Tyler Shough","NO","555.7","365.8","3,980.0","22.1","11.7","78.2","329.2","4.1","3.6","286.3"
"Baker Mayfield","TB","540.8","348.6","3,839.2","25.9","12.9","57.7","362.5","1.5","3.7","282.0"
"Kyler Murray","MIN","497.7","329.9","3,497.7","23.2","14.0","79.6","475.9","3.4","3.8","278.9"
"Daniel Jones","IND","512.6","336.9","3,758.5","23.5","11.4","66.0","251.1","4.0","3.8","274.5"
"Malik Willis","MIA","493.0","317.8","3,366.4","17.7","12.5","124.5","641.7","4.1","6.1","269.6"
"Jordan Love","GB","510.4","331.0","3,843.0","26.7","10.2","46.1","194.7","0.6","3.0","267.7"
"Sam Darnold","SEA","506.2","336.4","4,088.1","27.3","12.8","44.0","131.9","0.6","5.3","266.5"
"C.J. Stroud","HOU","550.7","347.4","3,876.6","23.5","11.4","54.4","238.6","1.0","3.5","260.6"
"Bryce Young","CAR","513.8","325.9","3,366.6","22.1","12.4","58.3","257.5","3.0","3.0","248.8"
"Geno Smith","NYJ","520.2","340.4","3,455.4","21.8","14.8","57.3","209.6","1.0","2.2","233.2"
"Jacoby Brissett","ARI","541.2","347.3","3,590.7","19.7","10.4","48.7","215.1","1.4","4.8","232.4"
"Cam Ward","TEN","563.8","345.0","3,587.0","19.8","10.4","44.2","185.5","2.0","5.4","232.1"
"Aaron Rodgers","PIT","526.8","338.9","3,480.3","21.7","9.4","26.0","82.5","0.6","2.7","223.1"
"Fernando Mendoza","LV","430.6","275.5","2,887.1","16.1","12.2","50.4","227.1","1.3","2.7","192.7"
"Tua Tagovailoa","ATL","378.9","248.7","2,723.6","15.8","8.3","19.6","46.6","0.1","2.3","164.5"
"Shedeur Sanders","CLE","299.7","180.3","1,956.1","11.1","8.5","30.4","180.4","1.2","1.7","135.8"
"Deshaun Watson","CLE","244.1","151.5","1,634.2","7.8","6.0","36.0","159.7","1.0","2.3","107.7"
"Michael Penix Jr.","ATL","189.0","119.1","1,350.1","7.2","3.7","13.5","47.0","0.3","1.0","83.6"
"Kirk Cousins","LV","113.7","74.1","783.2","5.1","3.9","5.2","9.0","0.1","0.9","47.2"
"Ty Simpson","LAR","40.9","25.8","298.2","2.6","0.8","4.1","18.4","0.0","0.1","23.4"
"Carson Beck","ARI","49.1","30.9","337.8","2.2","1.2","5.2","20.1","0.1","0.2","23.1"
"J.J. McCarthy","MIN","48.6","30.2","340.6","1.8","1.4","5.9","27.0","0.2","0.4","22.5"
"Anthony Richardson Sr.","IND","35.0","23.0","253.0","2.0","1.0","9.0","38.0","0.0","0.0","20.9"
"Marcus Mariota","WAS","34.8","22.2","256.6","2.0","0.8","1.4","7.9","0.0","0.1","18.1"
"Riley Leonard","IND","29.9","18.8","208.6","1.4","0.8","1.6","7.2","0.0","0.2","13.8"
"Davis Mills","HOU","27.2","16.7","182.5","1.3","0.5","2.7","9.0","0.0","0.1","12.7"
"Justin Fields","KC","26.2","16.3","175.1","1.0","0.8","3.6","18.4","0.1","0.1","12.0"
"Shane Buechele","BUF","20.0","13.0","150.0","1.0","0.0","4.0","20.0","0.0","0.0","12.0"
"Jameis Winston","NYG","26.1","15.5","194.8","1.3","1.3","2.6","10.9","0.0","0.6","11.7"
"Quinn Ewers","MIA","24.5","16.0","167.6","1.2","0.9","3.0","11.7","0.0","0.1","11.5"
"Tyson Bagent","CHI","23.0","14.7","168.0","1.0","0.2","2.8","8.6","0.0","0.1","11.4"
"Will Levis","TEN","23.0","14.0","136.0","1.0","0.0","4.0","19.0","0.0","0.0","11.3"
"Jake Browning","TB","22.5","14.3","157.5","1.0","0.9","3.1","15.8","0.0","0.1","11.3"
"Jarrett Stidham","DEN","23.1","14.4","152.2","1.1","0.3","3.3","12.9","0.0","0.1","11.2"
"Teddy Bridgewater","DET","21.8","13.7","157.9","1.0","0.4","3.1","8.9","0.0","0.0","11.0"
"Tyrod Taylor","GB","25.0","15.4","173.6","0.9","0.8","2.1","10.7","0.0","0.2","10.9"
"Tommy DeVito","NE","22.5","14.6","149.8","1.0","0.4","1.9","9.5","0.1","0.1","10.6"
"Tyler Huntley","BAL","18.3","11.8","131.3","0.9","0.3","3.5","18.7","0.0","0.1","10.6"
"Mac Jones","SF","22.5","14.9","160.2","1.0","0.5","2.7","8.4","0.0","0.1","10.5"
"Trey Lance","LAC","22.2","13.6","148.2","1.0","0.8","3.2","13.4","0.0","0.1","10.4"
"Tanner McKee","PHI","20.3","12.8","141.1","1.0","0.2","3.0","9.9","0.0","0.0","10.3"
"Joe Flacco","CIN","24.8","16.1","169.2","1.2","0.8","2.2","8.6","0.0","0.6","10.3"
"Spencer Rattler","NO","23.0","15.0","156.8","0.9","0.8","2.7","12.1","0.0","0.1","10.2"
"Kenny Pickett","CAR","22.5","14.4","155.6","1.0","0.8","2.8","10.9","0.0","0.1","10.2"
"Sam Howell","DAL","22.0","13.9","144.8","1.1","0.7","1.3","7.0","0.1","0.1","10.2"
"Drew Lock","SEA","20.6","13.0","146.7","0.9","0.8","3.1","13.1","0.0","0.1","10.0"
"Andy Dalton","PHI","19.0","13.0","140.0","1.0","0.0","5.0","23.0","0.0","1.0","9.9"
"Behren Morton","NE","15.0","10.0","121.0","1.0","0.0","2.0","10.0","0.0","0.0","9.8"
"Nick Mullens","JAC","18.8","13.2","140.2","1.1","0.4","3.1","3.7","0.0","0.1","9.8"
"Chris Oladokun","KC","23.0","14.0","148.0","1.0","0.0","4.0","18.0","0.0","1.0","9.7"
"Gardner Minshew II","ARI","22.9","14.3","147.9","0.8","0.3","2.4","9.3","0.0","0.1","9.7"
"Cade Klubnik","NYJ","20.6","12.7","136.8","0.9","0.6","1.8","8.2","0.0","0.1","9.4"
"Drew Allar","PIT","19.5","12.5","130.6","0.9","0.3","1.7","6.8","0.0","0.1","9.3"
"Adrian Martinez","SF","16.0","11.0","115.0","1.0","0.0","3.0","7.0","0.0","0.0","9.3"
"Garrett Nussmeier","KC","17.0","11.0","111.0","1.0","0.0","2.0","8.0","0.0","0.0","9.2"
"Cole Payton","PHI","14.0","9.0","105.0","1.0","0.0","2.0","10.0","0.0","0.0","9.2"
"Kyle Allen","BUF","21.0","12.4","138.3","1.0","0.6","2.0","3.6","0.0","0.1","9.1"
"Mitchell Trubisky","TEN","23.3","13.5","138.5","0.8","0.4","2.6","4.7","0.0","0.1","9.0"
"Jalen Milroe","SEA","11.0","7.0","90.0","1.0","0.0","5.0","14.0","0.0","0.0","9.0"
"Joe Milton III","DAL","16.3","10.3","119.3","0.7","0.3","3.0","14.3","0.0","0.0","8.5"
"Will Howard","PIT","14.0","8.7","95.7","0.7","0.3","1.3","5.0","0.0","0.0","6.7"
"Mason Rudolph","PIT","10.5","6.5","67.0","0.5","0.0","2.0","8.5","0.0","0.0","5.5"
"Brady Cook","NYJ","10.0","6.5","60.0","0.5","0.5","2.0","10.5","0.0","0.0","5.0"
"Josh Johnson","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Stetson Bennett IV","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Aidan O'Connell","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
