,,,,Redraft,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,ESPN,MFL,NFFC,Yahoo,Sleeper,Sleeper,Sleeper,MFL,ESPN,Status,Injury
T623,Michael Hiers,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Jaren Hall,FA,QB,-,-,169.99,-,-,-,502.50,682.50,-,,,,
T623,Gavin Hardison,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Felix Harper,FA,QB,-,-,-,-,-,-,369.00,-,-,,,,
T623,Sam Hartman,WAS,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Taylor Heinicke,FA,QB,-,-,170.02,-,-,-,-,-,-,,,,
T623,Seth Henigan,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Chad Henne,FA,QB,-,-,-,-,-,-,462.00,-,-,,,,
T623,Jacob Clark,LV,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Dustin Crum,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Andy Dalton,PHI,QB,-,-,170.01,-,242.69,-,626.00,-,-,,,,
T623,Matthew Caldwell,LAR,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Kevin Davidson,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Hunter Dekkers,NO,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Tim DeMorat,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Jack Coan,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Jake Coker,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Brady Cook,NYJ,QB,-,-,169.97,-,-,-,-,-,-,,,,
T623,Case Cookus,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Chevan Cordeiro,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Matt Corral,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,K.J. Costello,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Ian Book,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Anthony Boone,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Tim Boyle,FA,QB,-,-,170.03,-,-,-,-,-,-,,,,
T623,Carter Bradley,JAX,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Teddy Bridgewater,DET,QB,-,-,169.95,-,242.62,-,620.50,-,-,,,,
T623,Max Brosmer,MIN,QB,-,-,169.98,-,-,-,-,-,-,,,,
T623,Anthony Brown,FA,QB,-,-,169.99,-,-,-,-,-,-,,,,
T623,Jake Browning,TB,QB,338.37,-,169.97,-,243.40,-,619.70,-,-,,,,
T623,Shane Buechele,BUF,QB,-,-,169.98,-,-,-,-,-,-,,,,
T623,James Turner,FA,K,-,-,-,-,-,-,-,-,-,,,,
T623,Jake Verity,FA,K,-,-,-,-,-,-,415.00,-,205.50,,,,
T623,Tristan Vizcaino,FA,K,-,-,-,-,-,-,-,-,-,,,,
T623,Nick Vogel,FA,K,-,-,-,-,-,-,-,-,-,,,,
T623,Matthew Trickett,FA,K,-,-,-,-,-,-,-,-,-,,,,
T623,Maddux Trujillo,FA,K,-,-,-,-,-,-,-,-,-,,,,
T623,Trey Wolff,FA,K,-,-,-,-,-,-,-,-,-,,,,
T623,Matthew Wright,FA,K,-,-,170.01,-,-,-,-,-,-,,,,
T623,Drew Stevens,WAS,K,-,-,-,-,-,-,-,-,-,,,,
T623,Caleb Shudak,FA,K,-,-,-,-,-,-,-,-,206.00,,,,
T623,Sam Sloman,FA,K,-,-,-,-,-,-,-,-,-,,,,
T623,Ryan Santoso,FA,K,-,-,-,-,-,-,-,-,-,,,,
T623,Greg Zuerlein,FA,K,-,-,169.97,-,-,-,-,-,-,,,Ques,Knee
T623,Matt Barkley,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Connor Bazelak,TB,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Jason Bean,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Austin Allen,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Brandon Allen,NYG,QB,-,-,170.01,-,-,-,-,-,-,,,,
T623,Kyle Allen,BUF,QB,-,-,169.96,-,243.31,-,578.60,-,-,,,,
T623,Luke Altmyer,DET,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Drew Anderson,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Zack Annexstad,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Zach Evans,FA,RB,-,-,169.99,-,-,-,481.70,-,-,,,,
T623,Tavien Feaster,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Darrynton Evans,FA,RB,-,-,169.99,-,-,-,-,-,-,,,,
T623,BJ Emmons,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,D'Onta Foreman,FA,RB,-,-,170.02,-,-,-,-,-,-,,,,
T623,Leonard Fournette,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Jake Funk,FA,RB,-,-,-,-,-,-,356.50,-,-,,,,
T623,Wayne Gallman,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Ja'Quan Gardner,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Myles Gaskin,FA,RB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Miles Davis,CAR,RB,-,-,-,-,-,-,629.50,-,-,,,,
T623,Greg Desrosiers,LAC,RB,-,-,-,-,-,-,-,-,-,,,,
T623,AJ Dillon,CAR,RB,-,-,169.97,-,241.08,-,678.50,-,-,,,,
T623,Tyrion Davis-Price,FA,RB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Synjyn Days,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Austin Ekeler,FA,RB,-,-,170.01,-,243.14,-,580.30,-,-,,,,
T623,CJ Donaldson,NO,RB,-,-,-,-,-,-,477.00,-,-,,,,
T623,Elijah Dotson,FA,RB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Kenyan Drake,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Mataeo Durant,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Trestan Ebner,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Chase Edmonds,FA,RB,-,-,170.02,-,-,-,-,-,-,,,,
T623,Donovan Edwards,MIA,RB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Gus Edwards,FA,RB,-,-,170.02,-,-,-,-,-,-,,,,
T623,Trenton Cannon,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Michael Carter,TEN,RB,-,-,170.01,-,243.32,-,664.80,-,-,,,,
T623,Nathan Carter,ATL,RB,-,-,169.97,-,241.14,-,-,-,-,,,,
T623,Anderson Castle,IND,RB,-,-,-,-,-,-,654.50,-,-,,,,
T623,Malcolm Brown,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Kentrel Bullock,CIN,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Rex Burkhead,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,James Butler,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Josh Caldwell,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Kennedy Brooks,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Tahj Brooks,CIN,RB,-,-,170.06,-,253.35,-,569.60,-,-,,,,
T623,Tony Brooks-James,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Matt Colburn,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Corey Clement,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Snoop Conner,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Dean Connors,LAR,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Dalvin Cook,FA,RB,-,-,169.99,-,-,-,-,-,-,,0.01,,
T623,Chris Collier,LV,RB,-,-,169.99,-,-,-,-,-,-,,,IR,Undisclosed
T623,DeeJay Dallas,JAX,RB,-,-,170.03,-,-,-,-,-,-,,,,
T623,Damarea Crockett,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Mohamed Ibrahim,FA,RB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Godwin Igwebuike,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Keaontay Ingram,FA,RB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Caleb Huntley,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Kareem Hunt,FA,RB,338.54,-,170.01,-,250.19,-,593.70,-,-,,,,
T623,Devontae Jackson,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Ja'Quinden Jackson,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Isaiah Jacobs,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Jermar Jefferson,FA,RB,-,-,169.97,-,-,-,-,-,-,,,,
T623,Terrell Jennings,NE,RB,-,-,169.99,-,-,-,-,-,-,,,,
T623,Amar Johnson,LAC,RB,-,-,169.99,-,-,-,-,-,-,,,,
T623,D'Ernest Johnson,FA,RB,-,-,170.03,-,-,-,-,-,-,,,,
T623,Kerryon Johnson,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Montrell Johnson,FA,RB,-,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Roschon Johnson,CHI,RB,-,-,169.96,-,241.25,-,-,-,-,,,,
T623,Austin Jones,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Cash Jones,ATL,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Ronald Jones,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Shermari Jones,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Joshua Kelley,FA,RB,-,-,170.00,-,-,-,-,-,-,,,,
T623,John Kelly,FA,RB,-,-,170.02,-,-,-,-,-,-,,,,
T623,Jacob Kibodi,FA,RB,-,-,169.98,-,-,-,-,-,-,,,,
T623,Corey Kiner,ARI,RB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Bam Knight,ARI,RB,-,-,170.07,-,242.11,-,674.50,-,-,,,,
T623,Brenden Knox,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Bryant Koback,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Lan Larison,NE,RB,-,-,169.99,-,241.30,-,494.00,-,-,,,,
T623,Dylan Laube,LV,RB,-,-,170.04,-,-,-,-,-,-,,,,
T623,Ray Lawry,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Dion Lewis,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Darnell Holland,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Travis Homer,PIT,RB,-,-,169.99,-,-,-,-,-,-,,,,
T623,Nyheim Hines,FA,RB,-,-,170.01,-,-,-,-,-,-,,,,
T623,Brian Hill,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Roman Hemby,LV,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Darrell Henderson,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Robert Henry,WAS,RB,-,-,-,57.83,241.27,-,-,-,-,,,,
T623,Hassan Haskins,FA,RB,-,-,170.00,-,-,-,355.00,-,-,,,,
T623,JaMycal Hasty,FA,RB,-,-,170.01,-,-,-,-,-,-,,,,
T623,Jamal Haynes,CIN,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Derrick Gore,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Frank Gore,BUF,RB,-,-,169.94,-,241.33,-,-,655.00,-,,,,
T623,Isaac Guerendo,SF,RB,325.87,-,170.07,-,246.10,-,443.80,566.00,-,,,PUP-P,Pectoral
T623,Melvin Gordon,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Antonio Gibson,FA,RB,-,-,169.98,-,-,-,682.50,-,-,,,Ques,Knee - ACL
T623,Anthony Hankerson,MIA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Deion Hankins,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,TJ Harden,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,JaQuan Hardy,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Kevin Harris,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Graham Mertz,HOU,QB,-,-,169.99,-,-,-,-,-,-,,,,
T623,Cam Miller,MIA,QB,-,-,169.99,-,-,-,-,-,-,,,,
T623,Davis Mills,HOU,QB,-,-,169.99,-,243.83,-,505.60,-,-,,0.01,,
T623,Jalen Morton,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Miller Moss,CHI,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Nick Mullens,JAX,QB,-,-,170.04,-,243.63,-,610.80,-,-,,,,
T623,Joe Milton,DAL,QB,-,-,169.91,-,244.71,-,352.90,-,-,,,,
T623,Gardner Minshew,ARI,QB,-,-,169.96,-,243.01,-,515.30,-,-,,,,
T623,Tanner Mordecai,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Chandler Morris,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Andrew Peasley,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Chris Oladokun,KC,QB,-,-,169.98,-,-,-,-,-,-,,,,
T623,Shea Patterson,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Garrett Nussmeier,KC,QB,-,-,169.99,57.87,241.16,-,308.50,-,-,1.66,,,
T623,Luis Perez,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,E.J. Perry,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Brandon Peters,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Drew Plitt,FA,QB,-,-,-,-,-,-,509.10,-,-,,,,
T623,Jack Plummer,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Michael Pratt,FA,QB,-,-,169.97,-,-,-,-,-,-,,,,
T623,Desmond Ridder,FA,QB,-,-,169.98,-,-,-,-,-,-,,,,
T623,Jake Retzlaff,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Spencer Rattler,NO,QB,-,-,169.97,-,242.14,-,576.00,-,-,,,,
T623,Peter Pujals,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Brogan Roback,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Sawyer Robertson,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Brett Rypien,FA,QB,-,-,170.02,-,-,-,-,-,-,,,,
T623,Kurtis Rourke,SF,QB,-,-,169.99,-,-,-,-,-,-,,,,
T623,Nathan Rourke,FA,QB,-,-,169.96,-,-,-,514.30,-,-,,,,
T623,Mason Rudolph,PIT,QB,-,-,169.97,-,241.26,-,544.40,-,-,,,,
T623,Cooper Rush,ATL,QB,-,-,170.02,-,-,-,588.20,-,-,,,,
T623,Cole Stoudt,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Chris Streveler,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Carson Strong,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Joel Stave,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Tommy Stevens,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Easton Stick,IND,QB,-,-,170.03,-,-,-,-,-,-,,,,
T623,J'Mar Smith,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Brendan Sorsby,FA,QB,999.00,-,-,-,-,-,-,-,-,,,,
T623,Kedon Slovis,ARI,QB,-,-,169.99,-,-,-,-,-,-,,,,
T623,Trevor Siemian,FA,QB,-,-,170.02,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Brandon Silvers,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Carson Wentz,MIN,QB,-,-,170.00,-,241.15,-,656.50,-,-,,,,
T623,Mike White,FA,QB,-,-,170.03,-,-,-,-,-,-,,,,
T623,Hajj-Malik Williams,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Ryan Willis,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Ameer Abdullah,JAX,RB,-,-,170.02,-,-,-,-,-,-,,,,
T623,John Wolford,FA,QB,-,-,170.01,-,-,-,-,-,-,,,,
T623,Logan Woodside,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Ben Wooldridge,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Ryan Tannehill,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Tyrod Taylor,GB,QB,338.58,-,169.95,-,242.93,-,566.70,-,-,,,,
T623,Vincent Testaverde,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Nate Sudfeld,FA,QB,-,-,-,-,-,-,422.50,-,-,,,,
T623,Taulia Tagovailoa,FA,QB,-,-,-,-,-,-,387.00,-,-,,,,
T623,E.J. Warner,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Payton Thorne,FA,QB,-,-,-,-,-,-,372.00,-,-,,,,
T623,Nick Tiano,FA,QB,-,-,-,-,-,-,-,-,-,,,,
T623,Jordan Travis,FA,QB,-,-,169.98,-,-,-,-,-,-,,,,
T623,Mitchell Trubisky,TEN,QB,-,-,170.01,-,241.10,-,649.20,-,-,,,,
T623,Kazmeir Allen,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Rasheen Ali,BAL,RB,-,-,170.00,-,242.78,-,527.20,-,-,,,,
T623,Salvon Ahmed,CHI,RB,-,-,170.01,-,-,-,-,-,-,,,,
T623,Kalen Ballage,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Damon Bankston,NYG,RB,-,-,-,-,-,-,-,-,-,,,,
T623,B.J. Baylor,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Greg Bell,FA,RB,-,-,-,-,-,-,354.00,-,-,,,,
T623,Coleman Bennett,CHI,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Ulysses Bentley,IND,RB,-,-,169.98,-,-,-,-,-,-,,,,
T623,Raheem Blackshear,FA,RB,-,-,169.98,-,-,-,-,-,-,,,,
T623,Khari Blasingame,FA,RB,-,-,170.02,-,-,-,-,-,-,,,,
T623,Mike Boone,FA,RB,-,-,170.03,-,-,-,-,-,-,,,,
T623,Davon Booth,CLE,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Max Borghi,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Isaiah Bowser,FA,RB,-,-,-,-,-,-,-,-,-,,,,
T623,Gary Brightwell,CIN,RB,-,-,169.99,-,-,-,-,-,-,,,,
T623,British Brooks,HOU,RB,-,-,169.98,-,-,-,-,-,-,,,,
T623,Chris Brooks,GB,RB,303.64,-,170.15,139.00,251.37,-,348.10,-,-,1.70,,NFI-A,Hamstring
T623,Yasir Abdullah,JAX,LB,-,-,170.05,-,-,-,-,-,-,,,,
T623,Matthew Adams,FA,LB,-,-,171.71,-,-,-,-,-,-,,,,
T623,Mitchell Agude,FA,LB,-,-,170.71,-,-,-,-,-,-,,,,
T623,Austin Ajiake,IND,LB,-,-,171.16,-,-,-,-,-,-,,,,
T623,Azeez Al-Shaair,HOU,LB,-,-,172.99,-,-,-,-,278.80,-,6.53,0.17,,
T623,Christian Albright,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Jaylan Alexander,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Kwon Alexander,FA,LB,-,-,175.18,-,-,-,-,-,-,,,,
T623,CJ Allen,IND,LB,-,-,173.45,20.95,-,-,-,208.10,-,,,,
T623,Dakota Allen,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Troy Andersen,ATL,LB,-,-,170.00,-,-,-,-,-,-,,,PUP-P,Knee
T623,Liam Anderson,CIN,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Joe Andreessen,BUF,LB,-,-,171.40,-,-,-,-,-,-,,,,
T623,Andrew Ankrah,FA,LB,-,-,-,-,-,-,-,685.00,-,,,,
T623,Alex Anzalone,TB,LB,-,-,175.98,-,-,-,-,382.30,-,3.48,,,
T623,Kam Arnold,KC,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Brian Asamoah,FA,LB,-,-,170.00,-,-,-,-,-,-,,,Ques,Knee
T623,C. J. Avery,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Joe Bachie,DET,LB,-,-,170.20,-,-,-,-,-,-,,,,
T623,Levelle Bailey,DEN,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Markus Bailey,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Wesley Bailey,LAR,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Rueben Bain,TB,LB,-,-,175.62,-,-,-,-,158.90,-,,,,
T623,Jerome Baker,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Keshawn Banks,ATL,LB,-,-,170.04,-,-,-,-,-,-,,,,
T623,Shad Banks,TEN,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Jaishawn Barham,DAL,LB,-,-,170.97,66.81,-,-,-,521.50,-,,,,
T623,Derrick Barnes,DET,LB,-,-,173.12,-,-,-,-,449.50,-,,,,
T623,Krys Barnes,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Zaire Barnes,NYG,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Amare Barno,FA,LB,-,-,170.00,-,-,-,-,-,-,,,Ques,Knee
T623,Michael Barrett,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Shaquil Barrett,FA,LB,-,-,172.18,-,-,-,-,-,-,,,,
T623,Justin Barron,DAL,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Jared Bartlett,JAX,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Cody Barton,TEN,LB,-,-,174.99,-,-,-,-,420.80,-,3.58,,,
T623,Lander Barton,LAC,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Boogie Basham,FA,LB,-,-,169.64,-,-,-,-,-,-,,,,
T623,Jeffrey Bassa,KC,LB,-,-,170.04,-,-,-,-,-,-,,,,
T623,Tyler Batty,MIN,LB,-,-,170.98,-,-,-,-,-,-,,,,
T623,Zack Baun,PHI,LB,-,-,165.99,-,-,-,-,119.00,-,,0.83,,
T623,Quinton Bell,SF,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Nick Bellore,WAS,LB,-,-,169.71,-,-,-,-,-,-,,,Reserve-Ret,Personal
T623,Ja'Whaun Bentley,FA,LB,-,-,171.45,-,-,-,-,-,-,,,,
T623,Terrel Bernard,BUF,LB,-,-,175.27,-,-,-,-,259.90,-,,,,
T623,JD Bertrand,ATL,LB,-,-,170.40,-,-,-,-,-,-,,,,
T623,Tatum Bethune,SF,LB,-,-,170.96,-,-,-,-,-,-,,,Ques,Groin
T623,Ezekiel Bigger,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Wesley Bissainthe,KC,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Kendrick Blackshire,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Chris Board,FA,LB,-,-,171.40,-,-,-,-,-,-,,,Ques,Chest
T623,Bryce Boettcher,IND,LB,-,-,171.13,47.36,-,-,-,608.80,-,,,,
T623,Curtis Bolton,FA,LB,-,-,171.45,-,-,-,-,-,-,,,,
T623,Nick Bolton,KC,LB,-,-,118.64,-,-,-,-,159.20,-,,1.83,,
T623,Nik Bonitto,DEN,LB,-,-,169.94,-,-,-,-,143.80,-,,0.50,,
T623,Jordan Botelho,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Tyus Bowser,FA,LB,-,-,172.62,-,-,-,-,-,-,,,,
T623,Swayze Bozeman,CIN,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Nigel Bradham,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,William Bradley-King,SF,LB,-,-,170.00,-,-,-,-,-,-,,,IR,Undisclosed
T623,Chris Braswell,TB,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,K.J. Britt,NE,LB,-,-,170.93,-,-,-,-,-,-,,,,
T623,Jordyn Brooks,MIA,LB,-,-,72.75,-,-,-,-,157.50,-,,6.33,,
T623,Cam Brown,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Elliott Brown,ARI,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Sean Brown,TEN,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Baron Browning,ARI,LB,-,-,170.07,-,-,-,-,-,-,,,,
T623,Carson Bruener,PIT,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Teddye Buchanan,BAL,LB,-,-,171.69,-,-,-,-,485.20,-,,,PUP-P,Knee - ACL
T623,John Bullock,TB,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Oren Burks,CIN,LB,-,-,173.04,-,-,-,-,-,-,,,,
T623,Amari Burney,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Brian Burns,NYG,LB,-,-,123.84,-,-,-,-,111.20,-,5.17,1.17,,
T623,Devin Bush,CHI,LB,-,-,172.22,-,-,-,-,361.60,-,4.41,0.50,,
T623,Chance Campbell,PHI,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,De'Vondre Campbell,FA,LB,-,-,173.35,-,-,-,-,-,-,,,,
T623,Jack Campbell,DET,LB,-,-,90.51,-,-,-,-,141.90,-,,3.33,,
T623,Jihaad Campbell,PHI,LB,-,-,175.79,-,-,-,-,255.80,-,,,,
T623,Jaylon Carlies,IND,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Daylan Carnell,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Owen Carney,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Abdul Carter,NYG,LB,-,-,174.88,-,-,-,-,150.20,-,,,Ques,Ankle
T623,Barrett Carter,CIN,LB,-,-,176.28,-,-,-,-,353.20,-,,0.17,,
T623,Lorenzo Carter,FA,LB,-,-,171.65,-,-,-,-,-,-,,,,
T623,Blake Cashman,MIN,LB,-,-,82.88,-,-,-,-,266.30,-,7.45,4.50,,
T623,K'Lavon Chaisson,WAS,LB,-,-,170.39,-,-,-,-,592.80,-,1.49,,,
T623,Tahj Chambers,IND,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Chaz Chambliss,MIN,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Leo Chenal,WAS,LB,-,-,171.67,-,-,-,-,457.00,-,,,,
T623,Claudin Cherelus,CAR,LB,-,-,170.29,-,-,-,-,-,-,,,,
T623,Cole Christiansen,KC,LB,-,-,170.00,-,-,-,-,-,-,0.91,,,
T623,Jimmy Ciarlo,BUF,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Damone Clark,DET,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jack Cochrane,KC,LB,-,-,171.09,-,-,-,-,-,-,,,,
T623,Jordan Colbert,FA,LB,-,-,-,-,-,-,-,-,-,,,Ques,Neck
T623,DJ Coleman,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Zaven Collins,ARI,LB,-,-,170.49,-,-,-,-,677.30,-,,,,
T623,Junior Colson,LAC,LB,-,-,169.81,-,-,-,-,-,-,,,Ques,Shoulder
T623,Branson Combs,JAX,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Edgerrin Cooper,GB,LB,-,-,174.93,-,-,-,-,98.60,-,,,,
T623,Jonathon Cooper,DEN,LB,-,-,173.34,-,-,-,-,447.70,-,,,,
T623,Carter Coughlin,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Brenton Cox,GB,LB,-,-,170.21,-,-,-,-,-,-,,,,
