,,,,Redraft,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,ESPN,MFL,NFFC,Yahoo,Sleeper,Sleeper,Sleeper,MFL,ESPN,Status,Injury
50,TreVeyon Henderson,NE,RB,45.85,50.20,69.08,55.16,50.16,57.70,62.90,52.10,17.50,,8.79,,
51,Davante Adams,LAR,WR,48.85,51.00,46.50,62.42,51.65,49.10,62.10,49.30,91.50,16.02,16.03,,
52,Quinshon Judkins,CLE,RB,54.13,52.50,53.27,51.50,53.57,53.70,66.10,53.80,34.00,,16.22,,
53,Joe Burrow,CIN,QB,56.33,53.60,59.96,25.65,54.25,45.20,13.40,44.00,11.50,16.01,8.25,,
54,David Montgomery,HOU,RB,51.27,53.80,74.40,69.72,51.94,54.80,71.40,59.50,76.00,16.74,8.19,,
55,Mike Evans,SF,WR,60.66,55.90,88.25,72.46,56.17,65.20,71.30,62.20,95.50,15.66,5.62,Ques,Quadriceps
56,Terry McLaurin,WAS,WR,52.44,56.70,61.02,66.40,50.18,55.00,69.40,60.70,88.00,11.79,12.43,,
57,Jameson Williams,DET,WR,53.77,57.90,67.00,62.84,51.58,63.60,67.30,55.80,69.50,8.60,10.22,,
58,D'Andre Swift,CHI,RB,50.60,58.80,71.90,62.63,54.56,50.00,73.80,58.70,72.00,20.60,8.11,,
59,DJ Moore,BUF,WR,58.15,59.00,70.70,68.44,61.30,65.70,77.40,61.00,93.50,15.20,8.65,,
60,Bhayshul Tuten,JAX,RB,63.08,60.10,77.91,66.76,63.40,64.30,76.20,56.70,66.00,,8.24,,
61,Carnell Tate,TEN,WR,66.23,61.80,69.21,11.46,64.53,77.60,78.50,66.40,42.00,32.43,8.67,,
62,Jalen Hurts,PHI,QB,70.47,62.30,54.28,35.98,77.19,56.10,28.50,53.50,51.50,15.08,9.43,,
63,Jayden Daniels,WAS,QB,63.19,62.90,51.99,33.18,70.27,52.90,16.30,57.30,49.50,,9.74,,
64,Harold Fannin,CLE,TE,72.50,64.20,76.72,66.05,84.70,71.50,70.60,67.40,44.50,6.86,5.20,,
65,Sam LaPorta,DET,TE,90.68,65.90,67.68,67.47,98.13,65.40,74.80,62.50,74.00,7.54,6.06,,
66,Rome Odunze,CHI,WR,62.53,66.20,71.57,64.48,59.34,69.70,80.20,70.90,52.00,,8.17,,
67,Tucker Kraft,GB,TE,75.24,67.50,103.97,63.93,84.79,60.60,75.50,68.00,58.00,11.02,2.88,Ques,Knee - ACL
68,Kyle Pitts,ATL,TE,83.11,68.30,65.87,64.88,87.49,73.80,79.60,74.00,75.50,13.14,6.37,,
69,Christian Watson,GB,WR,59.50,69.10,99.86,69.38,56.18,69.90,80.40,71.90,79.50,10.33,3.33,,
70,Jadarian Price,SEA,RB,66.97,70.80,78.39,13.34,73.41,65.90,93.40,87.50,64.00,28.39,9.05,,
