,,,,Redraft,,Dynasty,Health Report,
Rank,Name,Team,Pos,Underdog,Sleeper,Sleeper,Status,Injury
99,Michael Pittman,PIT,WR,99.30,98.20,98.70,,
100,Aaron Jones,MIN,RB,122.80,100.60,158.60,,
101,Jacory Croskey-Merritt,WAS,RB,118.60,101.50,119.20,,
102,Jakobi Meyers,JAX,WR,106.70,102.60,124.20,,
103,Quentin Johnston,LAC,WR,75.00,103.60,107.30,,
104,Wan'Dale Robinson,TEN,WR,112.10,104.50,85.60,,
105,Travis Kelce,KC,TE,121.00,105.70,141.60,,
106,Kenneth Gainwell,TB,RB,107.10,106.70,127.90,,
107,Patrick Mahomes,KC,QB,94.50,107.20,75.60,Ques,Knee - ACL
108,Jake Ferguson,DAL,TE,131.30,107.70,95.30,,
109,Jayden Reed,GB,WR,83.60,109.90,121.30,,
110,Brock Purdy,SF,QB,98.50,110.80,100.40,,
111,Jordan Mason,MIN,RB,111.30,111.40,134.40,,
112,Matthew Stafford,LAR,QB,105.90,112.90,136.70,,
113,KC Concepcion,CLE,WR,117.10,113.10,73.20,Ques,Shoulder
114,Bo Nix,DEN,QB,106.80,114.60,82.00,,
115,Rachaad White,WAS,RB,108.60,115.30,146.10,,
116,Oronde Gadsden,LAC,TE,150.10,116.10,86.70,,
117,Josh Downs,IND,WR,88.40,116.30,118.70,,
118,Mark Andrews,BAL,TE,125.50,118.50,139.70,,
119,Romeo Doubs,NE,WR,116.40,119.70,125.10,,
120,Isaiah Likely,NYG,TE,128.40,120.30,101.50,,
121,Xavier Worthy,KC,WR,98.60,121.10,114.30,Ques,Shoulder
122,Dallas Goedert,PHI,TE,134.50,122.60,152.80,,
123,Zach Charbonnet,SEA,RB,161.40,123.40,107.00,PUP-P,Knee - ACL
124,Tyler Allgeier,ARI,RB,157.70,124.20,116.30,,
125,Tyrone Tracy,NYG,RB,134.40,125.10,145.60,,
126,Matthew Golden,GB,WR,108.60,126.00,104.40,,
127,Brandon Aubrey,DAL,K,-,128.30,184.60,,
128,Cameron Dicker,LAC,K,-,131.40,187.70,,
129,Jason Myers,SEA,K,-,134.30,191.90,,
130,Jared Goff,DET,QB,109.60,134.60,148.00,,
131,Jayden Higgins,HOU,WR,123.50,136.50,106.80,,
132,Hunter Henry,NE,TE,152.30,137.20,176.90,,
133,Ka'imi Fairbairn,HOU,K,-,138.00,192.10,,
134,Khalil Shakir,BUF,WR,126.30,139.60,134.30,,
135,Jalen Coker,CAR,WR,128.00,140.90,129.90,,
136,Jonah Coleman,DEN,RB,158.90,141.00,120.70,,
137,Woody Marks,HOU,RB,141.30,142.50,125.80,,
138,Kenyon Sadiq,NYJ,TE,161.10,143.30,88.70,,
139,Cam Little,JAX,K,-,143.50,190.70,,
140,Brenton Strange,JAX,TE,150.60,145.00,110.70,,
141,Jordan Love,GB,QB,113.00,147.00,131.00,,
142,Chris Rodriguez,JAX,RB,129.30,148.50,200.50,,
143,Baker Mayfield,TB,QB,118.30,150.50,123.70,,
144,Stefon Diggs,FA,WR,132.10,151.70,179.10,,
