,,,,Redraft,,Dynasty,Health Report,
Rank,Name,Team,Pos,Underdog,Sleeper,Sleeper,Status,Injury
T350,Trishton Jackson,FA,WR,-,-,-,,
T350,Sam James,FA,WR,-,-,-,,
T350,Tyshaun James,FA,WR,-,-,-,,
T350,Jaxon Janke,FA,WR,-,-,-,,
T350,Rakim Jarrett,FA,WR,-,-,-,,
T350,Damion Jeanpiere,FA,WR,-,-,-,,
T350,Dennis Houston,TB,WR,-,-,-,,
T350,Alton Howard,FA,WR,-,-,-,,
T350,Jordan Hudson,DAL,WR,-,-,-,,
T350,Kyron Hudson,CHI,WR,-,-,-,,
T350,Lil'Jordan Humphrey,DEN,WR,-,-,-,,
T350,Xavier Hutchinson,HOU,WR,216.00,-,383.00,,
T350,Max Hurleman,PIT,WR,-,-,-,,
T350,John Jiles,FA,WR,-,-,-,Ques,Undisclosed
T350,Brandon Johnson,LV,WR,-,-,-,,
T350,Collin Johnson,FA,WR,-,-,-,,
T350,Cornelius Johnson,BAL,WR,-,-,-,,
T350,Diontae Johnson,FA,WR,-,-,-,,
T350,Jamel Johnson,FA,WR,-,-,-,,
T350,Jaylen Johnson,FA,WR,-,-,-,,
T350,Johnny Johnson,FA,WR,-,-,-,,
T350,Kameron Johnson,TB,WR,-,-,-,,
T350,KeeSean Johnson,FA,WR,-,-,-,,
T350,Marcus Johnson,FA,WR,-,-,-,,
T350,Charlie Jones,CIN,WR,-,-,-,,
T350,J.J. Jones,FA,WR,-,-,-,,
T350,Jacoby Jones,WAS,WR,-,-,-,,
T350,Jeshaun Jones,MIN,WR,-,-,-,,
T350,Julio Jones,FA,WR,-,-,515.50,,
T350,Marvin Jones,FA,WR,-,-,-,,
T350,Tim Jones,JAX,WR,-,-,-,,
T350,Zay Jones,FA,WR,-,-,-,,
T350,Lamar Jordan,FA,WR,-,-,-,,
T350,Kevin Kassis,FA,WR,-,-,-,,
T350,Kolbe Katsis,DEN,WR,-,-,-,,
T350,Jakobie Keeney-James,FA,WR,-,-,-,,
T350,Josh Kelly,HOU,WR,-,-,-,,
T350,Tom Kennedy,DET,WR,-,-,-,,
T350,Dane Key,DEN,WR,-,-,370.80,,
T350,Lawrence Keys,DET,WR,-,-,-,Ques,Leg
T350,Ramel Keyton,FA,WR,-,-,-,,
T350,Jimmy Kibble,NE,WR,-,-,-,IR,Undisclosed
T350,Mason Kinsey,TEN,WR,-,-,-,,
T350,Chris Moore,BAL,WR,-,-,-,,
T350,David Moore,CAR,WR,-,-,-,,
T350,Steven Mitchell,FA,WR,-,-,-,,
T350,D.J. Montgomery,FA,WR,-,-,-,,
T350,Tyren Montgomery,TEN,WR,-,-,-,,
T350,Nick Nash,WAS,WR,-,-,-,,
T350,JoJo Natson,FA,WR,-,-,-,,
T350,J.J. Nelson,FA,WR,-,-,-,,
T350,Dazz Newsome,FA,WR,-,-,-,,
T350,Isaiah Neyor,GB,WR,-,-,-,,
T350,Joseph Ngata,FA,WR,-,-,-,,
T350,Bryce Oliver,TEN,WR,-,-,-,,
T350,Gunner Olszewski,NYG,WR,-,-,-,IR,Achilles
T350,K.J. Osborn,TEN,WR,-,-,-,,
T350,Coleman Owen,IND,WR,-,-,-,,
T350,Terique Owens,FA,WR,-,-,-,,
T350,Joshua Palmer,BUF,WR,215.90,-,408.00,,
T350,Tejhaun Palmer,FA,WR,-,-,-,,
T350,Trey Palmer,NO,WR,-,-,-,,
T350,Eli Pancol,IND,WR,-,-,-,,
T350,DeVante Parker,FA,WR,-,-,-,,
T350,Zach Pascal,FA,WR,-,-,-,,
T350,Tim Patrick,NYJ,WR,-,-,-,,
T350,Ben Patterson,FA,WR,-,-,-,,
T350,Dean Patterson,TB,WR,-,-,-,,
T350,Neil Pau'u,FA,WR,-,-,-,,
T350,Will Pauling,SF,WR,-,-,-,,
T350,JaVonta Payton,FA,WR,-,-,-,,
T350,Ja'Seem Reed,CAR,WR,-,-,-,,
T350,Kalil Pimpleton,FA,WR,-,-,-,,
T350,Trebor Pena,JAX,WR,-,-,501.50,,
T350,A.T. Perry,PIT,WR,-,-,-,,
T350,Dante Pettis,BUF,WR,-,-,-,,
T350,Kyle Philips,FA,WR,-,-,-,,
T350,Whop Philyor,FA,WR,-,-,-,,
T350,John Rhys Plumlee,FA,WR,-,-,-,,
T350,Ja'Lynn Polk,NO,WR,-,-,562.00,Reserve-Ret,Undisclosed
T350,Brandon Powell,FA,WR,-,-,-,,
T350,Kaden Prather,GB,WR,-,-,-,,
T350,Kobe Prentice,NE,WR,-,-,-,,
T350,Brennan Presley,LAR,WR,-,-,-,,
T350,Hal Presley,FA,WR,-,-,-,,
T350,Myles Price,MIN,WR,-,-,550.50,,
T350,Jamaal Pritchett,NYJ,WR,-,-,-,,
T350,James Proche,FA,WR,-,-,-,,
T350,Kendric Pryor,CIN,WR,-,-,-,,
T350,Charleston Rambo,FA,WR,-,-,-,,
T350,Kalif Raymond,CHI,WR,215.90,-,-,,
T350,Jalen Reagor,MIA,WR,-,-,-,,
T350,Riley Ridley,FA,WR,-,-,-,,
T350,Eric Rivers,TB,WR,-,-,507.20,,
T350,Jaquarii Roberson,FA,WR,-,-,-,,
T350,Reggie Roberson,FA,WR,-,-,-,,
T350,Andre Roberts,FA,WR,-,-,-,,
T350,Chase Roberts,LV,WR,-,-,390.00,,
T350,Demetris Robertson,FA,WR,-,-,-,,
T350,Allen Robinson,FA,WR,-,-,-,,
T350,Joe Reed,FA,WR,-,-,-,,
T350,Louis Rees-Zammit,FA,WR,-,-,-,,
T350,Nikko Remigio,KC,WR,-,-,-,,
T350,Hunter Renfrow,FA,WR,-,-,-,,
T350,Xavier Restrepo,TEN,WR,-,-,-,,
T350,Josh Reynolds,FA,WR,-,-,-,Ques,Hip
T350,Brenden Rice,FA,WR,-,-,-,Ques,Undisclosed
T350,Stephon Robinson,FA,WR,-,-,-,,
T350,A.J. Richardson,FA,WR,-,-,-,,
T350,JP Richardson,CHI,WR,-,-,510.50,,
T350,Braylon Sanders,FA,WR,-,-,-,,
T350,Marcus Sanders,MIN,WR,-,-,-,,
T350,Mohamed Sanu,FA,WR,-,-,-,,
T350,Bud Sasser,FA,WR,-,-,-,,
T350,Treyvhon Saunders,HOU,WR,-,-,-,,
T350,Savon Scarver,FA,WR,-,-,-,,
T350,Dalton Schoen,FA,WR,-,-,-,,
T350,Anthony Schwartz,FA,WR,-,-,-,,
T350,Gee Scott,NYJ,WR,-,-,-,IR,Undisclosed
T350,Ty Scott,FA,WR,-,-,-,,
T350,Tyler Scott,LAR,WR,-,-,-,,
T350,Mathew Sexton,FA,WR,-,-,-,,
T350,Kevin Shaa,FA,WR,-,-,-,,
T350,Rashad Rochelle,SEA,WR,-,-,-,,
T350,Amari Rodgers,FA,WR,-,-,-,,
T350,Marcus Rosemy-Jacksaint,FA,WR,-,-,-,,
T350,Cameron Ross,DEN,WR,-,-,-,,
T350,Devonte Ross,LAC,WR,-,-,-,,
T350,John Ross,FA,WR,-,-,-,,
T350,Justyn Ross,FA,WR,-,-,-,,
T350,Marvelle Ross,FA,WR,-,-,-,,
T350,Jalen Royals,KC,WR,216.00,-,371.40,,
T350,Corey Rucker,LV,WR,-,-,-,IR,Undisclosed
T350,Trayvon Rudolph,MIN,WR,-,-,-,,
T350,Henry Ruggs,FA,WR,-,-,413.70,,
T350,Jonathon Rumph,FA,WR,-,-,-,,
T350,Xavier Rush,FA,WR,-,-,-,,
T350,Malik Rutherford,FA,WR,-,-,-,,
T350,Curtis Samuel,FA,WR,-,-,-,,
T350,Jared Smart,FA,WR,-,-,-,,
T350,Ainias Smith,CAR,WR,-,-,-,,
T350,Anthony Smith,DAL,WR,-,-,-,,
T350,Arian Smith,NYJ,WR,-,-,-,,
T350,Brandon Smith,PIT,WR,-,-,-,,
T350,JuJu Smith-Schuster,NYG,WR,216.00,-,-,,
T350,Tyler Snead,FA,WR,-,-,-,,
T350,Daniel Sobkowicz,HOU,WR,-,-,-,,
T350,Jack Sorenson,FA,WR,-,-,-,,
T350,Jaden Smith,DAL,WR,-,-,-,,
T350,Jaylen Smith,FA,WR,-,-,-,,
T350,Josh Smith,FA,WR,-,-,-,,
T350,Octavian Smith,BAL,WR,-,-,-,,
T350,Tre'Quan Smith,FA,WR,-,-,-,,
T350,Xavier Smith,LAR,WR,-,-,-,,
T350,Ihmir Smith-Marsette,ARI,WR,-,-,-,,
T350,Raylen Sharpe,IND,WR,-,-,-,,
T350,Tyrell Shavers,BUF,WR,-,-,-,PUP-P,Knee - ACL
T350,Damon Sheehy-Guiseppi,FA,WR,-,-,-,,
T350,DT Sheffield,NYJ,WR,-,-,517.50,,
T350,Laviska Shenault,FA,WR,-,-,-,,
T350,Sterling Shepard,FA,WR,-,-,-,,
T350,Will Sheppard,GB,WR,-,-,-,,
T350,Trent Sherfield,BUF,WR,-,-,-,,
T350,Noah Short,FA,WR,-,-,-,,
T350,Justin Shorter,LV,WR,-,-,-,IR,Undisclosed
T350,David Sills,TB,WR,-,-,-,,
T350,Tyler Simmons,FA,WR,-,-,-,,
T350,Steven Sims,FA,WR,-,-,-,,
T350,Quentin Skinner,BUF,WR,-,-,-,,
T350,Quincy Skinner,NYJ,WR,-,-,-,,
T350,Ben Skowronek,PIT,WR,-,-,-,,
T350,Matthew Slater,FA,WR,-,-,-,,
T350,Stone Smartt,PHI,TE,-,-,-,,
T350,Irv Smith,FA,TE,-,-,-,Ques,Ankle
T350,Jonnu Smith,FA,TE,-,-,-,,
T350,Kaden Smith,FA,TE,-,-,-,,
T350,Durham Smythe,BAL,TE,-,-,-,,
T350,Matt Sokol,FA,TE,-,-,-,,
T350,Brevyn Spann-Ford,DAL,TE,216.00,-,-,,
T350,Dylan Stapleton,FA,TE,-,-,-,,
T350,John Stephens,FA,TE,-,-,-,,
T350,Luke Stocker,FA,TE,-,-,-,,
T350,Jack Stoll,CLE,TE,-,-,-,,
T350,Cade Stover,HOU,TE,-,-,566.50,,
T350,Ian Thomas,LV,TE,-,-,-,,
T350,Logan Thomas,FA,TE,-,-,-,,
T350,Noah Togiai,FA,TE,-,-,-,,
T350,Eric Tomlinson,FA,TE,-,-,-,,
T350,Stephen Sullivan,FA,TE,-,-,-,,
T350,Cam Sutton,FA,TE,-,-,-,,
T350,Evan Svoboda,LAC,TE,-,-,-,,
T350,Geoff Swaim,FA,TE,-,-,-,,
T350,Messiah Swinson,GB,TE,-,-,-,,
T350,Leonard Taylor,FA,TE,-,-,-,,
T350,Marcus Santos-Silva,FA,TE,-,-,-,,
T350,Eric Saubert,SEA,TE,-,-,-,,
T350,Luke Schoonmaker,DAL,TE,216.00,-,565.50,,
T350,Donald Parham,FA,TE,-,-,-,,
T350,Dylan Parham,FA,TE,-,-,-,,
T350,Drew Sample,CIN,TE,-,-,-,,
T350,Christian Scotland-Williamson,FA,TE,-,-,-,,
T350,Jared Scott,FA,TE,-,-,-,,
T350,Matt Seybert,FA,TE,-,-,-,,
T350,Adam Shaheen,FA,TE,-,-,-,,
T350,Bauer Sharp,TB,TE,-,-,528.70,,
T350,John Samuel Shenker,FA,TE,-,-,-,,
T350,Joshua Simon,ATL,TE,-,-,-,,
T350,Ben Sims,MIA,TE,-,-,-,,
T350,Jonathan Adams,FA,WR,-,-,-,,
T350,Robert Tonyan,PIT,TE,216.00,-,-,,
T350,Carson Towt,IND,TE,-,-,-,,
T350,Seydou Traore,MIA,TE,-,-,560.50,,
T350,Adam Trautman,DEN,TE,-,-,-,,
T350,Tommy Tremble,CAR,TE,216.00,-,-,,
T350,Cole Turner,MIA,TE,-,-,-,,
T350,C.J. Uzomah,FA,TE,-,-,-,,
T350,Mitch Van Vooren,NE,TE,-,-,-,,
T350,Nick Vannett,SEA,TE,-,-,-,,
T350,Jack Velling,ATL,TE,-,-,-,,
T350,Dan Villari,LAR,TE,-,-,557.70,,
T350,Travis Vokolek,FA,TE,-,-,-,,
T350,Darren Waller,FA,TE,216.00,-,400.00,Ques,Groin
T350,Garrett Walston,FA,TE,-,-,-,,
T350,Jacob Warren,FA,TE,-,-,-,,
T350,Jerome Washington,FA,TE,-,-,-,,
T350,Scotty Washington,FA,TE,-,-,-,,
T350,Tre Watson,KC,TE,-,-,-,,
T350,Treyton Welch,NO,TE,-,-,-,,
T350,Pro Wells,FA,TE,-,-,-,,
T350,Trevon Wesco,FA,TE,-,-,-,,
T350,Blake Whiteheart,CLE,TE,-,-,-,,
T350,Josh Whyle,GB,TE,-,-,-,,
T350,Nate Wieting,FA,TE,-,-,-,,
T350,Mitchell Wilcox,FA,TE,-,-,-,,
T350,Jared Wiley,KC,TE,-,-,-,,
T350,Carson Williams,FA,TE,-,-,530.00,,
T350,Rodney Williams,FA,TE,-,-,-,,
T350,Brayden Willis,SF,TE,-,-,-,,
T350,Joel Wilson,TEN,TE,-,-,-,,
T350,Charlie Woerner,ATL,TE,-,-,-,,
T350,Ethan Wolf,FA,TE,-,-,-,,
T350,Trevor Wood,FA,TE,-,-,-,,
T350,Jelani Woods,NYJ,TE,-,-,-,,
T350,Brock Wright,DET,TE,-,-,-,,
T350,Dae'Quan Wright,PHI,TE,-,-,470.50,,
T350,Colson Yankoff,WAS,TE,-,-,-,,
T350,Thomas Yassmin,GB,TE,-,-,-,,
T350,Kenny Yeboah,ARI,TE,-,-,-,,
T350,Ben Yurosek,MIN,TE,-,-,-,,
T350,Shane Zylstra,BUF,TE,-,-,-,,
T350,Keshunn Abram,FA,WR,-,-,-,,
T350,Trinity Benson,FA,WR,-,-,-,,
T350,Gabriel Benyard,CAR,WR,-,-,-,,
T350,Junior Bergen,SF,WR,-,-,-,,
T350,David Bell,FA,WR,-,-,-,,
T350,Dillon Bell,MIN,WR,-,-,-,,
T350,Ronnie Bell,NO,WR,-,-,-,,
T350,Andre Baccellia,FA,WR,-,-,-,Ques,Neck
T350,Alex Bachman,FA,WR,-,-,-,,
T350,Javon Baker,FA,WR,-,-,-,,
T350,Daylen Baldwin,FA,WR,-,-,-,,
T350,Michael Bandy,DEN,WR,-,-,-,,
T350,Reggie Begelton,FA,WR,-,-,-,,
T350,Cole Beasley,FA,WR,-,-,-,,
T350,Hank Beatty,TEN,WR,-,-,-,,
T350,Geronimo Allison,FA,WR,-,-,-,,
T350,Aaron Anderson,CLE,WR,-,-,488.90,,
T350,Vinny Anthony,ATL,WR,-,-,525.50,,
T350,Andrew Armstrong,KC,WR,-,-,-,,
T350,Tutu Atwell,MIA,WR,216.00,-,-,,
T350,Calvin Austin,NYG,WR,216.00,-,-,,
T350,Kevin Austin,NO,WR,-,-,-,,
T350,Tavon Austin,FA,WR,-,-,389.00,,
T350,Ajou Ajou,FA,WR,-,-,-,,
T350,Maurice Alexander,CHI,WR,-,-,-,,
T350,Damien Alford,FA,WR,-,-,-,Ques,Undisclosed
T350,Josh Ali,FA,WR,-,-,-,,
T350,Devon Allen,FA,WR,-,-,-,,
T350,Floyd Allen,FA,WR,-,-,-,,
T350,Nelson Agholor,FA,WR,-,-,-,,
T350,Jamal Agnew,FA,WR,-,-,-,Ques,Undisclosed
T350,Chandler Brayboy,JAX,WR,-,-,-,,
T350,Lewis Bond,HOU,WR,216.00,-,398.00,,
T350,Slade Bolden,FA,WR,-,-,-,,
T350,Barion Brown,NO,WR,216.00,-,506.00,,
T350,Camden Brown,DAL,WR,-,-,-,,
T350,Dyami Brown,WAS,WR,216.00,-,-,,
T350,Fred Brown,FA,WR,-,-,-,,
T350,Hollywood Brown,PHI,WR,215.90,-,323.80,,
T350,Jaron Brown,FA,WR,-,-,-,,
T350,John Brown,FA,WR,-,-,-,,
T350,Kameron Brown,FA,WR,-,-,-,,
T350,Noah Brown,FA,WR,-,-,-,Ques,Ribs
T350,Sean Brown,FA,WR,-,-,-,,
T350,Sincere Brown,LAC,WR,-,-,-,,
T350,Tony Brown,FA,WR,-,-,-,,
T350,Jason Brownlee,KC,WR,-,-,-,,
T350,Jared Bernhardt,FA,WR,-,-,-,,
T350,Braxton Berrios,NYG,WR,-,-,-,,
T350,Stanley Berryhill,FA,WR,-,-,-,,
T350,Tyron Billy-Johnson,FA,WR,-,-,-,,
T350,Tarik Black,FA,WR,-,-,-,,
T350,Chris Blair,ATL,WR,-,-,-,,
T350,DeMeer Blankumsee,FA,WR,-,-,-,,
T350,Javess Blue,FA,WR,-,-,-,,
T350,Bryce Bobo,FA,WR,-,-,-,,
T350,Lynn Bowden,FA,WR,-,-,-,,
T350,Zion Bowens,FA,WR,-,-,-,,
T350,Brady Boyd,JAX,WR,-,-,-,,
T350,Devonte Boyd,FA,WR,-,-,-,,
T350,Tyler Boyd,FA,WR,-,-,-,,
T350,Miles Boykin,FA,WR,-,-,-,,
T350,Trevon Bradford,FA,WR,-,-,378.00,,
T350,Ja'Marcus Bradley,FA,WR,-,-,-,,
T350,Jaden Bradley,WAS,WR,-,-,-,,
T350,Jonathan Brady,FA,WR,-,-,-,,
T350,Tyre Brady,FA,WR,-,-,-,,
T350,Cortez Braham,BAL,WR,-,-,-,,
T350,Reggie Diggs,FA,WR,-,-,-,,
T350,Kyle Dixon,NE,WR,-,-,-,,
T350,Cameron Dorner,NE,WR,-,-,522.00,,
T350,Phillip Dorsett,LV,WR,-,-,-,,
T350,Greg Dortch,DET,WR,216.00,-,534.00,,
T350,Kevin Coleman,MIA,WR,216.00,-,282.60,,
T350,Beaux Collins,NYG,WR,-,-,-,Ques,Concussion
T350,Kenny Cook,FA,WR,-,-,-,,
T350,Brandin Cooks,FA,WR,-,-,-,,
T350,Elijah Cooks,FA,WR,-,-,-,,
T350,Amari Cooper,FA,WR,-,-,-,,
T350,Darius Cooper,PHI,WR,-,-,-,,
T350,Jacob Copeland,FA,WR,-,-,-,,
T350,Malachi Corley,CLE,WR,-,-,-,,
T350,Chase Cota,FA,WR,-,-,-,,
T350,Britain Covey,PHI,WR,-,-,-,,
T350,Jacob Cowing,SF,WR,216.00,-,-,,
T350,River Cracraft,WAS,WR,-,-,-,,
T350,Josh Crockett,FA,WR,-,-,-,,
T350,Jamison Crowder,FA,WR,-,-,-,,
T350,Malik Cunningham,DET,WR,-,-,-,,
T350,Zach D'Orazio,FA,WR,-,-,-,,
T350,Mac Dalena,BUF,WR,-,-,-,,
T350,Jared Dangerfield,FA,WR,-,-,-,,
T350,CJ Daniels,LAR,WR,216.00,-,278.70,,
T350,Dallas Daniels,FA,WR,-,-,-,,
T350,DaVaris Daniels,FA,WR,-,-,-,,
T350,Frank Darby,FA,WR,-,-,-,,
T350,Jaelon Darden,FA,WR,-,-,-,,
T350,Corey Davis,FA,WR,-,-,-,,
T350,Danny Davis,FA,WR,-,-,-,,
T350,Davion Davis,FA,WR,-,-,-,,
T350,Derius Davis,LAC,WR,-,-,-,,
T350,Gabe Davis,FA,WR,-,-,-,Ques,Knee - ACL
T350,Joaquin Davis,PIT,WR,-,-,-,,
T350,Kaden Davis,CHI,WR,-,-,-,,
T350,Shaquan Davis,FA,WR,-,-,-,,
T350,Terrill Davis,MIN,WR,-,-,476.50,,
T350,Seth Dawkins,FA,WR,-,-,-,,
T350,Jacob De Jesus,KC,WR,-,-,-,,
T350,DeVonte Dedmon,FA,WR,-,-,-,,
T350,Nick DeGennaro,NE,WR,-,-,-,,
T350,Shemar Bridges,FA,WR,-,-,-,,
T350,Romello Brinson,FA,WR,-,-,-,,
T350,Michael Briscoe,MIN,WR,-,-,-,,
T350,Le'Meke Brockington,ATL,WR,-,-,-,,
T350,Ja'Corey Brooks,FA,WR,-,-,-,Ques,Undisclosed
T350,Jalen Brooks,ARI,WR,-,-,-,,
T350,Alex Bullock,JAX,WR,-,-,-,Reserve-Ret,Undisclosed
T350,Cole Burgess,PIT,WR,-,-,-,,
T350,Dan Chisena,CAR,WR,-,-,-,IR,Undisclosed
T350,Efton Chism,NE,WR,-,-,-,,
T350,Robbie Chosen,FA,WR,-,-,-,,
T350,Cody Chrest,FA,WR,-,-,-,,
T350,Marquez Clark,FA,WR,-,-,-,,
T350,Trevon Clark,FA,WR,-,-,-,,
T350,Chase Claypool,FA,WR,-,-,-,,
T350,Tyrie Cleveland,FA,WR,-,-,-,,
T350,Randall Cobb,FA,WR,-,-,-,,
T350,Braxton Burmeister,FA,WR,-,-,-,,
T350,Deontay Burnett,FA,WR,-,-,-,,
T350,Jermaine Burton,FA,WR,216.00,-,-,,
T350,Rico Bussey,FA,WR,-,-,-,,
T350,Hakeem Butler,DEN,WR,-,-,-,,
T350,Terrell Bynum,FA,WR,-,-,-,,
T350,Jeff Caldwell,KC,WR,-,-,463.50,,
T350,Antonio Callaway,FA,WR,-,-,-,,
T350,Marquez Callaway,FA,WR,-,-,-,,
T350,Dalen Cambre,NYG,WR,-,-,-,,
T350,Josh Cameron,JAX,WR,216.00,-,478.80,,
T350,Dalevon Campbell,LAC,WR,-,-,-,,
T350,Parris Campbell,DAL,WR,-,-,-,Reserve-Ret,Undisclosed
T350,Cam Camper,NYJ,WR,-,-,-,,
T350,DeAndre Carter,FA,WR,-,-,-,Ques,Knee
T350,Joshua Cephus,FA,WR,-,-,-,,
T350,DJ Chark,FA,WR,-,-,-,,
T350,Irvin Charles,SEA,WR,-,-,-,,
T350,Colton Dowell,SF,WR,-,-,-,,
T350,Emeka Emezie,FA,WR,-,-,-,,
T350,Alex Erickson,FA,WR,-,-,-,,
T350,Dee Eskridge,FA,WR,-,-,-,,
T350,Amba Etta-Tawo,FA,WR,-,-,-,,
T350,Dontario Drummond,FA,WR,-,-,-,,
T350,Dylan Drummond,ATL,WR,-,-,-,,
T350,Grant DuBose,FA,WR,-,-,-,Ques,Shoulder
T350,Ashton Dulin,IND,WR,216.00,-,-,,
T350,Kyre Duplessis,SEA,WR,-,-,-,,
T350,Devin Duvernay,ARI,WR,-,-,-,,
T350,Brennan Eagles,FA,WR,-,-,-,,
T350,Jerrion Ealy,FA,WR,-,-,-,,
T350,Tru Edwards,LAR,WR,-,-,-,,
T350,Dez Fitzpatrick,FA,WR,-,-,-,Ques,Undisclosed
T350,Dontae Fleming,MIN,WR,-,-,-,,
T350,Luke Floriea,CLE,WR,-,-,-,,
T350,Isaiah Ford,FA,WR,-,-,-,,
T350,Bryce Ford-Wheaton,FA,WR,-,-,-,Ques,Achilles
T350,Montorie Foster,SEA,WR,-,-,-,,
T350,Deshon Foxx,FA,WR,-,-,-,,
T350,Omari Evans,KC,WR,-,-,404.50,,
T350,Erik Ezukanma,PHI,WR,-,-,-,,
T350,Jequez Ezzard,FA,WR,-,-,-,,
T350,Simi Fehoko,ARI,WR,-,-,-,,
T350,Da'Quan Felton,FA,WR,-,-,-,Ques,Undisclosed
T350,Tai Felton,MIN,WR,216.00,-,403.00,,
T350,Isiah Ferguson,FA,WR,-,-,-,,
T350,Ethan Fernea,FA,WR,-,-,-,,
T350,Maurice Ffrench,FA,WR,-,-,-,,
T350,Zakhari Franklin,FA,WR,-,-,-,,
T350,Ty Fryfogle,FA,WR,-,-,-,,
T350,Travis Fulgham,FA,WR,-,-,-,,
T350,Russell Gage,FA,WR,-,-,-,,
T350,Michael Gallup,FA,WR,-,-,-,,
T350,Kaylon Geiger,FA,WR,-,-,-,,
T350,Xavier Gipson,NYG,WR,-,-,-,,
T350,Deonte Harty,FA,WR,-,-,-,Ques,Knee
T350,Jadon Haselwood,FA,WR,-,-,-,,
T350,Brandon Hayes,FA,WR,-,-,-,,
T350,Malik Heath,FA,WR,-,-,-,,
T350,Jaivon Heiligh,FA,WR,-,-,-,,
T350,Emmanuel Henderson,SEA,WR,-,-,511.10,,
T350,Thomas Hennigan,FA,WR,-,-,-,,
T350,AJ Henning,MIA,WR,-,-,-,,
T350,Ra'Shaun Henry,FA,WR,-,-,-,,
T350,Jake Herslow,FA,WR,-,-,-,,
T350,Julian Hicks,FA,WR,-,-,-,,
T350,Aleva Hifo,FA,WR,-,-,-,,
T350,Kenny Golladay,FA,WR,-,-,-,,
T350,Josh Gordon,FA,WR,-,-,-,,
T350,Stephen Gosnell,BUF,WR,-,-,-,,
T350,Anthony Gould,IND,WR,-,-,-,,
T350,Danny Gray,PHI,WR,-,-,-,,
T350,Bryson Green,ARI,WR,-,-,-,,
T350,Garrett Greene,TB,WR,-,-,-,,
T350,Wesley Grimes,SF,WR,-,-,-,,
T350,Luke Grimm,LAC,WR,-,-,388.00,,
T350,Xavier Guillory,BAL,WR,-,-,-,,
T350,Sahmir Hagans,IND,WR,-,-,-,,
T350,Justin Hall,FA,WR,-,-,-,,
T350,Josh Hammond,FA,WR,-,-,-,,
T350,Mecole Hardman,BUF,WR,-,-,-,,
T350,Mike Harley,FA,WR,-,-,-,,
T350,Josh Harper,FA,WR,-,-,-,,
T350,De'Michael Harris,FA,WR,-,-,-,,
T350,Keilahn Harris,FA,WR,-,-,-,,
T350,Travell Harris,FA,WR,-,-,-,,
T350,Rohan Jones,LAR,TE,-,-,-,,
T350,Brevin Jordan,HOU,TE,-,-,-,,
T350,Will Kacmarek,MIA,TE,216.00,-,359.50,,
T350,Nikola Kalinic,CHI,TE,-,-,-,,
T350,Nick Kallerup,SEA,TE,-,-,-,,
T350,Jaren Kanak,TEN,TE,-,-,555.50,,
T350,Josh Kattus,CIN,TE,-,-,-,NFI-A,Undisclosed
T350,Nolan Givan,FA,TE,-,-,-,,
T350,J.J. Galbreath,PIT,TE,-,-,-,,
T350,Jameson Geers,ARI,TE,-,-,-,,
T350,Peyton Hendershot,FA,TE,-,-,-,,
T350,Neal Johnson,FA,TE,-,-,-,,
T350,Dawson Knox,BUF,TE,215.80,-,-,,
T350,Charlie Kolar,LAC,TE,215.50,-,-,,
T350,Travis Koontz,FA,TE,-,-,-,,
T350,Davis Koppenhaver,FA,TE,-,-,-,,
T350,Tanner Koziol,JAX,TE,216.00,-,512.40,,
T350,Ko Kieft,TB,TE,-,-,-,,
T350,Miles Kitselman,DET,TE,-,-,-,Ques,Leg
T350,Tyler Kroft,FA,TE,-,-,-,,
T350,Erik Krommenhoek,FA,TE,-,-,-,,
T350,Lucas Krull,DEN,TE,-,-,-,,
T350,Zack Kuntz,LV,TE,-,-,-,,
T350,Luke Lachey,GB,TE,-,-,-,,
T350,Anthony Landphere,FA,TE,-,-,-,,
T350,Marshall Lang,MIN,TE,-,-,-,,
T350,Jeff Wilson,FA,RB,-,-,-,,
T350,Jacardia Wright,SEA,RB,-,-,-,,
T350,Troy Fumagalli,FA,TE,-,-,-,,
T350,Devin Funchess,FA,TE,-,-,-,,
T350,Noah Fant,NO,TE,-,-,-,,
T350,Princeton Fant,DAL,TE,-,-,-,Ques,Knee
T350,Luke Farrell,SF,TE,-,-,-,,
T350,Patrick Herbert,JAX,TE,-,-,-,,
T350,Chris Herndon,FA,TE,-,-,-,,
T350,Parker Hesse,FA,TE,-,-,-,,
T350,Matthew Hibner,BAL,TE,216.00,-,489.60,,
T350,Tyler Higbee,LAR,TE,216.00,-,-,,
T350,Elijah Higgins,ARI,TE,216.00,-,-,,
T350,Julian Hill,NE,TE,-,-,-,IR,Knee
T350,Curtis Hodges,FA,TE,-,-,-,,
T350,Dallin Holker,FA,TE,-,-,-,,
T350,J.P. Holtz,FA,TE,-,-,-,,
T350,Austin Hooper,ATL,TE,-,-,-,,
T350,Brycen Hopkins,FA,TE,-,-,-,,
T350,Jesper Horsted,FA,TE,-,-,-,,
T350,Zach Horton,FA,TE,-,-,-,,
T350,Parker Houston,FA,TE,-,-,-,,
T350,Bug Howard,FA,TE,-,-,-,,
T350,O.J. Howard,FA,TE,-,-,-,,
T350,J.J. Howland,FA,TE,-,-,-,,
T350,Garrett Hudson,FA,TE,-,-,-,,
T350,Tanner Hudson,CIN,TE,-,-,-,,
T350,Qadir Ismail,CHI,TE,-,-,-,,
T350,Kalif Jackson,FA,TE,-,-,-,,
