,,,,Redraft,,,Dynasty,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,MFL,Sleeper,MFL,Ottoneu,Status,Injury
T285,Dane Key,DEN,WR,-,-,-,398.50,,,,
T285,Lawrence Keys,DET,WR,-,-,-,-,,,Ques,Leg
T285,Ramel Keyton,FA,WR,-,-,-,-,,,,
T285,Jimmy Kibble,NE,WR,-,-,-,-,,,IR,Undisclosed
T285,Mason Kinsey,TEN,WR,-,-,-,-,,,,
213,Christian Kirk,SF,WR,256.16,-,-,269.50,1.00,11.40,Ques,Calf
T285,Jontre Kirklin,FA,WR,-,-,-,-,,,,
T285,Keith Kirkwood,FA,WR,-,-,-,-,,,,
T285,Shaleak Knotts,FA,WR,-,-,-,-,,,,
T285,Malik Knowles,FA,WR,-,-,-,-,,,,
219,Cooper Kupp,SEA,WR,261.94,-,-,258.20,2.78,26.17,,
T285,Aaron Lacombe,FA,WR,-,-,-,-,,,,
T285,Caullin Lacy,NYJ,WR,-,-,-,425.00,,,,
T285,Chris Lacy,FA,WR,-,-,-,-,,,,
T285,Kalif Raymond,CHI,WR,-,-,-,-,,9.00,,
T285,Jalen Reagor,MIA,WR,-,-,-,-,,,,
T285,Brock Rechsteiner,NO,WR,-,-,-,-,,,,
T285,Ja'Seem Reed,CAR,WR,-,-,-,-,,,,
T285,JuJu Smith-Schuster,NYG,WR,-,-,-,-,,20.00,,
T285,Tyler Snead,FA,WR,-,-,-,-,,,,
T285,Daniel Sobkowicz,HOU,WR,-,-,-,-,,,,
T285,Jack Sorenson,FA,WR,-,-,-,-,,,,
T285,Jaden Smith,DAL,WR,-,-,-,-,,,,
T285,Jaylen Smith,FA,WR,-,-,-,-,,,,
T285,Josh Smith,FA,WR,-,-,-,-,,,,
T285,Octavian Smith,BAL,WR,-,-,-,-,,,,
T285,Tre'Quan Smith,FA,WR,-,-,-,-,,,,
T285,Xavier Smith,LAR,WR,-,-,-,-,,,,
T285,Ihmir Smith-Marsette,ARI,WR,-,-,-,-,,,,
T285,Damore'ea Stringfellow,FA,WR,-,-,-,-,,,,
T285,J. Michael Sturdivant,GB,WR,-,-,-,-,,,,
T285,Justin Sumpter,FA,WR,-,-,-,-,,,,
T285,Corey Sutton,FA,WR,-,-,-,-,,,,
T285,Equanimeous St. Brown,FA,WR,-,-,-,-,,,Ques,Foot
T285,Jerreth Sterns,FA,WR,-,-,-,-,,,,
T285,Dillon Stoner,FA,WR,-,-,-,-,,,,
T285,Drake Stoops,FA,WR,-,-,-,-,,,,
T285,Mike Strachan,FA,WR,-,-,-,-,,,,
T285,Kalil Pimpleton,FA,WR,-,-,-,-,,,,
T285,Golden Tate,FA,WR,-,-,-,-,,,,
T285,Malik Taylor,FA,WR,-,-,-,-,,,,
T285,Trent Taylor,FA,WR,-,-,-,-,,,,
157,Isaac TeSlaa,DET,WR,170.60,-,-,173.20,,7.56,,
T285,Adam Thielen,MIN,WR,-,-,-,-,,14.00,Reserve-Ret,Undisclosed
T285,Raylen Sharpe,IND,WR,-,-,-,-,,,,
T285,Tyrell Shavers,BUF,WR,-,-,-,-,,,PUP-P,Knee - ACL
T285,Damon Sheehy-Guiseppi,FA,WR,-,-,-,-,,,,
T285,DT Sheffield,NYJ,WR,-,-,-,-,,,,
T285,Laviska Shenault,FA,WR,-,-,-,-,,,,
T285,Sterling Shepard,FA,WR,-,-,-,-,,5.00,,
T285,Will Sheppard,GB,WR,-,-,-,-,,,,
T285,Trent Sherfield,BUF,WR,-,-,-,-,,,,
T285,Noah Short,FA,WR,-,-,-,-,,,,
T285,Justin Shorter,LV,WR,-,-,-,-,,,IR,Undisclosed
T285,David Sills,TB,WR,-,-,-,-,,,,
T285,Tyler Simmons,FA,WR,-,-,-,-,,,,
T285,Steven Sims,FA,WR,-,-,-,-,,,,
T285,Quentin Skinner,BUF,WR,-,-,-,-,,,,
T285,Quincy Skinner,NYJ,WR,-,-,-,-,,,,
T285,Ben Skowronek,PIT,WR,-,-,-,-,,,,
T285,Matthew Slater,FA,WR,-,-,-,-,,,,
275,Darius Slayton,NYG,WR,325.90,-,-,359.20,0.94,9.67,,
T285,Jared Smart,FA,WR,-,-,-,-,,,,
T285,Ainias Smith,CAR,WR,-,-,-,-,,,,
T285,Anthony Smith,DAL,WR,-,-,-,-,,,,
T285,Arian Smith,NYJ,WR,-,-,-,-,,,,
T285,Brandon Smith,PIT,WR,-,-,-,-,,,,
T285,Braylon Sanders,FA,WR,-,-,-,-,,,,
T285,Marcus Sanders,MIN,WR,-,-,-,-,,,,
T285,Mohamed Sanu,FA,WR,-,-,-,-,,,,
T285,Elijah Sarratt,BAL,WR,-,-,40.00,145.20,3.72,3.18,,
T285,Bud Sasser,FA,WR,-,-,-,-,,,,
T285,Treyvhon Saunders,HOU,WR,-,-,-,-,,,,
T285,Savon Scarver,FA,WR,-,-,-,-,,,,
T285,Dalton Schoen,FA,WR,-,-,-,-,,,,
T285,Anthony Schwartz,FA,WR,-,-,-,-,,,,
T285,Gee Scott,NYJ,WR,-,-,-,-,,,IR,Undisclosed
T285,Ty Scott,FA,WR,-,-,-,-,,,,
T285,Tyler Scott,LAR,WR,-,-,-,-,,,,
T285,Mathew Sexton,FA,WR,-,-,-,-,,,,
T285,Kevin Shaa,FA,WR,-,-,-,-,,,,
T285,A.J. Richardson,FA,WR,-,-,-,-,,,,
T285,JP Richardson,CHI,WR,-,-,-,-,,,,
176,Calvin Ridley,TEN,WR,195.60,-,-,304.60,2.72,24.63,,
T285,Riley Ridley,FA,WR,-,-,-,-,,,,
T285,Eric Rivers,TB,WR,-,-,-,366.00,,,,
T285,Jaquarii Roberson,FA,WR,-,-,-,-,,,,
T285,Reggie Roberson,FA,WR,-,-,-,-,,,,
T285,Andre Roberts,FA,WR,-,-,-,-,,,,
T285,Chase Roberts,LV,WR,-,-,-,-,,,,
T285,Demetris Robertson,FA,WR,-,-,-,-,,,,
T285,Allen Robinson,FA,WR,-,-,-,-,,,,
T285,Demarcus Robinson,SF,WR,-,-,-,-,,7.00,,
T285,Stephon Robinson,FA,WR,-,-,-,-,,,,
T285,Nick Nash,WAS,WR,-,-,-,-,,,,
T285,JoJo Natson,FA,WR,-,-,-,-,,,,
T285,J.J. Nelson,FA,WR,-,-,-,-,,,,
T285,Dazz Newsome,FA,WR,-,-,-,-,,,,
T285,Isaiah Neyor,GB,WR,-,-,-,-,,,,
T285,Joseph Ngata,FA,WR,-,-,-,-,,,,
241,Jaylin Noel,HOU,WR,303.14,-,-,209.20,,5.75,NFI-A,Finger
T285,Trebor Pena,JAX,WR,-,-,-,454.00,,,,
T285,A.T. Perry,PIT,WR,-,-,-,-,,,,
T285,Dante Pettis,BUF,WR,-,-,-,-,,,,
T285,Kyle Philips,FA,WR,-,-,-,-,,,,
T285,Whop Philyor,FA,WR,-,-,-,-,,,,
T285,Samson Nacua,FA,WR,-,-,-,-,,,,
T285,Bryce Oliver,TEN,WR,-,-,-,-,,,,
T285,Gunner Olszewski,NYG,WR,-,-,-,-,,,IR,Achilles
T285,K.J. Osborn,TEN,WR,-,-,-,-,,,,
T285,Coleman Owen,IND,WR,-,-,-,-,,,,
T285,Terique Owens,FA,WR,-,-,-,-,,,,
T285,Joshua Palmer,BUF,WR,-,-,-,-,,8.67,,
T285,Tejhaun Palmer,FA,WR,-,-,-,-,,,,
T285,Trey Palmer,NO,WR,-,-,-,-,,,,
T285,Eli Pancol,IND,WR,-,-,-,-,,,,
T285,DeVante Parker,FA,WR,-,-,-,-,,,,
T285,Zach Pascal,FA,WR,-,-,-,-,,,,
T285,Tim Patrick,NYJ,WR,-,-,-,-,,5.00,,
T285,Ben Patterson,FA,WR,-,-,-,-,,,,
T285,Dean Patterson,TB,WR,-,-,-,-,,,,
T285,Neil Pau'u,FA,WR,-,-,-,-,,,,
T285,Will Pauling,SF,WR,-,-,-,-,,,,
T285,JaVonta Payton,FA,WR,-,-,-,-,,,,
T285,Joe Reed,FA,WR,-,-,-,-,,,,
T285,Louis Rees-Zammit,FA,WR,-,-,-,-,,,,
T285,Nikko Remigio,KC,WR,-,-,-,-,,,,
T285,Hunter Renfrow,FA,WR,-,-,-,-,,,,
T285,Xavier Restrepo,TEN,WR,-,-,-,-,,5.00,,
T285,Josh Reynolds,FA,WR,-,-,-,-,,,Ques,Hip
T285,Brenden Rice,FA,WR,-,-,-,-,,,Ques,Undisclosed
T285,John Rhys Plumlee,FA,WR,-,-,-,-,,,,
T285,Ja'Lynn Polk,NO,WR,-,-,-,-,,,Reserve-Ret,Undisclosed
T285,Brandon Powell,FA,WR,-,-,-,-,,,,
T285,Kaden Prather,GB,WR,-,-,-,-,,,,
T285,Kobe Prentice,NE,WR,-,-,-,-,,,,
T285,Brennan Presley,LAR,WR,-,-,-,-,,,,
T285,Hal Presley,FA,WR,-,-,-,-,,,,
T285,Myles Price,MIN,WR,-,-,-,-,,,,
T285,Jamaal Pritchett,NYJ,WR,-,-,-,-,,,,
T285,James Proche,FA,WR,-,-,-,-,,,,
T285,Kendric Pryor,CIN,WR,-,-,-,-,,,,
T285,Rashad Rochelle,SEA,WR,-,-,-,-,,,,
T285,Amari Rodgers,FA,WR,-,-,-,-,,,,
T285,Marcus Rosemy-Jacksaint,FA,WR,-,-,-,-,,,,
T285,Cameron Ross,DEN,WR,-,-,-,-,,,,
T285,Devonte Ross,LAC,WR,-,-,-,-,,,,
T285,John Ross,FA,WR,-,-,-,-,,,,
T285,Justyn Ross,FA,WR,-,-,-,-,,,,
T285,Marvelle Ross,FA,WR,-,-,-,-,,,,
T285,Jalen Royals,KC,WR,-,-,-,327.30,,6.00,,
T285,Corey Rucker,LV,WR,-,-,-,-,,,IR,Undisclosed
T285,Trayvon Rudolph,MIN,WR,-,-,-,-,,,,
T285,Henry Ruggs,FA,WR,-,-,-,408.00,,,,
T285,Jonathon Rumph,FA,WR,-,-,-,-,,,,
T285,Xavier Rush,FA,WR,-,-,-,-,,,,
T285,Malik Rutherford,FA,WR,-,-,-,-,,,,
T285,Curtis Samuel,FA,WR,-,-,-,-,,14.00,,
T285,Donald Parham,FA,TE,-,-,-,-,,,,
T285,Dylan Parham,FA,TE,-,-,-,-,,,,
162,Colby Parkinson,LAR,TE,177.80,-,-,307.10,1.99,7.00,,
T285,Johnny Pascuzzi,LAC,TE,-,-,-,-,,,,
T285,Josh Pederson,FA,TE,-,-,-,-,,,,
T285,Jordan Petaia,FA,TE,-,-,-,-,,,,
T285,Jamal Pettigrew,FA,TE,-,-,-,-,,,,
T285,Chris Pierce,FA,TE,-,-,-,-,,,,
T285,Bryce Pierre,FA,TE,-,-,-,-,,,Ques,Undisclosed
T285,Drew Sample,CIN,TE,-,-,-,-,,,,
T285,Ja'Tavion Sanders,CAR,TE,-,-,-,305.00,,6.40,,
T285,Marcus Santos-Silva,FA,TE,-,-,-,-,,,,
T285,Eric Saubert,SEA,TE,-,-,-,-,,,,
T285,Luke Schoonmaker,DAL,TE,-,-,-,-,,,,
T285,Darnell Washington,PIT,TE,-,-,-,368.50,,5.00,,
T285,Jerome Washington,FA,TE,-,-,-,-,,,,
T285,Scotty Washington,FA,TE,-,-,-,-,,,,
T285,Tre Watson,KC,TE,-,-,-,-,,,,
T285,Treyton Welch,NO,TE,-,-,-,-,,,,
T285,Pro Wells,FA,TE,-,-,-,-,,,,
T285,Stephen Sullivan,FA,TE,-,-,-,-,,,,
T285,Cam Sutton,FA,TE,-,-,-,-,,,,
T285,Evan Svoboda,LAC,TE,-,-,-,-,,,,
T285,Geoff Swaim,FA,TE,-,-,-,-,,,,
T285,Messiah Swinson,GB,TE,-,-,-,-,,,,
T285,Leonard Taylor,FA,TE,-,-,-,-,,,,
225,Mason Taylor,NYJ,TE,270.34,-,-,179.20,,6.20,,
T285,Tim Tebow,FA,TE,-,-,-,402.30,,,,
T285,Ian Thomas,LV,TE,-,-,-,-,,,,
T285,Logan Thomas,FA,TE,-,-,-,-,,,,
T285,Noah Togiai,FA,TE,-,-,-,-,,,,
T285,Eric Tomlinson,FA,TE,-,-,-,-,,,,
228,Jake Tonges,SF,TE,275.95,-,-,219.70,1.90,5.00,,
T285,Robert Tonyan,PIT,TE,-,-,-,-,,,,
T285,Carson Towt,IND,TE,-,-,-,-,,,,
T285,Seydou Traore,MIA,TE,-,-,-,-,,,,
T285,Adam Trautman,DEN,TE,-,-,-,-,,,,
T285,Tommy Tremble,CAR,TE,-,-,-,-,0.72,,,
T285,Michael Trigg,DAL,TE,-,-,-,272.20,,,,
T285,Cole Turner,MIA,TE,-,-,-,-,,,,
T285,C.J. Uzomah,FA,TE,-,-,-,-,,,,
T285,Mitch Van Vooren,NE,TE,-,-,-,-,,,,
T285,Nick Vannett,SEA,TE,-,-,-,-,,,,
T285,Jack Velling,ATL,TE,-,-,-,-,,,,
T285,Dan Villari,LAR,TE,-,-,-,-,,,,
T285,Travis Vokolek,FA,TE,-,-,-,-,,,,
T285,Darren Waller,FA,TE,-,-,-,-,,7.50,Ques,Groin
T285,Garrett Walston,FA,TE,-,-,-,-,,,,
T285,Jacob Warren,FA,TE,-,-,-,-,,,,
T285,Devon Allen,FA,WR,-,-,-,-,,,,
T285,Floyd Allen,FA,WR,-,-,-,-,,,,
237,Keenan Allen,FA,WR,294.97,-,-,383.80,,11.30,,
T285,Geronimo Allison,FA,WR,-,-,-,-,,,,
T285,Aaron Anderson,CLE,WR,-,-,-,392.80,,,,
T285,Vinny Anthony,ATL,WR,-,-,-,-,,,,
T285,Andrew Armstrong,KC,WR,-,-,-,-,,,,
T285,Tutu Atwell,MIA,WR,-,-,-,-,,5.00,,
T285,Calvin Austin,NYG,WR,-,-,-,-,,6.00,,
T285,Kevin Austin,NO,WR,-,-,-,-,,,,
T285,Tavon Austin,FA,WR,-,-,-,-,,,,
234,Elic Ayomanor,TEN,WR,288.25,-,-,221.00,,6.15,,
T285,Andre Baccellia,FA,WR,-,-,-,-,,,Ques,Neck
T285,Alex Bachman,FA,WR,-,-,-,-,,,,
T285,Javon Baker,FA,WR,-,-,-,-,,,,
T285,Daylen Baldwin,FA,WR,-,-,-,-,,,,
T285,Michael Bandy,DEN,WR,-,-,-,-,,,,
244,Rashod Bateman,BAL,WR,305.11,-,-,309.50,1.27,8.13,,
T285,Cole Beasley,FA,WR,-,-,-,-,,,,
T285,Hank Beatty,TEN,WR,-,-,-,-,,2.00,,
222,Jack Bech,LV,WR,268.16,-,-,212.10,,5.00,,
T285,Odell Beckham,NYG,WR,-,-,-,341.40,,,,
T285,Reggie Begelton,FA,WR,-,-,-,-,,,,
263,Chris Bell,MIA,WR,320.34,-,24.23,138.70,8.57,3.27,NFI-A,Knee - ACL
T285,David Bell,FA,WR,-,-,-,-,,,,
T285,Dillon Bell,MIN,WR,-,-,-,442.00,,,,
T285,Ronnie Bell,NO,WR,-,-,-,-,,,,
262,Skyler Bell,BUF,WR,319.46,-,51.60,190.90,3.59,2.00,,
T285,Malik Benson,LV,WR,-,-,74.40,312.40,,,,
T285,Trinity Benson,FA,WR,-,-,-,-,,,,
T285,Gabriel Benyard,CAR,WR,-,-,-,-,,,,
T285,Junior Bergen,SF,WR,-,-,-,-,,,,
224,Germie Bernard,PIT,WR,269.26,-,23.15,128.60,7.57,2.44,,
T285,Jared Bernhardt,FA,WR,-,-,-,-,,,,
T285,Braxton Berrios,NYG,WR,-,-,-,-,,,,
T285,Stanley Berryhill,FA,WR,-,-,-,-,,,,
T285,Tyron Billy-Johnson,FA,WR,-,-,-,-,,,,
T285,Tarik Black,FA,WR,-,-,-,-,,,,
T285,Chris Blair,ATL,WR,-,-,-,-,,,,
T285,DeMeer Blankumsee,FA,WR,-,-,-,-,,,,
T285,Javess Blue,FA,WR,-,-,-,-,,,,
T285,Bryce Bobo,FA,WR,-,-,-,-,,,,
T285,Jake Bobo,SEA,WR,-,-,-,-,,,Ques,Leg
T285,Slade Bolden,FA,WR,-,-,-,-,,,,
280,Isaiah Bond,CLE,WR,327.53,-,-,274.80,,6.63,,
T285,Lewis Bond,HOU,WR,-,-,-,-,,,,
T285,Lynn Bowden,FA,WR,-,-,-,-,,,,
T285,Zion Bowens,FA,WR,-,-,-,-,,,,
T285,Brady Boyd,JAX,WR,-,-,-,-,,,,
T285,Devonte Boyd,FA,WR,-,-,-,-,,,,
T285,Tyler Boyd,FA,WR,-,-,-,-,,,,
T285,Miles Boykin,FA,WR,-,-,-,-,,,,
T285,Trevon Bradford,FA,WR,-,-,-,-,,,,
T285,Ja'Marcus Bradley,FA,WR,-,-,-,-,,,,
T285,Jaden Bradley,WAS,WR,-,-,-,-,,,,
T285,Jonathan Brady,FA,WR,-,-,-,-,,,,
T285,Tyre Brady,FA,WR,-,-,-,-,,,,
T285,Cortez Braham,BAL,WR,-,-,-,-,,,,
T229,Zachariah Branch,ATL,WR,276.55,-,40.10,142.60,5.81,3.11,,
T285,Chandler Brayboy,JAX,WR,-,-,-,-,,,,
T282,Chris Brazzell,CAR,WR,999.00,-,24.45,210.40,5.09,2.82,IR,Knee
T285,Shemar Bridges,FA,WR,-,-,-,-,,,,
T285,Romello Brinson,FA,WR,-,-,-,-,,,,
T285,Michael Briscoe,MIN,WR,-,-,-,-,,,,
T285,Le'Meke Brockington,ATL,WR,-,-,-,-,,,,
T285,Ja'Corey Brooks,FA,WR,-,-,-,-,,,Ques,Undisclosed
T285,Jalen Brooks,ARI,WR,-,-,-,-,,,,
T285,Blake Whiteheart,CLE,TE,-,-,-,-,,,,
T285,Josh Whyle,GB,TE,-,-,-,-,,,,
T285,Nate Wieting,FA,TE,-,-,-,-,,,,
T285,Mitchell Wilcox,FA,TE,-,-,-,-,,,,
T285,Jared Wiley,KC,TE,-,-,-,-,,,,
T285,Carson Williams,FA,TE,-,-,-,-,,,,
T285,Rodney Williams,FA,TE,-,-,-,-,,,,
T285,Brayden Willis,SF,TE,-,-,-,-,,,,
T285,Joel Wilson,TEN,TE,-,-,-,-,,,,
T285,Charlie Woerner,ATL,TE,-,-,-,-,,,,
T285,Ethan Wolf,FA,TE,-,-,-,-,,,,
T285,Trevor Wood,FA,TE,-,-,-,-,,,,
T285,Jelani Woods,NYJ,TE,-,-,-,-,,,,
T285,Brock Wright,DET,TE,-,-,-,-,,,,
T285,Dae'Quan Wright,PHI,TE,-,-,-,-,,,,
T285,Colson Yankoff,WAS,TE,-,-,-,-,,,,
T285,Thomas Yassmin,GB,TE,-,-,-,-,,,,
T285,Kenny Yeboah,ARI,TE,-,-,-,-,,,,
T285,Ben Yurosek,MIN,TE,-,-,-,-,,,,
T285,Shane Zylstra,BUF,TE,-,-,-,-,,,,
T285,Keshunn Abram,FA,WR,-,-,-,-,,,,
T285,Cole Burgess,PIT,WR,-,-,-,-,,,,
T285,Deion Burks,IND,WR,-,-,60.60,278.30,,3.00,,
T285,Treylon Burks,WAS,WR,-,-,-,384.20,,5.00,,
T285,Braxton Burmeister,FA,WR,-,-,-,-,,,,
T285,Deontay Burnett,FA,WR,-,-,-,-,,,,
T285,Jermaine Burton,FA,WR,-,-,-,-,,,,
T285,Rico Bussey,FA,WR,-,-,-,-,,,,
T285,Hakeem Butler,DEN,WR,-,-,-,-,,,,
T285,Terrell Bynum,FA,WR,-,-,-,-,,,,
T285,Jeff Caldwell,KC,WR,-,-,-,395.80,,,,
T285,Antonio Callaway,FA,WR,-,-,-,-,,,,
T285,Marquez Callaway,FA,WR,-,-,-,-,,,,
T285,Dalen Cambre,NYG,WR,-,-,-,-,,,,
T285,Josh Cameron,JAX,WR,-,-,-,381.80,,,,
T285,Dalevon Campbell,LAC,WR,-,-,-,-,,,,
T285,Parris Campbell,DAL,WR,-,-,-,-,,,Reserve-Ret,Undisclosed
T285,Cam Camper,NYJ,WR,-,-,-,-,,,,
T285,DeAndre Carter,FA,WR,-,-,-,-,,,Ques,Knee
T285,Joshua Cephus,FA,WR,-,-,-,-,,,,
T285,DJ Chark,FA,WR,-,-,-,-,,,,
T285,Irvin Charles,SEA,WR,-,-,-,-,,,,
T285,Barion Brown,NO,WR,-,-,-,-,,,,
T285,Camden Brown,DAL,WR,-,-,-,-,,,,
T285,Dyami Brown,WAS,WR,-,-,-,-,,5.00,,
T285,Fred Brown,FA,WR,-,-,-,-,,,,
233,Hollywood Brown,PHI,WR,287.80,-,-,323.30,1.59,7.67,,
T285,Jaron Brown,FA,WR,-,-,-,-,,,,
T285,John Brown,FA,WR,-,-,-,-,,,,
T285,Kameron Brown,FA,WR,-,-,-,-,,,,
T285,Noah Brown,FA,WR,-,-,-,-,,9.00,Ques,Ribs
T285,Sean Brown,FA,WR,-,-,-,-,,,,
T285,Sincere Brown,LAC,WR,-,-,-,-,,,,
T285,Tony Brown,FA,WR,-,-,-,-,,,,
T285,Jason Brownlee,KC,WR,-,-,-,-,,,,
252,Pat Bryant,DEN,WR,312.56,-,-,193.80,,5.00,,
T285,Alex Bullock,JAX,WR,-,-,-,-,,,Reserve-Ret,Undisclosed
T285,Jaelon Darden,FA,WR,-,-,-,-,,,,
T285,Corey Davis,FA,WR,-,-,-,-,,,,
T285,Danny Davis,FA,WR,-,-,-,-,,,,
T285,Davion Davis,FA,WR,-,-,-,-,,,,
T285,Derius Davis,LAC,WR,-,-,-,-,,,,
T285,Gabe Davis,FA,WR,-,-,-,-,,9.00,Ques,Knee - ACL
T285,Joaquin Davis,PIT,WR,-,-,-,-,,,,
T285,Kaden Davis,CHI,WR,-,-,-,-,,,,
T285,Shaquan Davis,FA,WR,-,-,-,-,,,,
T285,Terrill Davis,MIN,WR,-,-,-,-,,,,
T285,Seth Dawkins,FA,WR,-,-,-,-,,,,
T285,Jacob De Jesus,KC,WR,-,-,-,-,,,,
T285,DeVonte Dedmon,FA,WR,-,-,-,-,,,,
T285,Nick DeGennaro,NE,WR,-,-,-,-,,,,
187,Tank Dell,HOU,WR,213.24,-,-,188.50,2.60,2.31,Ques,Knee - ACL + MCL
T285,Reggie Diggs,FA,WR,-,-,-,-,,,,
T242,Keon Coleman,BUF,WR,304.40,-,-,200.80,,11.86,,
T285,Kevin Coleman,MIA,WR,-,-,60.00,227.20,1.88,,,
T285,Beaux Collins,NYG,WR,-,-,-,-,,,Ques,Concussion
277,Kendrick Bourne,ARI,WR,326.52,-,-,-,1.02,17.00,,
T285,Nelson Agholor,FA,WR,-,-,-,-,,,,
T285,Jamal Agnew,FA,WR,-,-,-,-,,,Ques,Undisclosed
247,Chimere Dike,TEN,WR,307.55,-,-,215.20,1.70,5.64,,
T285,Kyle Dixon,NE,WR,-,-,-,-,,,,
T285,Cameron Dorner,NE,WR,-,-,-,-,,,,
T285,Phillip Dorsett,LV,WR,-,-,-,-,,,,
T285,Greg Dortch,DET,WR,-,-,-,-,,,,
260,Jahan Dotson,ATL,WR,318.24,-,-,329.90,1.19,,,
T285,Kenny Cook,FA,WR,-,-,-,-,,,,
T285,Brandin Cooks,FA,WR,-,-,-,-,,8.50,,
T285,Elijah Cooks,FA,WR,-,-,-,-,,,,
T285,Amari Cooper,FA,WR,-,-,-,-,,3.00,,
T285,Darius Cooper,PHI,WR,-,-,-,-,,5.00,,
T285,Ajou Ajou,FA,WR,-,-,-,-,,,,
T285,Maurice Alexander,CHI,WR,-,-,-,-,,,,
T285,Damien Alford,FA,WR,-,-,-,-,,,Ques,Undisclosed
T285,Josh Ali,FA,WR,-,-,-,-,,,,
T285,Christian Scotland-Williamson,FA,TE,-,-,-,-,,,,
T285,Jared Scott,FA,TE,-,-,-,-,,,,
T285,Jonathan Adams,FA,WR,-,-,-,-,,,,
T285,Dan Chisena,CAR,WR,-,-,-,-,,,IR,Undisclosed
T285,Efton Chism,NE,WR,-,-,-,434.50,,5.00,,
T285,Robbie Chosen,FA,WR,-,-,-,-,,,,
T285,Cody Chrest,FA,WR,-,-,-,-,,,,
T285,Marquez Clark,FA,WR,-,-,-,-,,,,
T285,Trevon Clark,FA,WR,-,-,-,-,,,,
T285,Chase Claypool,FA,WR,-,-,-,-,,,,
T285,Jacob Copeland,FA,WR,-,-,-,-,,,,
T285,Malachi Corley,CLE,WR,-,-,-,-,,,,
T285,Chase Cota,FA,WR,-,-,-,-,,,,
T285,Britain Covey,PHI,WR,-,-,-,-,,,,
T285,Jacob Cowing,SF,WR,-,-,-,-,,,,
T285,River Cracraft,WAS,WR,-,-,-,-,,,,
T285,Josh Crockett,FA,WR,-,-,-,-,,,,
T285,Jamison Crowder,FA,WR,-,-,-,-,,,,
T285,Malik Cunningham,DET,WR,-,-,-,-,,,,
T285,Zach D'Orazio,FA,WR,-,-,-,-,,,,
T285,Mac Dalena,BUF,WR,-,-,-,-,,,,
T285,Jared Dangerfield,FA,WR,-,-,-,-,,,,
T285,CJ Daniels,LAR,WR,-,-,-,301.30,,2.00,,
T285,Dallas Daniels,FA,WR,-,-,-,-,,,,
T285,DaVaris Daniels,FA,WR,-,-,-,-,,,,
T285,Kenny Golladay,FA,WR,-,-,-,-,,,,
T285,Josh Gordon,FA,WR,-,-,-,-,,,,
T285,Stephen Gosnell,BUF,WR,-,-,-,-,,,,
T285,Anthony Gould,IND,WR,-,-,-,-,,,,
T285,Danny Gray,PHI,WR,-,-,-,-,,,,
T285,Bryson Green,ARI,WR,-,-,-,-,,,,
T285,Garrett Greene,TB,WR,-,-,-,-,,,,
T285,Wesley Grimes,SF,WR,-,-,-,-,,,,
T285,Luke Grimm,LAC,WR,-,-,-,-,,,,
T285,Xavier Guillory,BAL,WR,-,-,-,-,,,,
T285,Sahmir Hagans,IND,WR,-,-,-,-,,,,
T285,Justin Hall,FA,WR,-,-,-,-,,,,
T285,Josh Hammond,FA,WR,-,-,-,-,,,,
T285,Mecole Hardman,BUF,WR,-,-,-,-,,,,
T285,Mike Harley,FA,WR,-,-,-,-,,,,
T285,Josh Harper,FA,WR,-,-,-,-,,,,
T285,De'Michael Harris,FA,WR,-,-,-,-,,,,
T285,Keilahn Harris,FA,WR,-,-,-,-,,,,
T285,Travell Harris,FA,WR,-,-,-,-,,,,
155,Tre' Harris,LAC,WR,169.20,-,-,172.80,,7.00,,
T285,Deonte Harty,FA,WR,-,-,-,-,,,Ques,Knee
T285,Jadon Haselwood,FA,WR,-,-,-,-,,,,
T285,Brandon Hayes,FA,WR,-,-,-,-,,,,
T285,Malik Heath,FA,WR,-,-,-,-,,,,
T285,Jaivon Heiligh,FA,WR,-,-,-,-,,,,
T285,Emmanuel Henderson,SEA,WR,-,-,-,441.00,,,,
T285,Thomas Hennigan,FA,WR,-,-,-,-,,,,
T285,AJ Henning,MIA,WR,-,-,-,-,,,,
T285,Ra'Shaun Henry,FA,WR,-,-,-,-,,,,
T285,Jake Herslow,FA,WR,-,-,-,-,,,,
T285,Julian Hicks,FA,WR,-,-,-,-,,,,
T285,Aleva Hifo,FA,WR,-,-,-,-,,,,
T285,Isaiah Ford,FA,WR,-,-,-,-,,,,
T285,Bryce Ford-Wheaton,FA,WR,-,-,-,-,,,Ques,Achilles
T285,Montorie Foster,SEA,WR,-,-,-,-,,,,
T285,Deshon Foxx,FA,WR,-,-,-,-,,,,
168,Troy Franklin,DEN,WR,183.40,-,-,195.50,,8.85,,
T285,Zakhari Franklin,FA,WR,-,-,-,-,,,,
T285,Ty Fryfogle,FA,WR,-,-,-,-,,,,
T285,Travis Fulgham,FA,WR,-,-,-,-,,,,
T285,Russell Gage,FA,WR,-,-,-,-,,,,
T285,Michael Gallup,FA,WR,-,-,-,-,,,,
T285,Kaylon Geiger,FA,WR,-,-,-,-,,,,
T285,Xavier Gipson,NYG,WR,-,-,-,-,,,,
T285,Caleb Douglas,MIA,WR,-,-,45.62,268.50,1.89,,,
T285,DeMario Douglas,NE,WR,-,-,-,332.60,,7.40,,
T285,Colton Dowell,SF,WR,-,-,-,-,,,,
