,,,,Redraft,,,Dynasty,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,MFL,Sleeper,MFL,Ottoneu,Status,Injury
85,Jadarian Price,SEA,RB,87.20,77.20,7.79,59.30,28.39,5.56,,
81,Jaxson Dart,NYG,QB,82.20,78.50,-,66.80,,18.62,,
79,Justin Herbert,LAC,QB,79.80,79.90,-,68.60,16.36,38.16,,
76,DK Metcalf,PIT,WR,77.20,80.10,-,95.00,11.59,39.60,,
105,Blake Corum,LAR,RB,103.60,80.20,-,92.60,,9.36,,
78,Jordyn Tyson,NO,WR,79.20,82.00,12.07,48.80,33.89,8.29,,
72,Courtland Sutton,DEN,WR,72.80,83.20,-,114.20,7.53,23.64,,
70,Brian Thomas,JAX,WR,71.40,84.50,-,60.00,,32.15,,
122,Dalton Kincaid,BUF,TE,121.20,85.10,-,94.90,4.71,12.56,,
T66,Caleb Williams,CHI,QB,67.20,86.90,-,47.40,,39.41,,
119,Aaron Jones,MIN,RB,117.60,87.20,-,159.30,6.72,37.83,,
73,Marvin Harrison,ARI,WR,74.20,88.20,-,61.50,,36.00,,
88,Makai Lemon,PHI,WR,88.60,89.00,13.14,62.60,28.13,6.91,Ques,Undisclosed
84,J.K. Dobbins,DEN,RB,85.60,89.10,-,116.40,8.55,18.14,,
83,Trevor Lawrence,JAX,QB,85.00,91.20,-,86.10,15.05,32.23,,
91,Dak Prescott,DAL,QB,91.60,92.00,-,110.00,11.19,34.77,,
74,Michael Wilson,ARI,WR,75.20,93.10,-,78.30,8.15,11.85,,
T108,Oronde Gadsden,LAC,TE,107.40,94.70,-,84.80,5.98,10.16,,
93,Jakobi Meyers,JAX,WR,93.60,95.50,-,136.80,6.52,14.94,,
82,Parker Washington,JAX,WR,82.60,96.50,-,89.50,11.30,8.19,,
180,Hunter Henry,NE,TE,200.87,97.80,-,192.60,3.40,7.97,,
99,Kenneth Gainwell,TB,RB,98.60,98.60,-,125.30,9.60,7.67,,
120,Jacory Croskey-Merritt,WAS,RB,119.20,98.70,-,112.80,,20.10,,
T108,Jordan Addison,MIN,WR,107.40,100.40,-,82.60,6.42,25.32,,
111,Patrick Mahomes,KC,QB,110.20,101.00,-,73.10,18.64,55.65,Ques,Knee - ACL
94,Chris Godwin,TB,WR,94.20,102.40,-,133.90,10.68,12.93,,
159,Brian Robinson,ATL,RB,174.40,103.50,-,183.00,2.38,18.57,,
106,Tyler Allgeier,ARI,RB,105.20,104.10,-,120.10,3.87,10.46,,
69,Alec Pierce,IND,WR,69.80,105.00,-,85.80,13.02,11.18,PUP-P,Ankle
97,Michael Pittman,PIT,WR,97.20,106.10,-,116.90,9.23,17.24,,
114,Jake Ferguson,DAL,TE,113.20,107.90,-,105.60,4.22,11.79,,
128,Dallas Goedert,PHI,TE,127.60,107.90,-,155.70,4.42,10.13,,
150,James Conner,ARI,RB,159.40,109.90,-,201.80,2.09,23.75,Ques,Foot
